PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
83458765,2016,article,1051,12,"['Nadja Kabisch', 'Niki Frantzeskaki', 'Stephan Pauleit', 'Sandra Naumann', 'McKenna Davis', 'Martina Artmann', 'Dagmar Haase', 'Sonja Knapp', 'Horst Korn', 'Jutta Stadler', 'Karin Zaunberger', 'Aletta Bonn']","['Helmholtz Centre for Environmental Research', 'German Centre for Integrative Biodiversity Research', 'Humboldt-Universität zu Berlin', 'Erasmus University Rotterdam', 'Technical University of Munich', 'Ecologic Institute', 'Ecologic Institute', 'Leibniz Institute of Ecological Urban and Regional Development', 'University of Salzburg', 'Humboldt-Universität zu Berlin', 'Helmholtz Centre for Environmental Research', 'Helmholtz Centre for Environmental Research', 'Federal Agency for Nature Conservation', 'Federal Agency for Nature Conservation', 'European Commission', 'Helmholtz Centre for Environmental Research', 'German Centre for Integrative Biodiversity Research', 'Friedrich Schiller University Jena']","[{'item': 35268100}, {'item': 57924751}, {'item': 9000717}, {'item': 52910174}, {'item': 25237992}, {'item': 99389168}, {'item': 47487039}, {'item': 58264004}, {'item': 52826979}, {'item': 27812947}, {'item': 93819181}, {'item': 77361091}, {'item': 46261257}, {'item': 97245976}, {'item': 1183989}, {'item': 8152544}, {'item': 83310690}, {'item': 77204466}, {'item': 10002950}, {'item': 52116000}, {'item': 66148485}, {'item': 81144307}, {'item': 31037324}, {'item': 92154589}, {'item': 37662007}, {'item': 6547730}, {'item': 52967248}, {'item': 46443387}, {'item': 62892291}, {'item': 10359195}, {'item': 18682686}, {'item': 74015345}, {'item': 16557929}, {'item': 15201916}, {'item': 15700873}, {'item': 62806417}, {'item': 4116746}, {'item': 1822590}, {'item': 98133596}, {'item': 39834876}, {'item': 76574218}, {'item': 65003995}, {'item': 70647577}, {'item': 67412930}, {'item': 26694793}, {'item': 45291034}, {'item': 98905783}, {'item': 52314385}, {'item': 50580887}, {'item': 34906802}, {'item': 55125970}, {'item': 44277243}, {'item': 46870312}, {'item': 94565054}, {'item': 56867345}, {'item': 71452121}, {'item': 73463865}, {'item': 84933285}, {'item': 61671596}, {'item': 6102956}, {'item': 98042604}, {'item': 69880115}, {'item': 58375806}, {'item': 64912376}, {'item': 28186428}, {'item': 46355045}, {'item': 39434896}, {'item': 19744654}, {'item': 9914797}, {'item': 77678144}, {'item': 41786898}, {'item': 95442011}, {'item': 81858843}, {'item': 91580236}, {'item': 17344195}, {'item': 30307380}, {'item': 22642666}, {'item': 63457316}, {'item': 49102644}, {'item': 27872689}, {'item': 84756443}, {'item': 31945588}, {'item': 51249629}, {'item': 4479030}, {'item': 4945630}]",Climate change adaptation,Climate change,Action (physics),"[{'display_name': 'Climate action', 'score': 0.73, 'id': 'https://metadata.un.org/sdg/13'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 975, 'currency': 'USD', 'value_usd': 975, 'provenance': 'doaj'}",Missing,-2.6619350273820808
26236211,2016,article,369,1,['Thomas Hale'],[],"[{'item': 74893690}, {'item': 78609980}, {'item': 98497032}, {'item': 43439683}, {'item': 46692722}, {'item': 36931058}, {'item': 39720554}, {'item': 76798826}, {'item': 38209014}, {'item': 82674149}, {'item': 40402354}, {'item': 74664257}, {'item': 12667681}]",Summit,Political science,Climate change,"[{'display_name': 'Climate action', 'score': 0.86, 'id': 'https://metadata.un.org/sdg/13'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.487913108955163
3261681,2016,book-chapter,219,1,['Элинор Остром'],"['Indiana University Bloomington', 'Policy Analysis (United States)', 'Arizona State University']","[{'item': 85188152}, {'item': 47462175}, {'item': 65818796}, {'item': 67764637}, {'item': 37642721}, {'item': 42811394}, {'item': 39973288}, {'item': 27906232}, {'item': 83184609}, {'item': 54928611}, {'item': 62288581}, {'item': 39747354}, {'item': 64396736}, {'item': 31474017}, {'item': 61402249}, {'item': 40633227}, {'item': 88547134}, {'item': 28473961}, {'item': 74787283}, {'item': 75938559}, {'item': 7052257}, {'item': 20906681}, {'item': 31772481}, {'item': 63865734}, {'item': 75492300}, {'item': 72295300}, {'item': 80387265}, {'item': 5310302}, {'item': 31464587}, {'item': 43287753}, {'item': 60824066}, {'item': 65548277}, {'item': 26331966}, {'item': 55559327}, {'item': 13672508}, {'item': 16155080}, {'item': 22976002}, {'item': 91492586}, {'item': 459652}, {'item': 43246384}, {'item': 39602340}, {'item': 39885673}, {'item': 54872530}, {'item': 60384558}, {'item': 97500850}, {'item': 26913254}, {'item': 37195448}, {'item': 21023822}, {'item': 95107209}, {'item': 64782857}, {'item': 51367849}, {'item': 319200}, {'item': 75498735}, {'item': 10355090}, {'item': 36813086}, {'item': 39413820}, {'item': 1365826}, {'item': 25481278}, {'item': 93590572}, {'item': 60922587}, {'item': 73794319}, {'item': 27697510}, {'item': 15199917}, {'item': 569672}, {'item': 36402523}, {'item': 64471024}, {'item': 15585117}, {'item': 26300609}, {'item': 15018371}, {'item': 1781489}, {'item': 1353898}, {'item': 16289407}, {'item': 86944697}, {'item': 18591456}, {'item': 53799623}, {'item': 66016757}, {'item': 85344461}, {'item': 99172498}, {'item': 87898187}, {'item': 74298497}, {'item': 69884673}, {'item': 9674043}, {'item': 82370472}, {'item': 95626740}]",Greenhouse gas,Climate change,Externality,"[{'display_name': 'Climate action', 'score': 0.66, 'id': 'https://metadata.un.org/sdg/13'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.177474332114906
44444282,2016,article,205,4,"['Guy Howard', 'Roger Calow', 'Alan MacDonald', 'Jamie Bartram']","['Overseas Development Institute', 'British Geological Survey', 'University of North Carolina at Chapel Hill']","[{'item': 23998457}, {'item': 57135818}, {'item': 87008364}, {'item': 60922592}, {'item': 96585417}, {'item': 68778419}, {'item': 66062386}, {'item': 80513869}, {'item': 73633454}, {'item': 64117767}, {'item': 5243146}, {'item': 5418517}, {'item': 55250689}, {'item': 97320291}, {'item': 21357382}, {'item': 49144240}, {'item': 22878261}, {'item': 55685380}, {'item': 20621845}, {'item': 49004749}, {'item': 85654653}, {'item': 76337017}, {'item': 4539514}, {'item': 73604935}, {'item': 18744393}, {'item': 25766345}, {'item': 87944727}, {'item': 32414987}, {'item': 93233265}, {'item': 20590115}, {'item': 85996632}, {'item': 27233349}, {'item': 44553418}, {'item': 59849042}, {'item': 44092825}, {'item': 20288040}, {'item': 17180119}, {'item': 1377735}, {'item': 5185858}, {'item': 44460292}, {'item': 53280398}, {'item': 65140436}, {'item': 71266541}, {'item': 53965796}, {'item': 37967720}, {'item': 2590969}, {'item': 2202239}, {'item': 72039317}, {'item': 53538880}, {'item': 78004176}, {'item': 76423895}, {'item': 88868588}, {'item': 46625413}, {'item': 60247868}, {'item': 6622415}, {'item': 71486706}, {'item': 89376991}, {'item': 88805151}, {'item': 76270624}, {'item': 59583221}, {'item': 68090688}, {'item': 76092494}, {'item': 89886455}, {'item': 65293983}, {'item': 91405035}, {'item': 35294294}, {'item': 17264176}, {'item': 2155241}, {'item': 83633711}, {'item': 90202418}, {'item': 30102289}, {'item': 40430871}, {'item': 81051428}, {'item': 37195448}, {'item': 21284287}, {'item': 93667093}, {'item': 9810388}, {'item': 8961824}, {'item': 71691135}, {'item': 58812642}, {'item': 17276838}, {'item': 74525931}, {'item': 50912170}, {'item': 35967538}, {'item': 16616220}, {'item': 95866229}, {'item': 44495419}, {'item': 61657896}, {'item': 95321940}, {'item': 45129952}, {'item': 37308031}, {'item': 17288680}, {'item': 55580513}, {'item': 80411804}, {'item': 47121728}, {'item': 41824834}, {'item': 13510625}, {'item': 29426093}, {'item': 6944074}, {'item': 54498770}, {'item': 6440924}, {'item': 30373204}, {'item': 4643988}, {'item': 24765125}, {'item': 11204037}, {'item': 45365496}, {'item': 73587488}, {'item': 27491267}, {'item': 13817093}, {'item': 76670675}]",Sanitation,Climate change,Business,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.1408728606104206
74811629,2016,article,168,2,"['Kathryn L. Doherty', 'Thomas Webler']","['Antioch University New England', 'Northampton Community College', 'Social and Environmental Research Institute']","[{'item': 44811807}, {'item': 15693750}, {'item': 61617565}, {'item': 55496924}, {'item': 64685638}, {'item': 49262211}, {'item': 89502980}, {'item': 50492380}, {'item': 92183968}, {'item': 12552512}, {'item': 1008857}, {'item': 75938559}, {'item': 29836174}, {'item': 31258427}, {'item': 64256890}, {'item': 65036672}, {'item': 25300289}, {'item': 57274401}, {'item': 70232439}, {'item': 99407260}, {'item': 20977570}, {'item': 21595375}, {'item': 15423608}, {'item': 32182029}, {'item': 92699757}, {'item': 17693143}, {'item': 27949565}, {'item': 12532943}, {'item': 78294343}, {'item': 8654783}, {'item': 27529647}, {'item': 48488807}, {'item': 81985260}, {'item': 20095498}, {'item': 48138814}, {'item': 41130216}, {'item': 52979900}, {'item': 93420520}, {'item': 77949962}, {'item': 8662000}, {'item': 56211173}, {'item': 78450556}, {'item': 28057144}, {'item': 54833331}, {'item': 24961560}, {'item': 82841494}, {'item': 56426350}, {'item': 56237161}, {'item': 62249626}, {'item': 9527272}, {'item': 98723017}, {'item': 35399154}, {'item': 79322576}, {'item': 46360502}, {'item': 68152376}, {'item': 90926565}, {'item': 222494}, {'item': 82024327}, {'item': 70756974}]",Social cognitive theory,Action (physics),Collective action,"[{'display_name': 'Climate action', 'score': 0.87, 'id': 'https://metadata.un.org/sdg/13'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.074053884705788
66393804,2016,article,122,4,"['Sander Chan', 'Robert Falkner', 'Matthew H. Goldberg', 'Harro van Asselt']","['Utrecht University', 'London School of Economics and Political Science', 'London School of Economics and Political Science', 'Stockholm Environment Institute', 'University of Eastern Finland']","[{'item': 91654378}, {'item': 74893690}, {'item': 78609980}, {'item': 87557962}, {'item': 2118389}, {'item': 57596072}, {'item': 48679050}, {'item': 5117230}, {'item': 69844998}, {'item': 80210301}, {'item': 89705254}, {'item': 26022236}, {'item': 78031926}, {'item': 35543044}, {'item': 43439683}, {'item': 75205759}, {'item': 46692722}, {'item': 38858852}, {'item': 24009272}, {'item': 44600468}, {'item': 12124467}, {'item': 57514079}, {'item': 26236211}, {'item': 72100355}, {'item': 78487249}, {'item': 26750911}, {'item': 3385876}, {'item': 66729545}, {'item': 28093761}, {'item': 40402354}, {'item': 72170054}, {'item': 39973393}, {'item': 22721351}, {'item': 29511792}, {'item': 12667681}]",Summit,Psychological resilience,Climate resilience,"[{'display_name': 'Climate action', 'score': 0.41, 'id': 'https://metadata.un.org/sdg/13'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.483779354287565
58860257,2016,article,95,5,"['E. Carina H. Keskitalo', 'Sirkku Juhola', 'Nina Baron', 'Håkon Fyhn', 'Johannes Klein']","['Umeå University', 'Aalto University', 'University of Helsinki', 'Aarhus University', 'Norwegian University of Science and Technology', 'Aalto University', 'Geological Survey of Finland']","[{'item': 16007776}, {'item': 8213138}, {'item': 45815437}, {'item': 73915215}, {'item': 17735994}, {'item': 31636023}, {'item': 82824011}, {'item': 2491586}, {'item': 16495093}, {'item': 63257476}, {'item': 88255066}, {'item': 5473701}, {'item': 83257751}, {'item': 97074021}, {'item': 83266866}, {'item': 84079912}, {'item': 683379}, {'item': 68314944}, {'item': 43232176}, {'item': 57795599}, {'item': 60162846}, {'item': 95474884}, {'item': 63397375}, {'item': 21345591}, {'item': 44663827}, {'item': 8056265}, {'item': 50906671}, {'item': 6068192}, {'item': 2844073}, {'item': 75361488}, {'item': 57061357}, {'item': 24121297}, {'item': 10061637}, {'item': 6082465}, {'item': 76778616}, {'item': 34134550}, {'item': 97724254}, {'item': 87588527}, {'item': 34459055}, {'item': 25960197}, {'item': 93060189}, {'item': 34073050}, {'item': 8487929}]",Context (archaeology),Climate change,Legislation,"[{'display_name': 'Climate action', 'score': 0.83, 'id': 'https://metadata.un.org/sdg/13'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1600, 'currency': 'CHF', 'value_usd': 1732, 'provenance': 'doaj'}",Missing,-3.0585111880729996
53194272,2016,article,93,2,"['Jale Tosun', 'Jonas J. Schoenefeld']","['Heidelberg University', 'Tyndall Centre', 'University of East Anglia', 'Norwich Research Park']","[{'item': 34966238}, {'item': 19001956}, {'item': 52263230}, {'item': 44811807}, {'item': 33024675}, {'item': 63880739}, {'item': 78609980}, {'item': 23726797}, {'item': 57596072}, {'item': 20664837}, {'item': 61126868}, {'item': 76129336}, {'item': 252604}, {'item': 15560016}, {'item': 59069045}, {'item': 94549591}, {'item': 3151702}, {'item': 96554987}, {'item': 30642249}, {'item': 93335384}, {'item': 82676874}, {'item': 16770715}, {'item': 12651097}, {'item': 32881250}, {'item': 85369749}, {'item': 23623602}, {'item': 23785811}, {'item': 52655584}, {'item': 45572418}, {'item': 36019392}, {'item': 26819628}, {'item': 5117230}, {'item': 78625944}, {'item': 35390757}, {'item': 48006136}, {'item': 36808775}, {'item': 41853456}, {'item': 20701727}, {'item': 87247203}, {'item': 77695583}, {'item': 30192092}, {'item': 40331448}, {'item': 9365712}, {'item': 32577229}, {'item': 80409873}, {'item': 18662962}, {'item': 26936105}, {'item': 89384310}, {'item': 80442368}, {'item': 27649414}, {'item': 59934996}, {'item': 19322042}, {'item': 69221031}, {'item': 41570474}, {'item': 67117963}, {'item': 62834518}, {'item': 75311000}, {'item': 86259745}, {'item': 16910252}, {'item': 62061643}, {'item': 18655075}, {'item': 77900030}, {'item': 30561347}, {'item': 9996869}, {'item': 22497191}, {'item': 14686636}, {'item': 41747783}, {'item': 75612711}, {'item': 17039031}, {'item': 63803599}, {'item': 28678332}, {'item': 81985260}, {'item': 22524212}, {'item': 44907064}, {'item': 3666111}, {'item': 96100742}, {'item': 8818597}, {'item': 36110720}, {'item': 68263633}, {'item': 43439683}, {'item': 75498735}, {'item': 90179736}, {'item': 63335780}, {'item': 48287998}, {'item': 97359452}, {'item': 78048540}, {'item': 45615981}, {'item': 45305240}, {'item': 3434836}, {'item': 7255789}, {'item': 97489134}, {'item': 36931058}, {'item': 30000847}, {'item': 79411904}, {'item': 94521785}, {'item': 26704963}, {'item': 76654208}, {'item': 75599142}, {'item': 40708078}, {'item': 21944470}, {'item': 30722441}, {'item': 59381620}, {'item': 9317955}, {'item': 67680180}, {'item': 53696969}, {'item': 72633745}, {'item': 2030789}, {'item': 43898102}, {'item': 59179660}, {'item': 56426350}, {'item': 31718996}, {'item': 82730707}, {'item': 62316965}, {'item': 92735088}, {'item': 34763396}, {'item': 3385876}, {'item': 19147097}, {'item': 4291154}, {'item': 78809144}, {'item': 98407569}, {'item': 34328274}, {'item': 35867475}, {'item': 74614312}, {'item': 38209014}, {'item': 82674149}, {'item': 10113024}, {'item': 81186066}, {'item': 9627089}, {'item': 84064740}, {'item': 51971337}, {'item': 31009784}, {'item': 2076518}, {'item': 48191948}, {'item': 12754998}, {'item': 62794780}]",Corporate governance,Collective action,Climate governance,"[{'display_name': 'Climate action', 'score': 0.8, 'id': 'https://metadata.un.org/sdg/13'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.0026026959377365
10070662,2016,article,90,3,"['Thomas Hoppe', 'A. van der Vegt', 'Peter Stegmaier']","['Delft University of Technology', 'University of Twente', 'University of Twente']","[{'item': 62296260}, {'item': 12438152}, {'item': 8451013}, {'item': 96129696}, {'item': 14532047}, {'item': 72102167}, {'item': 78698476}, {'item': 75940408}, {'item': 70712463}, {'item': 61275386}, {'item': 4529437}, {'item': 27238159}, {'item': 86513574}, {'item': 17735994}, {'item': 23542797}, {'item': 1323471}, {'item': 43532963}, {'item': 77121474}, {'item': 95647048}, {'item': 76690272}, {'item': 71656077}, {'item': 90561412}, {'item': 92745811}, {'item': 52624537}, {'item': 17616960}, {'item': 39537325}, {'item': 56713676}, {'item': 41570474}, {'item': 63336435}, {'item': 62144528}, {'item': 1830765}, {'item': 35139222}, {'item': 70935839}, {'item': 89185351}, {'item': 57128392}, {'item': 47696908}, {'item': 50850453}, {'item': 57198365}, {'item': 8056265}, {'item': 13665743}, {'item': 37440278}, {'item': 76996738}, {'item': 71583065}, {'item': 38176974}, {'item': 27868257}, {'item': 41635771}, {'item': 85454742}, {'item': 95881544}, {'item': 44907064}, {'item': 5667212}, {'item': 10061637}, {'item': 13727830}, {'item': 43352611}, {'item': 42869580}, {'item': 91307363}, {'item': 71061387}, {'item': 82257839}, {'item': 96975287}, {'item': 26533322}, {'item': 64956800}, {'item': 96616384}, {'item': 72663545}, {'item': 6929878}, {'item': 95996607}, {'item': 90994046}, {'item': 22194661}, {'item': 17414875}, {'item': 1161101}, {'item': 6698497}, {'item': 90926565}, {'item': 63516598}, {'item': 6385838}]",Local government,Climate change,Corporate governance,"[{'display_name': 'Climate action', 'score': 0.84, 'id': 'https://metadata.un.org/sdg/13'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2200, 'currency': 'CHF', 'value_usd': 2382, 'provenance': 'doaj'}",Missing,-1.6441176503608215
53455607,2016,article,84,1,['Helen Santiago Fink'],['BOKU University'],"[{'item': 29909311}, {'item': 44899232}, {'item': 12104854}, {'item': 44945323}, {'item': 80433896}, {'item': 4554303}, {'item': 55469715}, {'item': 47487039}, {'item': 50236346}, {'item': 17381405}, {'item': 29134077}, {'item': 6487784}, {'item': 31224532}, {'item': 11279932}, {'item': 88721733}, {'item': 78254239}, {'item': 77537910}, {'item': 14343058}, {'item': 28773809}, {'item': 618668}, {'item': 40223917}, {'item': 23329064}, {'item': 1057243}, {'item': 67085712}, {'item': 81580684}, {'item': 73895818}, {'item': 98411704}, {'item': 60871556}, {'item': 78080552}, {'item': 9914797}, {'item': 77187601}, {'item': 34338480}, {'item': 83250221}, {'item': 9472442}, {'item': 79836088}, {'item': 57246353}, {'item': 69550031}, {'item': 88463442}, {'item': 17658789}, {'item': 84692524}, {'item': 21458284}, {'item': 57815747}, {'item': 19386021}, {'item': 69764309}, {'item': 22844582}, {'item': 39969376}, {'item': 72772474}, {'item': 79396314}, {'item': 30771619}, {'item': 90926565}, {'item': 91420920}, {'item': 53182886}, {'item': 48605240}]",Sustainability,Action (physics),Environmental planning,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2200, 'currency': 'CHF', 'value_usd': 2382, 'provenance': 'doaj'}",Missing,-2.659670020751229
