PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
11602870,2016,article,100,5,"['Sue Ellen Taelman', 'Thomas Schaubroeck', 'Steven De Meester', 'Lieselot Boone', 'Jo Dewulf']","['Ghent University', 'Ghent University', 'Ghent University', 'Ghent University', 'Joint Research Centre', 'Ghent University']","[{'item': 50983650}, {'item': 28761527}, {'item': 86991304}, {'item': 81358003}, {'item': 63037594}, {'item': 1033293}, {'item': 93392186}, {'item': 15509119}, {'item': 16682619}, {'item': 91093443}, {'item': 66652267}, {'item': 90718587}, {'item': 89068918}, {'item': 19791946}, {'item': 58955683}, {'item': 32285749}, {'item': 3833065}, {'item': 38172204}, {'item': 18659551}, {'item': 13271423}, {'item': 73525417}, {'item': 7250982}, {'item': 2651724}, {'item': 97986084}, {'item': 73621519}, {'item': 68299586}, {'item': 65325088}, {'item': 10913273}, {'item': 89180339}, {'item': 18256806}, {'item': 69109316}, {'item': 91798531}, {'item': 72094624}, {'item': 91534323}, {'item': 91039781}, {'item': 77606478}, {'item': 69633396}, {'item': 86870733}, {'item': 75375589}, {'item': 53895186}, {'item': 23051909}, {'item': 76336552}, {'item': 96360165}, {'item': 44717420}, {'item': 4946012}, {'item': 3023352}, {'item': 6965787}, {'item': 69879590}, {'item': 90917656}, {'item': 17774341}, {'item': 10750829}, {'item': 32067477}, {'item': 40318083}, {'item': 6102956}, {'item': 76410917}, {'item': 13202833}, {'item': 86073130}, {'item': 31030477}, {'item': 16209683}, {'item': 81185041}, {'item': 82329385}, {'item': 45883777}, {'item': 85069957}, {'item': 42257797}, {'item': 74604015}, {'item': 8200178}, {'item': 46170857}, {'item': 58869787}, {'item': 26050996}, {'item': 40761807}, {'item': 96912650}, {'item': 90926565}, {'item': 8772286}, {'item': 13216011}]",Ecosystem services,Land use,Environmental resource management,"[{'score': 0.52, 'id': 'https://metadata.un.org/sdg/12', 'display_name': 'Responsible consumption and production'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.2331192549352847
39176066,2016,article,92,4,"['Deyi Hou', 'Qingbao Gu', 'Fujun Ma', ""Shannon O'Connell""]","['Tsinghua University', 'Chinese Research Academy of Environmental Sciences', 'Chinese Research Academy of Environmental Sciences', 'Parsons (United States)']","[{'item': 88702344}, {'item': 86113389}, {'item': 75766495}, {'item': 43317960}, {'item': 1560139}, {'item': 41597803}, {'item': 95420515}, {'item': 21218412}, {'item': 77176318}, {'item': 12085337}, {'item': 56342065}, {'item': 59281341}, {'item': 67122873}, {'item': 73759762}, {'item': 78565847}, {'item': 63780688}, {'item': 57915647}, {'item': 31683275}, {'item': 7978171}, {'item': 54139658}, {'item': 23454357}, {'item': 5389431}, {'item': 23175275}, {'item': 85740801}, {'item': 10531897}, {'item': 71347245}, {'item': 37744962}, {'item': 60554387}, {'item': 7413156}, {'item': 78903196}, {'item': 46885409}, {'item': 2041442}, {'item': 13252455}, {'item': 7468216}, {'item': 58853224}, {'item': 64388694}, {'item': 73033013}, {'item': 42257258}, {'item': 53979611}, {'item': 45738572}, {'item': 62471952}, {'item': 68408706}, {'item': 83870209}, {'item': 56324849}, {'item': 66585774}, {'item': 14094454}, {'item': 51897403}, {'item': 23017265}, {'item': 76647690}, {'item': 79005415}, {'item': 5290772}, {'item': 20695656}, {'item': 32873138}, {'item': 78251999}, {'item': 40204626}]",Biochar,Environmental science,Life-cycle assessment,"[{'score': 0.6, 'id': 'https://metadata.un.org/sdg/12', 'display_name': 'Responsible consumption and production'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-5.018859271814579
33577092,2016,article,90,4,"['Krish Homagain', 'Chander Shahi', 'Nancy Luckai', 'Mahadev Sharma']","['Lakehead University', 'Lakehead University', 'Lakehead University', 'Ontario Forest Research Institute']","[{'item': 51098669}, {'item': 26214974}, {'item': 55563111}, {'item': 44841539}, {'item': 65981408}, {'item': 52734111}, {'item': 65415386}, {'item': 20453518}, {'item': 34611636}, {'item': 98409130}, {'item': 21645077}, {'item': 24910842}, {'item': 82275393}, {'item': 48064004}, {'item': 10045887}, {'item': 37538874}, {'item': 2649235}, {'item': 96342824}, {'item': 73033013}, {'item': 56539965}, {'item': 62435934}, {'item': 47058871}, {'item': 4392921}, {'item': 14736154}, {'item': 57874262}, {'item': 5738709}, {'item': 59615767}, {'item': 74827083}, {'item': 4815384}, {'item': 46241600}, {'item': 96926660}, {'item': 80948740}, {'item': 90926565}]",Biochar,Bioenergy,Life-cycle assessment,"[{'score': 0.58, 'id': 'https://metadata.un.org/sdg/12', 'display_name': 'Responsible consumption and production'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2000, 'currency': 'USD', 'value_usd': 2000, 'provenance': 'doaj'}",Missing,-5.0767441658898935
29367718,2016,review,80,2,"['Timothy M. Lenton', 'Stuart J. Daines']","['University of Exeter', 'University of Exeter']","[{'item': 99157968}, {'item': 60637802}, {'item': 64744119}, {'item': 83074105}, {'item': 60740316}, {'item': 56393216}, {'item': 15110531}, {'item': 12872706}, {'item': 87592047}, {'item': 36046607}, {'item': 48028261}, {'item': 1556839}, {'item': 81214092}, {'item': 56078746}, {'item': 78355084}, {'item': 9203590}, {'item': 65802989}, {'item': 22550036}, {'item': 3920791}, {'item': 53844630}, {'item': 37458408}, {'item': 74180797}, {'item': 68539614}, {'item': 35677488}, {'item': 84477919}, {'item': 20843786}, {'item': 93845666}, {'item': 17821469}, {'item': 7790102}, {'item': 58631943}, {'item': 20450254}, {'item': 44442321}, {'item': 43387377}, {'item': 87533500}, {'item': 97469864}, {'item': 61495311}, {'item': 26800217}, {'item': 20407604}, {'item': 44954769}, {'item': 97593486}, {'item': 3707932}, {'item': 97081512}, {'item': 7172745}, {'item': 64807358}, {'item': 76920671}, {'item': 67729099}, {'item': 89134446}, {'item': 52853959}, {'item': 26936487}, {'item': 69065678}, {'item': 48722846}, {'item': 79194715}, {'item': 80209411}, {'item': 28129253}, {'item': 56973787}, {'item': 604509}, {'item': 36964013}, {'item': 79663287}, {'item': 21115826}, {'item': 13087188}, {'item': 98812691}, {'item': 34740563}, {'item': 11038989}]",Weathering,Biogeochemical cycle,Proterozoic,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.418654526332335
64280542,2016,article,66,2,"['Vincent K.M. Cheng', 'Geoffrey P. Hammond']","['University of Bath', 'University of Bath']","[{'item': 11088503}, {'item': 32159399}, {'item': 43590557}, {'item': 83123758}, {'item': 81524822}, {'item': 64269947}, {'item': 74539659}, {'item': 65098189}, {'item': 11567845}, {'item': 34705435}, {'item': 9559961}, {'item': 73484315}, {'item': 63204718}, {'item': 78101476}, {'item': 2915013}, {'item': 856914}, {'item': 73789731}, {'item': 8203562}, {'item': 63538035}, {'item': 166344}, {'item': 37765376}, {'item': 43437304}, {'item': 89334881}, {'item': 73260849}, {'item': 16416960}, {'item': 59948334}, {'item': 65158612}, {'item': 16099534}, {'item': 7933416}, {'item': 70757212}, {'item': 62181637}, {'item': 30850122}, {'item': 19975815}, {'item': 14795895}, {'item': 64434472}, {'item': 41481800}, {'item': 26724957}, {'item': 29559644}, {'item': 70537130}, {'item': 57824035}, {'item': 43831330}, {'item': 91346193}, {'item': 62608968}, {'item': 41488878}, {'item': 981587}, {'item': 68953594}]",Renewable energy,Wind power,Embodied energy,"[{'score': 0.47, 'id': 'https://metadata.un.org/sdg/12', 'display_name': 'Responsible consumption and production'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 3830, 'currency': 'USD', 'value_usd': 3830, 'provenance': 'doaj'}",Missing,-5.383502385402488
18039641,2016,article,48,13,"['Marie Trydeman Knudsen', 'John E. Hermansen', 'Christel Cederberg', 'Félix Herzog', 'Jim Vale', 'Philippe Jeanneret', 'Jean‐Pierre Sarthou', 'Jürgen K. Friedel', 'Katalin Balázs', 'Wendy Fjellstad', 'Max Kainz', 'Sebastian Wolfrum', 'Peter Dennis']","['Aarhus University', 'Aarhus University', 'Chalmers University of Technology', 'Agroscope', 'Aberystwyth University', 'Institute of Biological, Environmental and Rural Sciences', 'Agroscope', 'AGroecologies, Innovations & Ruralities', 'Institut National Polytechnique de Toulouse', 'École Nationale Supérieure Agronomique de Toulouse', 'Institut National de la Recherche Agronomique', 'BOKU University', 'Magyar Agrár- és Élettudományi Egyetem', 'Leibniz-Institute for Food Systems Biology at the Technical University of Munich', 'Leibniz-Institute for Food Systems Biology at the Technical University of Munich', 'Aberystwyth University', 'Institute of Biological, Environmental and Rural Sciences']","[{'item': 28761527}, {'item': 68204065}, {'item': 76676635}, {'item': 93392186}, {'item': 86151136}, {'item': 32320241}, {'item': 73488532}, {'item': 18006651}, {'item': 40491248}, {'item': 53758279}, {'item': 97986084}, {'item': 83890278}, {'item': 19607027}, {'item': 53049476}, {'item': 10913273}, {'item': 65281981}, {'item': 62956245}, {'item': 50017555}, {'item': 83422907}, {'item': 49345406}, {'item': 85252062}, {'item': 32714598}, {'item': 81017217}, {'item': 11449143}, {'item': 76336552}, {'item': 864417}, {'item': 10750829}, {'item': 40318083}, {'item': 65862110}, {'item': 86073130}, {'item': 43733608}, {'item': 31030477}, {'item': 13011930}, {'item': 42257797}, {'item': 72581311}, {'item': 96202960}, {'item': 15027879}, {'item': 60990847}, {'item': 91908866}, {'item': 28254404}]",Biodiversity,Species richness,Biome,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.1505982312472813
21198204,2016,article,46,5,"['Gregory J. Retallack', 'David Krinsley', 'Robert Fischer', 'Joshua J. Razink', 'Kurt Langworthy']","['University of Oregon', 'University of Oregon', 'University of Oregon', 'University of Oregon', 'University of Oregon']","[{'item': 19459922}, {'item': 75198944}, {'item': 31751766}, {'item': 60919955}, {'item': 50015038}, {'item': 72380213}, {'item': 3303575}, {'item': 64830107}, {'item': 94943778}, {'item': 93089988}, {'item': 73247302}, {'item': 80190916}, {'item': 26572984}, {'item': 15413534}, {'item': 23606390}, {'item': 87465597}, {'item': 2603926}, {'item': 53523257}, {'item': 79381523}, {'item': 72262175}, {'item': 45575410}, {'item': 25957702}, {'item': 41995745}, {'item': 44169472}, {'item': 37955583}, {'item': 91075371}, {'item': 43303708}, {'item': 79457286}, {'item': 48764687}, {'item': 6261474}, {'item': 44791483}, {'item': 32908168}, {'item': 39320559}, {'item': 68803137}, {'item': 40647095}, {'item': 72462926}, {'item': 70765349}, {'item': 88825059}, {'item': 37946615}, {'item': 35064722}, {'item': 27826121}, {'item': 20843786}, {'item': 29241303}, {'item': 27994664}, {'item': 32504421}, {'item': 17821469}, {'item': 7790102}, {'item': 3683261}, {'item': 68477292}, {'item': 6143410}, {'item': 96385741}, {'item': 83754404}, {'item': 98454621}, {'item': 46355929}, {'item': 51717777}, {'item': 4794252}, {'item': 84743431}, {'item': 86124819}, {'item': 5181881}, {'item': 80959007}, {'item': 91779182}, {'item': 87403886}, {'item': 67382168}, {'item': 13182320}, {'item': 50597396}, {'item': 56030414}, {'item': 66930535}, {'item': 76947656}, {'item': 8927660}, {'item': 33443649}, {'item': 70206898}, {'item': 5747299}, {'item': 95121521}, {'item': 49456174}, {'item': 12495567}, {'item': 62688344}, {'item': 80784220}, {'item': 77462020}, {'item': 49215238}, {'item': 47160250}, {'item': 72920979}, {'item': 16192198}, {'item': 73957136}, {'item': 89460206}, {'item': 18888819}, {'item': 53238007}, {'item': 34318953}, {'item': 88873924}, {'item': 40684282}, {'item': 63075841}, {'item': 36203036}, {'item': 79709342}, {'item': 4042565}, {'item': 6251606}, {'item': 99631161}, {'item': 76920671}, {'item': 26935669}, {'item': 50097679}, {'item': 54665515}, {'item': 14034161}, {'item': 96969603}, {'item': 43635663}, {'item': 640879}, {'item': 48604018}, {'item': 50127660}, {'item': 39285197}, {'item': 69599725}, {'item': 21795705}, {'item': 39048248}, {'item': 48773651}, {'item': 52952282}, {'item': 54178035}, {'item': 99859734}, {'item': 86045354}, {'item': 21846023}, {'item': 38967875}, {'item': 7568494}, {'item': 23341313}, {'item': 35671196}, {'item': 80302584}, {'item': 25442998}, {'item': 96105825}, {'item': 77723263}, {'item': 88753031}, {'item': 12893250}, {'item': 84353044}, {'item': 67152130}, {'item': 80209411}, {'item': 28082469}, {'item': 32432781}, {'item': 23180604}, {'item': 13586472}, {'item': 69681893}, {'item': 9242783}, {'item': 29458327}, {'item': 47334991}, {'item': 29010506}, {'item': 9550715}, {'item': 42630104}, {'item': 92956255}, {'item': 36747895}, {'item': 72664988}, {'item': 78977345}, {'item': 51488697}, {'item': 19541963}, {'item': 71152513}, {'item': 50507374}, {'item': 89605082}, {'item': 8879834}, {'item': 37257466}, {'item': 99156882}, {'item': 74734242}, {'item': 96099293}, {'item': 52403648}, {'item': 50528383}, {'item': 7836678}, {'item': 44121056}, {'item': 66567602}, {'item': 59350351}, {'item': 87232020}, {'item': 62312426}, {'item': 41440266}, {'item': 318623}, {'item': 28998284}, {'item': 34488850}, {'item': 86255666}, {'item': 84130882}, {'item': 25577774}, {'item': 7307851}, {'item': 99078613}, {'item': 42437085}, {'item': 34648843}]",Paleosol,Geology,Devonian,"[{'score': 0.88, 'id': 'https://metadata.un.org/sdg/14', 'display_name': 'Life below water'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.6348079833621427
66923305,2016,article,38,8,"['Victor Paulo Peçanha Esteves', 'Elisa Maria Mano Esteves', 'D. J. Bungenstab', 'Daniel Loebmann', 'D. de C. Victoria', 'L. E. Vicente', 'Ofélia de Queiroz Fernandes Araújo', 'Cláudia do Rosário Vaz Morgado']","['Universidade Federal do Rio de Janeiro', 'Universidade Federal do Rio de Janeiro', 'Brazilian Agricultural Research Corporation', 'Brazilian Agricultural Research Corporation', 'Brazilian Agricultural Research Corporation', 'Brazilian Agricultural Research Corporation', 'Universidade Federal do Rio de Janeiro', 'Universidade Federal do Rio de Janeiro']","[{'item': 54783969}, {'item': 37153534}, {'item': 5987086}, {'item': 20960003}, {'item': 65226340}, {'item': 96887071}, {'item': 36694438}, {'item': 11286594}, {'item': 2995402}, {'item': 58845093}, {'item': 80545135}, {'item': 66811311}, {'item': 19225083}, {'item': 97060711}, {'item': 46783664}, {'item': 48670466}, {'item': 46007452}, {'item': 68860758}, {'item': 7978230}, {'item': 13004323}, {'item': 58673231}, {'item': 44668562}, {'item': 58356655}, {'item': 88842943}, {'item': 42655290}, {'item': 38814856}, {'item': 40535365}, {'item': 6227628}, {'item': 10962583}, {'item': 68593026}]",Greenhouse gas,Life-cycle assessment,Environmental science,"[{'score': 0.52, 'id': 'https://metadata.un.org/sdg/12', 'display_name': 'Responsible consumption and production'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-6.26223570497018
78002972,2016,article,28,6,"['Hao Cai', 'J. Wang', 'Yan Feng', 'M. Wang', 'Zhangcai Qin', 'Jennifer B. Dunn']","['Argonne National Laboratory', 'Argonne National Laboratory', 'Argonne National Laboratory', 'Argonne National Laboratory', 'Argonne National Laboratory', 'Argonne National Laboratory']","[{'item': 16173320}, {'item': 46903202}, {'item': 54157841}, {'item': 67540122}, {'item': 98715312}, {'item': 11937683}, {'item': 6631755}, {'item': 39459623}, {'item': 33568518}, {'item': 13823160}, {'item': 78382897}, {'item': 50680188}, {'item': 53736518}, {'item': 53776417}, {'item': 46952461}, {'item': 60709232}, {'item': 94774573}, {'item': 3097663}, {'item': 49297001}, {'item': 87880375}, {'item': 54965015}, {'item': 19228439}, {'item': 88868004}, {'item': 38773362}, {'item': 40914087}, {'item': 21081862}, {'item': 28870716}, {'item': 58659545}, {'item': 25479792}, {'item': 16930775}, {'item': 90175916}, {'item': 90843959}, {'item': 56744535}, {'item': 9738245}, {'item': 34087499}, {'item': 44931911}, {'item': 64411976}, {'item': 78706648}, {'item': 67512540}, {'item': 43077959}, {'item': 46877083}, {'item': 79924087}, {'item': 79700179}, {'item': 81198377}, {'item': 23836794}, {'item': 17421933}]",Albedo (alchemy),Expansive,Biofuel,"[{'score': 0.46, 'id': 'https://metadata.un.org/sdg/13', 'display_name': 'Climate action'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-5.383502385402488
33131895,2016,article,28,4,"['Saad Saleem Bhatti', 'Nitin Kumar Tripathi', 'Masahiko Nagai', 'Vilas Nitivattananon']","['Asian Institute of Technology', 'Asian Institute of Technology', 'Asian Institute of Technology', 'Asian Institute of Technology']","[{'item': 74370056}, {'item': 68546724}, {'item': 55582116}, {'item': 33807288}, {'item': 62111536}, {'item': 9480303}, {'item': 9543136}, {'item': 49930751}, {'item': 80702832}, {'item': 75098698}, {'item': 40305346}, {'item': 69316061}, {'item': 95005089}, {'item': 88118471}, {'item': 91424067}, {'item': 29782007}, {'item': 25435447}, {'item': 58390239}, {'item': 68401989}, {'item': 72455231}, {'item': 72669145}, {'item': 54703620}, {'item': 69711373}, {'item': 93988187}, {'item': 36162198}, {'item': 62132621}, {'item': 18061589}, {'item': 40175108}, {'item': 57521959}, {'item': 10485333}, {'item': 38982677}, {'item': 63274346}, {'item': 57826210}, {'item': 22856594}, {'item': 98274873}, {'item': 57750068}, {'item': 10478298}, {'item': 57507961}, {'item': 72574753}, {'item': 13395271}, {'item': 93250789}, {'item': 46701061}, {'item': 86833724}, {'item': 54182790}, {'item': 35932845}, {'item': 55369544}, {'item': 37376013}, {'item': 39792272}, {'item': 44133733}, {'item': 46302094}, {'item': 50016595}, {'item': 58978995}, {'item': 58929973}, {'item': 16395038}, {'item': 76231218}, {'item': 75312404}, {'item': 25918960}, {'item': 41788299}, {'item': 86215767}, {'item': 33688691}, {'item': 64753500}, {'item': 16877847}, {'item': 94004613}, {'item': 92381059}, {'item': 5476564}, {'item': 38546110}, {'item': 20239109}, {'item': 21661001}, {'item': 90926565}, {'item': 49890062}, {'item': 78253439}]",Urbanization,Quality of life (healthcare),Land cover,"[{'score': 0.83, 'id': 'https://metadata.un.org/sdg/11', 'display_name': 'Sustainable cities and communities'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.499836880844409
