PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
52161912,2016,article,1376,6,"['Neal Jean', 'Marshall Burke', 'Sang Michael Xie', 'W. Matthew Davis', 'David B. Lobell', 'Stefano Ermon']","['Stanford University', 'National Bureau of Economic Research', 'Stanford University', 'Stanford University', 'Stanford University', 'Stanford University', 'Stanford University']","[{'item': 20116829}, {'item': 88598000}, {'item': 79846156}, {'item': 98279618}, {'item': 61322248}, {'item': 8141907}, {'item': 62578372}, {'item': 13321864}, {'item': 73975217}, {'item': 4801101}, {'item': 82476964}, {'item': 9704588}, {'item': 93256829}, {'item': 40709600}, {'item': 43373498}, {'item': 5445445}, {'item': 35730200}, {'item': 59433115}, {'item': 89469003}, {'item': 28018576}, {'item': 91167336}, {'item': 22419031}]",Proxy (statistics),Poverty,Satellite imagery,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.65}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.343969157742416
86164635,2016,article,956,2,"['Tavneet Suri', 'William Jack']","['London International Development Centre', 'Innovations for Poverty Action', 'Massachusetts Institute of Technology', 'Abdul Latif Jameel Poverty Action Lab', 'International Growth Centre', 'National Bureau of Economic Research', 'Georgetown University']","[{'item': 20131333}, {'item': 65503487}, {'item': 95104712}, {'item': 34370777}, {'item': 63755615}, {'item': 82911632}, {'item': 60976875}, {'item': 43355212}, {'item': 55171189}, {'item': 92553806}, {'item': 48305262}, {'item': 16609485}, {'item': 77209596}, {'item': 9704588}, {'item': 79753482}, {'item': 11428522}, {'item': 48066727}, {'item': 57162035}, {'item': 74018563}, {'item': 79725713}, {'item': 70485153}, {'item': 92838688}]",Poverty,Mobile payment,Mobile phone,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.41}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-5.762966388944057
72156289,2016,article,662,3,"['Susana Claro', 'David Paunesku', 'Carol S. Dweck']","['Stanford University', 'Stanford University', 'Stanford University']","[{'item': 31752233}, {'item': 98545814}, {'item': 86629399}, {'item': 99161970}, {'item': 26617024}, {'item': 57878344}, {'item': 86951144}, {'item': 86454258}, {'item': 71795547}, {'item': 19892828}, {'item': 53088445}, {'item': 83934113}, {'item': 70461537}, {'item': 41242465}, {'item': 59448283}, {'item': 67668810}, {'item': 72029029}, {'item': 29775921}, {'item': 92257180}, {'item': 7471695}, {'item': 71448999}, {'item': 14653672}, {'item': 32155329}, {'item': 82691299}]",Mindset,Poverty,Disadvantage,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.8}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.2223069159238595
84243524,2016,article,588,11,"['Benjamin A. Gitterman', 'Patricia Flanagan', 'William H. Cotton', 'Kimberley Dilley', 'James H. Duffee', 'Andrea E. Green', 'Virginia Keane', 'S Krugman', 'Julie M. Linton', 'Carla D. McKelvey', 'Jacqueline L. Nelson']",[],"[{'item': 71885591}, {'item': 73552031}, {'item': 91663143}, {'item': 4934089}, {'item': 93990292}, {'item': 42546106}, {'item': 17676084}, {'item': 43993614}, {'item': 18474286}, {'item': 60346321}, {'item': 86951144}, {'item': 16464750}, {'item': 34120609}, {'item': 31560992}, {'item': 89437372}, {'item': 59527044}, {'item': 94581376}, {'item': 10300595}, {'item': 36058475}, {'item': 61310518}, {'item': 89668161}, {'item': 98072647}, {'item': 22544633}, {'item': 57329492}, {'item': 61611328}, {'item': 22847535}, {'item': 37106613}, {'item': 76292824}, {'item': 945524}, {'item': 40870690}, {'item': 15690236}, {'item': 15042922}, {'item': 79417183}, {'item': 72708398}, {'item': 78990515}, {'item': 57328368}, {'item': 59824698}, {'item': 68379411}, {'item': 46059214}, {'item': 82040092}, {'item': 30145910}, {'item': 4664046}, {'item': 33572496}, {'item': 77616089}, {'item': 25945472}, {'item': 41933296}, {'item': 31446893}]",Poverty,Medicine,Socioemotional selectivity theory,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.74}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.6547029724624618
80260132,2016,article,581,3,"['Rosie Day', 'Gordon Walker', 'Neil Simcock']","['University of Birmingham', 'Lancaster University', 'Lancaster University']","[{'item': 36560565}, {'item': 19500856}, {'item': 33567721}, {'item': 31231994}, {'item': 93274183}, {'item': 98292572}, {'item': 36418307}, {'item': 19923930}, {'item': 935144}, {'item': 4712470}, {'item': 92212733}, {'item': 43180005}, {'item': 57825353}, {'item': 99257857}, {'item': 87255873}, {'item': 63895080}, {'item': 53020224}, {'item': 50682704}, {'item': 97426887}, {'item': 3678206}, {'item': 7176497}, {'item': 84630626}, {'item': 8928242}, {'item': 49419767}, {'item': 68365298}, {'item': 85023725}, {'item': 68380421}, {'item': 79564463}, {'item': 55973065}, {'item': 1125458}, {'item': 46993854}, {'item': 99849594}, {'item': 52734689}, {'item': 9105428}, {'item': 52913733}, {'item': 2211151}, {'item': 99454013}, {'item': 21214082}, {'item': 32031377}, {'item': 94228802}, {'item': 11397524}, {'item': 20819234}, {'item': 85852721}, {'item': 32380278}, {'item': 33795820}, {'item': 26809540}, {'item': 18197234}, {'item': 6912666}, {'item': 47986130}, {'item': 85232672}, {'item': 89778481}, {'item': 86967063}, {'item': 25634463}, {'item': 31016210}, {'item': 9341572}, {'item': 5885083}, {'item': 83426393}, {'item': 26724957}, {'item': 69327510}, {'item': 17804197}, {'item': 82009347}, {'item': 7025572}, {'item': 45444490}, {'item': 6567740}, {'item': 95670221}, {'item': 75292415}, {'item': 29092210}, {'item': 52242293}, {'item': 38878374}, {'item': 18568696}, {'item': 95425174}, {'item': 49348176}, {'item': 43832976}, {'item': 37379808}, {'item': 84645366}, {'item': 39467990}, {'item': 11196505}, {'item': 48810361}, {'item': 73120707}]",Energy poverty,Energy (signal processing),Context (archaeology),[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2941, 'currency': 'EUR', 'value_usd': 3171, 'provenance': 'openapc'}",Missing,-2.707339108020641
23198452,2016,article,577,2,"['Akhter Ali', 'Olaf Erenstein']",['Centro Internacional de Mejoramiento de Maíz Y Trigo'],"[{'item': 91196904}, {'item': 11269129}, {'item': 64947241}, {'item': 17659628}, {'item': 3772589}, {'item': 52367623}, {'item': 33848244}, {'item': 54496875}, {'item': 16780960}, {'item': 85772471}, {'item': 5381982}, {'item': 52257914}, {'item': 15483077}, {'item': 25746616}, {'item': 64810723}, {'item': 54913051}, {'item': 35634315}, {'item': 45736736}, {'item': 28188710}, {'item': 48729209}, {'item': 50379446}, {'item': 54002467}, {'item': 19736155}, {'item': 35820470}, {'item': 88598590}, {'item': 39581355}, {'item': 91882892}, {'item': 20642713}, {'item': 56559049}, {'item': 95973463}, {'item': 2274771}, {'item': 72058579}, {'item': 49926607}, {'item': 33089051}, {'item': 88619879}, {'item': 3597077}, {'item': 48800561}, {'item': 40446301}, {'item': 73091355}, {'item': 45903552}, {'item': 51276435}, {'item': 33661402}, {'item': 77163370}, {'item': 62213236}, {'item': 37832051}, {'item': 55024731}, {'item': 47307551}, {'item': 99808708}, {'item': 67040209}, {'item': 7788501}, {'item': 53398972}, {'item': 58413368}]",Food security,Poverty,Climate change,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.5}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1750, 'currency': 'USD', 'value_usd': 1750, 'provenance': 'doaj'}",Missing,-4.201564208353903
35465513,2016,review,551,3,"['Sara B. Johnson', 'Jenna L. Riis', 'Kimberly G. Noble']","['Johns Hopkins University', 'Johns Hopkins University', 'Columbia University']","[{'item': 49739844}, {'item': 44729953}, {'item': 64756835}, {'item': 65758387}, {'item': 91663143}, {'item': 30823286}, {'item': 11325613}, {'item': 4934089}, {'item': 3377729}, {'item': 23357708}, {'item': 54614203}, {'item': 19942820}, {'item': 99142100}, {'item': 25652498}, {'item': 3020159}, {'item': 52972542}, {'item': 3432178}, {'item': 13195915}, {'item': 84233011}, {'item': 70127979}, {'item': 18164096}, {'item': 98723383}, {'item': 72893003}, {'item': 58884616}, {'item': 86951144}, {'item': 44399915}, {'item': 39404444}, {'item': 850609}, {'item': 49972132}, {'item': 90542530}, {'item': 75718185}, {'item': 2418962}, {'item': 25252416}, {'item': 2738663}, {'item': 17156481}, {'item': 28664423}, {'item': 20732173}, {'item': 88448634}, {'item': 24251623}, {'item': 5283347}, {'item': 43428966}, {'item': 81269145}, {'item': 2594233}, {'item': 61635797}, {'item': 80008067}, {'item': 31866597}, {'item': 34426720}, {'item': 34596455}, {'item': 28511194}, {'item': 2719743}, {'item': 93631419}, {'item': 25535828}, {'item': 39166663}, {'item': 23314931}, {'item': 14408653}, {'item': 46889314}, {'item': 35240551}, {'item': 83737200}, {'item': 87775371}, {'item': 23380066}, {'item': 72683472}, {'item': 67459986}, {'item': 10050222}, {'item': 66691750}, {'item': 2425280}, {'item': 54521801}, {'item': 10144809}, {'item': 2176196}, {'item': 55011165}, {'item': 41584750}, {'item': 46513753}, {'item': 24393867}, {'item': 15613366}, {'item': 8432104}, {'item': 36482034}, {'item': 84905166}, {'item': 73247639}, {'item': 65502411}, {'item': 49549318}, {'item': 49933892}, {'item': 2865881}, {'item': 9573598}, {'item': 21859889}, {'item': 43048584}, {'item': 60247456}, {'item': 95472615}, {'item': 34256434}, {'item': 2705251}, {'item': 74993940}, {'item': 20449784}, {'item': 62546836}, {'item': 88981263}, {'item': 59448283}, {'item': 22424769}, {'item': 25769667}, {'item': 84656778}, {'item': 45610981}, {'item': 1946600}, {'item': 82702981}, {'item': 15690236}, {'item': 28199818}, {'item': 96229886}, {'item': 42792948}, {'item': 39702668}, {'item': 77513645}, {'item': 7881065}, {'item': 3124211}, {'item': 96509736}, {'item': 45068898}, {'item': 18901973}, {'item': 78177246}, {'item': 24429902}, {'item': 65114646}, {'item': 99973738}, {'item': 43815227}, {'item': 78727922}, {'item': 24004826}, {'item': 33213586}, {'item': 50131884}, {'item': 75162581}, {'item': 87308149}, {'item': 92496013}, {'item': 54601304}, {'item': 71270453}, {'item': 55559274}, {'item': 45648670}, {'item': 90926565}, {'item': 18380652}, {'item': 34204327}, {'item': 98140251}, {'item': 46379814}]",Poverty,Medicine,Cognition,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.67}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-0.947056303893782
33306330,2016,article,427,3,"['Leandro Carvalho', 'Stephan Meier', 'Stephanie W. Wang']","['University of Southern California', 'Columbia University', 'University of Pittsburgh']","[{'item': 13669875}, {'item': 93573722}, {'item': 43679119}, {'item': 12260569}, {'item': 13758985}, {'item': 41050331}, {'item': 68281284}, {'item': 1279317}, {'item': 5642936}, {'item': 38621265}, {'item': 95933852}, {'item': 23468889}, {'item': 47818270}, {'item': 92738257}, {'item': 85012097}, {'item': 66636300}, {'item': 3754027}, {'item': 9708665}, {'item': 21472231}, {'item': 23762723}, {'item': 97800111}, {'item': 96366122}, {'item': 64647545}, {'item': 59977138}, {'item': 15231382}, {'item': 41530331}, {'item': 25113241}, {'item': 34057911}, {'item': 74989297}, {'item': 10065619}, {'item': 57144222}, {'item': 50438291}, {'item': 24747918}, {'item': 91196821}, {'item': 78173271}, {'item': 31758286}, {'item': 40752208}, {'item': 64093932}, {'item': 31803310}, {'item': 92898285}, {'item': 40191717}, {'item': 8041493}, {'item': 3707091}, {'item': 6245902}, {'item': 49133827}, {'item': 51437174}, {'item': 87121513}, {'item': 27403917}, {'item': 21268975}, {'item': 72446864}, {'item': 91617556}, {'item': 19115120}, {'item': 28190534}, {'item': 3738969}, {'item': 7111170}, {'item': 7308599}, {'item': 58068658}, {'item': 58967940}, {'item': 77562118}, {'item': 90077536}, {'item': 49114955}, {'item': 64955917}, {'item': 25956759}, {'item': 5876810}, {'item': 83026990}, {'item': 74037471}, {'item': 87484275}, {'item': 62970627}, {'item': 54556061}, {'item': 25414641}, {'item': 14721576}, {'item': 28863140}, {'item': 82023286}, {'item': 14163523}, {'item': 114083}, {'item': 37581469}, {'item': 84626474}, {'item': 17445746}, {'item': 2803912}, {'item': 68013041}, {'item': 75047260}, {'item': 90926565}]",Economics,Intertemporal choice,Cash,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.53}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.898534652056508
30609607,2016,review,427,2,"['Clancy Blair', 'C. Cybele Raver']","['New York University', 'New York University']","[{'item': 60228793}, {'item': 82029358}, {'item': 91663143}, {'item': 85928996}, {'item': 4934089}, {'item': 15194463}, {'item': 52660517}, {'item': 3377729}, {'item': 25652498}, {'item': 36122259}, {'item': 14478899}, {'item': 49549984}, {'item': 94207803}, {'item': 34369915}, {'item': 24251623}, {'item': 98800127}, {'item': 61635797}, {'item': 80008067}, {'item': 72896914}, {'item': 67922139}, {'item': 63976620}, {'item': 48065675}, {'item': 56552642}, {'item': 22754662}, {'item': 95409237}, {'item': 44429965}, {'item': 70478667}, {'item': 30802222}, {'item': 17171018}, {'item': 1013500}, {'item': 67697867}, {'item': 39350115}, {'item': 10144809}, {'item': 74351852}, {'item': 62516364}, {'item': 46513753}, {'item': 12449805}, {'item': 95544725}, {'item': 9542310}, {'item': 94315676}, {'item': 23578980}, {'item': 29291439}, {'item': 78181122}, {'item': 59448283}, {'item': 31086711}, {'item': 27308870}, {'item': 95293296}, {'item': 22259060}, {'item': 84656778}, {'item': 45610981}, {'item': 51645103}, {'item': 49898100}, {'item': 11782568}, {'item': 63449334}, {'item': 96612980}, {'item': 78100973}, {'item': 34629083}, {'item': 28769077}, {'item': 80072810}, {'item': 60427717}, {'item': 6343745}, {'item': 58141622}, {'item': 18151435}, {'item': 17275180}, {'item': 99973738}, {'item': 8315609}, {'item': 25699743}, {'item': 24009841}, {'item': 39066575}, {'item': 96566464}, {'item': 23804987}, {'item': 33717893}, {'item': 3312969}]",Intervention (counseling),Poverty,Cognition,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.8}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.7774658243806172
59433115,2016,article,395,5,"['Sang Michael Xie', 'Neal Jean', 'Marshall Burke', 'David B. Lobell', 'Stefano Ermon']","['Stanford University', 'Stanford University', 'Stanford University', 'Stanford University', 'Stanford University']","[{'item': 83005605}, {'item': 85113394}, {'item': 58494613}, {'item': 81122222}, {'item': 1593247}, {'item': 79846156}, {'item': 61322248}, {'item': 71468639}, {'item': 7853369}, {'item': 18492833}, {'item': 24540930}, {'item': 4801101}, {'item': 73855273}, {'item': 56457074}, {'item': 10656511}, {'item': 69943244}, {'item': 70905050}, {'item': 18312842}, {'item': 82077279}, {'item': 4171064}, {'item': 29308688}, {'item': 87352271}, {'item': 92207910}, {'item': 35730200}, {'item': 59433115}, {'item': 19613012}, {'item': 82691550}, {'item': 22254232}, {'item': 88443547}, {'item': 22419031}]",Computer science,Transfer of learning,Convolutional neural network,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.64}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-5.498461904804982
19295395,2016,book,370,0,[],[],"[{'item': 6182729}, {'item': 91836672}, {'item': 31519768}, {'item': 81601564}, {'item': 19307470}, {'item': 63178626}, {'item': 83547434}, {'item': 49094161}, {'item': 84936188}, {'item': 78696564}, {'item': 4784512}, {'item': 42873088}, {'item': 50784528}, {'item': 166630}, {'item': 48391886}, {'item': 56007602}, {'item': 30109195}, {'item': 20503505}, {'item': 29135418}, {'item': 19295395}, {'item': 35189963}, {'item': 91048194}, {'item': 83848953}, {'item': 38885806}, {'item': 93567630}, {'item': 44456461}, {'item': 9842758}, {'item': 73031964}, {'item': 88879477}, {'item': 28067142}, {'item': 33769828}, {'item': 8300507}, {'item': 79752893}, {'item': 37349091}, {'item': 65286723}, {'item': 94011559}, {'item': 35615953}, {'item': 95126179}, {'item': 40090047}, {'item': 73947655}, {'item': 74116394}]",Prosperity,Poverty,Inequality,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.77}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-5.4000218319917295
25400966,2016,article,355,1,['Augustin Kwasi Fosu'],"['Aalto University', 'University of Pretoria', 'University of Manchester', 'Oxford Centre for Mission Studies', 'University of Oxford', 'University of Ghana']","[{'item': 39994024}, {'item': 69024507}, {'item': 24292026}, {'item': 31162136}, {'item': 36273014}, {'item': 97300765}, {'item': 16720978}, {'item': 39227546}, {'item': 78794963}, {'item': 57132240}, {'item': 83255564}, {'item': 32117215}, {'item': 17324245}, {'item': 9797532}, {'item': 14691933}, {'item': 24409256}, {'item': 40500517}, {'item': 13468261}, {'item': 49382292}, {'item': 87764813}, {'item': 49582813}, {'item': 28626624}, {'item': 35719940}, {'item': 60115076}, {'item': 83008187}, {'item': 51555386}, {'item': 9838095}]",Poverty,Economics,Inequality,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.69}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.116110004263305
41824808,2016,article,336,4,"['Karen Lucas', 'Giulio Mattioli', 'Ersilia Verlinghieri', 'Alvaro Guzman']","['University of Leeds', 'University of Leeds', 'University of Leeds', 'University of Leeds']","[{'item': 39313797}, {'item': 86362523}, {'item': 51058405}, {'item': 79313883}, {'item': 3323348}, {'item': 38486581}, {'item': 30373434}, {'item': 88202664}, {'item': 26813757}, {'item': 61514466}, {'item': 73840740}, {'item': 11276400}, {'item': 23703010}, {'item': 79122540}, {'item': 28046226}, {'item': 37075882}, {'item': 60976593}, {'item': 34441753}, {'item': 99189696}, {'item': 67519490}, {'item': 87910471}, {'item': 3690448}, {'item': 55918845}, {'item': 69012736}, {'item': 39981441}, {'item': 68779331}, {'item': 9480529}, {'item': 71567205}, {'item': 1592101}, {'item': 58742832}, {'item': 1790365}, {'item': 70328416}, {'item': 68728615}, {'item': 35174405}, {'item': 93689842}, {'item': 19009735}, {'item': 29406885}, {'item': 72911289}, {'item': 88880576}, {'item': 83101766}, {'item': 97474876}, {'item': 82802579}, {'item': 69294762}, {'item': 80176811}, {'item': 64170351}, {'item': 13460320}, {'item': 9341572}, {'item': 63586479}, {'item': 77840486}, {'item': 22411058}, {'item': 42885779}, {'item': 69657354}, {'item': 18975714}, {'item': 6116868}, {'item': 23363500}, {'item': 40152145}, {'item': 48307784}, {'item': 63487940}, {'item': 90926565}, {'item': 83980388}, {'item': 97424605}, {'item': 66795690}, {'item': 72148834}, {'item': 71010827}, {'item': 40463323}]",Poverty,Globe,Urbanization,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.56}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.460014573500258
13101865,2016,review,329,2,"['Ajay Chaudry', 'Christopher Wimer']","['Georgetown University', 'Columbia University']","[{'item': 47537327}, {'item': 58981581}, {'item': 57678040}, {'item': 23718358}, {'item': 61839179}, {'item': 14398827}, {'item': 43919201}, {'item': 75627232}, {'item': 18474286}, {'item': 17739277}, {'item': 38466065}, {'item': 9262711}, {'item': 86951144}, {'item': 43357369}, {'item': 51659322}, {'item': 34369915}, {'item': 9076806}, {'item': 3676374}, {'item': 34596455}, {'item': 22921685}, {'item': 56552642}, {'item': 49382855}, {'item': 45598073}, {'item': 91060820}, {'item': 88617220}, {'item': 38501670}, {'item': 4393314}, {'item': 72039966}, {'item': 6520968}, {'item': 70945612}, {'item': 3318115}, {'item': 99822033}, {'item': 22847535}, {'item': 75748361}, {'item': 87874865}, {'item': 4797748}, {'item': 98466752}, {'item': 25769667}, {'item': 61888137}, {'item': 15690236}, {'item': 11904382}, {'item': 51354213}, {'item': 32013710}, {'item': 25699743}, {'item': 73512726}, {'item': 95319701}, {'item': 32323528}, {'item': 45452266}, {'item': 4867835}, {'item': 53745827}, {'item': 62287816}, {'item': 17860850}, {'item': 45648670}, {'item': 66547529}, {'item': 46826023}, {'item': 75395302}, {'item': 74365282}, {'item': 47921473}, {'item': 17254642}]",Poverty,Context (archaeology),Child poverty,"[{'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty', 'score': 0.78}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.0499858603874095
