PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
5401956,2016,article,52,6,"['Arne Rückert', 'Ashley Schram', 'Ronald Labonté', 'Sharon Friel', 'Deborah Gleeson', 'Anne Marie Thow']","['University of Ottawa', 'University of Ottawa', 'University of Ottawa', 'Australian National University', 'La Trobe University', 'University of Sydney']","[{'item': 85704509}, {'item': 65870342}, {'item': 45551456}, {'item': 11577926}, {'item': 43629620}, {'item': 97303164}, {'item': 71503007}, {'item': 22298681}, {'item': 62152713}, {'item': 5151097}, {'item': 43140317}, {'item': 6817698}, {'item': 50569861}, {'item': 91706452}, {'item': 20591682}, {'item': 36629814}, {'item': 52599779}, {'item': 75721639}, {'item': 8723641}, {'item': 44132394}, {'item': 474043}, {'item': 48258141}, {'item': 77310089}, {'item': 80086079}, {'item': 28077278}, {'item': 65200277}, {'item': 42113562}, {'item': 78116118}, {'item': 64793030}, {'item': 37262432}, {'item': 92948730}, {'item': 70155799}, {'item': 45941114}, {'item': 88698469}, {'item': 7030447}, {'item': 55236893}, {'item': 62418561}, {'item': 26302700}, {'item': 79906631}, {'item': 92357663}, {'item': 52682946}, {'item': 16387729}, {'item': 31197264}, {'item': 20517245}, {'item': 45060628}, {'item': 75105814}, {'item': 67946175}, {'item': 57037296}, {'item': 42595008}, {'item': 65220013}, {'item': 16194970}, {'item': 11327719}, {'item': 70246345}, {'item': 82073759}, {'item': 80569630}, {'item': 77774746}, {'item': 7253344}, {'item': 42012141}, {'item': 74351317}, {'item': 91620736}]",Sustainable development,General partnership,Millennium Development Goals,"[{'display_name': 'Partnerships for the goals', 'score': 0.54, 'id': 'https://metadata.un.org/sdg/17'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-0.24017663279955603
41857222,2016,review,35,8,"['Safiya George Dalmida', 'Roxanne Amerson', 'Jennifer Foster', 'Leila McWhinney‐Dehaney', 'Mabel K.M. Magowe', 'Patrice K. Nicholas', 'Karen M. Pehrson', 'Jeanne Leffers']","['University of Alabama', 'Clemson University', 'Emory University', 'University of Botswana', 'Ministry of Health', 'MGH Institute of Health Professions', ""Brigham and Women's Hospital"", 'SouthCoast Health', 'University of Massachusetts Dartmouth', 'University of Massachusetts Dartmouth', 'Delta Air Lines (United States)']","[{'item': 47114505}, {'item': 95126385}, {'item': 17881959}, {'item': 44636474}, {'item': 77141040}, {'item': 49120551}, {'item': 61080301}, {'item': 26230677}, {'item': 53089134}, {'item': 79151272}, {'item': 42861706}, {'item': 99462386}, {'item': 63335362}, {'item': 13718878}, {'item': 17399672}, {'item': 93286594}, {'item': 60750712}, {'item': 76116608}, {'item': 98163652}, {'item': 36521341}, {'item': 6819464}, {'item': 53827856}, {'item': 27977934}, {'item': 30267490}, {'item': 94278994}, {'item': 86019647}]",Service-learning,Millennium Development Goals,Volunteer,"[{'display_name': 'Partnerships for the goals', 'score': 0.58, 'id': 'https://metadata.un.org/sdg/17'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.9574998708745934
44667876,2016,article,29,1,['Timothy Lynch'],['University of Plymouth'],"[{'item': 29509705}, {'item': 88254736}, {'item': 60725200}, {'item': 13772993}, {'item': 6594092}, {'item': 57927417}, {'item': 64831688}, {'item': 12917801}, {'item': 41931465}, {'item': 75322610}, {'item': 70905050}, {'item': 46457772}, {'item': 79644459}, {'item': 86521849}, {'item': 87349141}]",General partnership,Disadvantaged,Sustainable development,"[{'display_name': 'Partnerships for the goals', 'score': 0.56, 'id': 'https://metadata.un.org/sdg/17'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 950, 'currency': 'GBP', 'value_usd': 1165, 'provenance': 'doaj'}",Missing,-3.1171368613804775
76961335,2016,article,8,2,"['Maximus N. O. Asogwa', 'Severus Ifeanyi Odoziobodo']","['University of Nigeria', 'Enugu State University of Science and Technology']","[{'item': 22505472}, {'item': 65062204}, {'item': 50016595}, {'item': 88650432}, {'item': 49763342}, {'item': 57526998}]",Private sector,Millennium Development Goals,General partnership,"[{'display_name': 'Partnerships for the goals', 'score': 0.58, 'id': 'https://metadata.un.org/sdg/17'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-5.176375695742794
89019252,2016,article,0,1,['Hannah B. Mudrick'],[],"[{'item': 52229958}, {'item': 33747189}, {'item': 13240400}, {'item': 27249840}, {'item': 90928020}, {'item': 33093954}, {'item': 14290609}, {'item': 75081719}, {'item': 24624475}, {'item': 56019878}, {'item': 79508657}, {'item': 36690036}, {'item': 47168661}, {'item': 37736541}, {'item': 74631669}, {'item': 27697653}, {'item': 88580980}, {'item': 90237200}, {'item': 4165615}, {'item': 64186308}, {'item': 11360322}, {'item': 81754734}, {'item': 67903764}, {'item': 1936961}, {'item': 67720356}, {'item': 88544244}, {'item': 58028558}, {'item': 92672468}, {'item': 93516886}, {'item': 7755360}, {'item': 81225893}, {'item': 45526905}, {'item': 66167247}, {'item': 27867093}, {'item': 27207052}, {'item': 94013277}, {'item': 96956405}, {'item': 1738624}, {'item': 73978465}, {'item': 89015605}, {'item': 29073975}, {'item': 59212415}, {'item': 78113173}, {'item': 25259119}, {'item': 49244774}, {'item': 2887877}, {'item': 84977348}, {'item': 41498111}, {'item': 40718693}, {'item': 61004011}, {'item': 44267634}, {'item': 21430530}, {'item': 66617695}, {'item': 74357980}, {'item': 86412878}, {'item': 57990131}, {'item': 75162581}, {'item': 64622193}, {'item': 80648009}, {'item': 76053615}, {'item': 21545465}, {'item': 55579274}, {'item': 39027705}, {'item': 49213175}, {'item': 4692569}, {'item': 20459856}, {'item': 65046575}]",Negotiation,Psychology,Developmental psychology,"[{'display_name': 'Partnerships for the goals', 'id': 'https://metadata.un.org/sdg/17', 'score': 0.54}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-0.01594203655814391
18127673,2017,book-chapter,124,2,"['Paloma Durán y Lalaguna', 'Ekaterina Dorodnykh']",[],"[{'item': 75326603}, {'item': 43124585}, {'item': 53246222}, {'item': 36103046}, {'item': 39496147}, {'item': 61797066}, {'item': 74119500}, {'item': 74660695}, {'item': 45355135}]",Sustainable development,Private sector,Promotion (chess),"[{'display_name': 'Partnerships for the goals', 'score': 0.58, 'id': 'https://metadata.un.org/sdg/17'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.24603686557378
25801795,2017,article,39,4,"['Bilal Anwar', 'Zhongdong Xiao', 'Sharmin Akter', 'Ramiz Ur Rehman']","[""Xi'an Jiaotong University"", ""Xi'an Jiaotong University"", 'University of Chittagong', 'University of Lahore']","[{'item': 3272642}, {'item': 85373967}, {'item': 89604162}, {'item': 83986423}, {'item': 73844999}, {'item': 54223283}, {'item': 53213377}, {'item': 5168830}, {'item': 42997997}, {'item': 54185248}, {'item': 49993079}, {'item': 68715257}, {'item': 526244}, {'item': 7446724}, {'item': 50165567}, {'item': 17658626}, {'item': 62316082}, {'item': 77791030}, {'item': 31680658}, {'item': 89178206}, {'item': 3429050}, {'item': 21418252}, {'item': 53034862}, {'item': 27883928}, {'item': 24637562}, {'item': 58332359}, {'item': 87569531}, {'item': 87158883}, {'item': 11243863}, {'item': 83663835}, {'item': 1608622}, {'item': 66302893}, {'item': 28758371}, {'item': 27813086}, {'item': 18301981}, {'item': 2920053}, {'item': 39868153}, {'item': 13065757}, {'item': 1582252}, {'item': 13745767}, {'item': 40913927}, {'item': 41040090}, {'item': 65686155}, {'item': 52455037}, {'item': 54478949}, {'item': 95382700}, {'item': 81800677}, {'item': 27465723}, {'item': 39055768}, {'item': 88449660}, {'item': 51249433}, {'item': 7413568}, {'item': 49262956}, {'item': 96616384}, {'item': 35948216}, {'item': 86118539}, {'item': 83710031}, {'item': 60443677}, {'item': 92931172}, {'item': 91600520}, {'item': 52869156}, {'item': 36314009}, {'item': 94719958}]",Urbanization,Sustainable development,Business,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2200, 'currency': 'CHF', 'value_usd': 2382, 'provenance': 'doaj'}",Missing,-0.15065117884326834
49315952,2017,article,18,4,"['Mykola Vasylovych Kostel', 'Daryna Volodymyrivna Leus', 'Alina Cebotarenco', 'Anastasia Mokrushina']","['Sumy State University', 'Sumy State University', 'Sumy State University']","[{'item': 30441056}, {'item': 93743312}, {'item': 49998391}]",Sustainable development,General partnership,Sustainability,"[{'display_name': 'Partnerships for the goals', 'score': 0.51, 'id': 'https://metadata.un.org/sdg/17'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1500, 'currency': 'UAH', 'value_usd': None, 'provenance': 'doaj'}",Missing,-7.018625587813561
17992081,2017,article,14,2,"['Clive Gabay', 'Suzan Ilcan']","['Queen Mary University of London', 'University of Waterloo', 'Balsillie School of International Affairs']","[{'item': 6382921}, {'item': 5205973}, {'item': 29060487}, {'item': 83255777}, {'item': 54427102}, {'item': 95997170}, {'item': 28170515}, {'item': 62622732}, {'item': 50657982}, {'item': 98456724}, {'item': 11302989}, {'item': 69169934}, {'item': 46114556}, {'item': 74714551}, {'item': 40493786}, {'item': 52049802}, {'item': 29220357}, {'item': 65978761}, {'item': 52272328}, {'item': 78456727}, {'item': 1485837}, {'item': 28956723}, {'item': 66810032}, {'item': 50890002}, {'item': 22249067}, {'item': 53076861}, {'item': 29843067}, {'item': 72649508}, {'item': 54788236}, {'item': 74563871}, {'item': 79791538}, {'item': 75351931}, {'item': 46135030}, {'item': 55649324}, {'item': 87604280}, {'item': 87195467}, {'item': 20683953}, {'item': 40219828}, {'item': 77230800}, {'item': 14836636}, {'item': 68385072}, {'item': 87195132}, {'item': 56788377}, {'item': 52446313}, {'item': 58954706}, {'item': 58292231}, {'item': 619084}, {'item': 31096352}, {'item': 86679851}, {'item': 72187211}, {'item': 78935947}, {'item': 97045200}, {'item': 86732757}, {'item': 32676662}, {'item': 19590051}, {'item': 49848766}, {'item': 54028799}, {'item': 93441772}, {'item': 91944588}, {'item': 84212930}, {'item': 20702533}, {'item': 48073678}, {'item': 23011757}, {'item': 43027959}, {'item': 94086170}, {'item': 60984840}, {'item': 98658650}, {'item': 32554233}]",General partnership,Affect (linguistics),Politics,"[{'display_name': 'Partnerships for the goals', 'score': 0.57, 'id': 'https://metadata.un.org/sdg/17'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.004465289848480566
6943157,2017,article,3,1,['Maryna Marianovych'],[],"[{'item': 3667009}, {'item': 90607255}, {'item': 94278994}]",General partnership,Sustainable development,Public–private partnership,"[{'display_name': 'Partnerships for the goals', 'score': 0.55, 'id': 'https://metadata.un.org/sdg/17'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1000, 'currency': 'UAH', 'value_usd': None, 'provenance': 'doaj'}",Missing,-7.018625587813561
