PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
6392679,2016,review,498,5,"['Roy Batterham', 'Mélanie Hawkins', 'Patricia Collins', 'Rachelle Buchbinder', 'Richard H. Osborne']","['Health Systems Research Institute', 'Deakin University', 'Deakin University', 'NHS England', 'Monash University', 'Cabrini Hospital', 'Deakin University']","[{'item': 70564290}, {'item': 13114055}, {'item': 31629821}, {'item': 3162059}, {'item': 85601902}, {'item': 44591932}, {'item': 37435860}, {'item': 98104942}, {'item': 44915528}, {'item': 88958130}, {'item': 63099988}, {'item': 45769101}, {'item': 70238908}, {'item': 12757842}, {'item': 84046012}, {'item': 34103760}, {'item': 61447023}, {'item': 29816428}, {'item': 2821562}, {'item': 65090787}, {'item': 79983177}, {'item': 43952487}, {'item': 50660605}, {'item': 59254114}, {'item': 9461226}, {'item': 56377059}, {'item': 69962130}, {'item': 41740408}, {'item': 18126292}, {'item': 77219341}, {'item': 62924774}, {'item': 30353356}, {'item': 37177924}, {'item': 91135168}, {'item': 53732299}, {'item': 69819123}, {'item': 52837631}, {'item': 33465217}, {'item': 33403706}, {'item': 33499627}, {'item': 13934793}, {'item': 75062399}, {'item': 6491826}, {'item': 84797080}, {'item': 61101057}, {'item': 46601948}, {'item': 10643064}, {'item': 69219514}]",Health literacy,Health care,Literacy,"[{'score': 0.9, 'display_name': 'Quality education', 'id': 'https://metadata.un.org/sdg/4'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.3001866629017425
13508095,2016,article,239,4,"['Sara Goldrick‐Rab', 'Robert Kelchen', 'Douglas N. Harris', 'James Benson']","['University of Wisconsin–Madison', 'Seton Hall University', 'Tulane University', 'Institute of Education Sciences']","[{'item': 37618669}, {'item': 59822155}, {'item': 86780502}, {'item': 23491588}, {'item': 66756904}, {'item': 54920748}, {'item': 19248532}, {'item': 58753504}, {'item': 64349031}, {'item': 29081299}, {'item': 51733096}, {'item': 72898101}, {'item': 11609893}, {'item': 6523232}, {'item': 24537509}, {'item': 10733808}, {'item': 15240005}, {'item': 19473063}, {'item': 83399506}, {'item': 64799585}, {'item': 64069128}, {'item': 25932969}, {'item': 36202385}, {'item': 29983669}, {'item': 27293196}, {'item': 53466562}, {'item': 11943923}, {'item': 53317955}, {'item': 25488153}, {'item': 50000974}, {'item': 64499163}, {'item': 72806521}, {'item': 36210497}, {'item': 75206592}, {'item': 95663443}, {'item': 83148990}, {'item': 9758801}, {'item': 60386400}, {'item': 84208312}, {'item': 36335465}, {'item': 34877158}, {'item': 97233506}, {'item': 5790145}, {'item': 22433916}, {'item': 24627334}, {'item': 19821680}, {'item': 63594241}, {'item': 62822237}, {'item': 98186152}, {'item': 35730027}, {'item': 37189954}, {'item': 16298527}, {'item': 77220784}, {'item': 30244553}, {'item': 86215643}, {'item': 41891945}, {'item': 36525430}, {'item': 64686450}, {'item': 69059119}, {'item': 91973017}, {'item': 3861444}, {'item': 13080898}, {'item': 72957781}, {'item': 75865186}, {'item': 88676440}, {'item': 91259741}, {'item': 58893630}, {'item': 56383363}, {'item': 50707367}, {'item': 3343165}, {'item': 93191897}, {'item': 62993526}, {'item': 68269475}, {'item': 55392542}, {'item': 61982368}, {'item': 19714487}, {'item': 57015059}, {'item': 60432593}, {'item': 40660010}, {'item': 87278293}, {'item': 76553861}, {'item': 43437518}, {'item': 62685932}, {'item': 39390366}, {'item': 84858261}, {'item': 67034171}, {'item': 35904949}, {'item': 84496149}, {'item': 23828341}, {'item': 54086815}, {'item': 99762507}, {'item': 69609150}, {'item': 38262893}, {'item': 57704171}, {'item': 62865766}, {'item': 94632832}, {'item': 8459398}, {'item': 9058319}, {'item': 57543593}, {'item': 56187395}, {'item': 58575040}, {'item': 94987162}, {'item': 86214777}, {'item': 41633507}, {'item': 66647900}, {'item': 26939722}, {'item': 32371706}, {'item': 84648336}, {'item': 37896573}, {'item': 35962444}, {'item': 95227034}, {'item': 8519106}, {'item': 49174678}, {'item': 79296544}, {'item': 13168950}, {'item': 62869008}, {'item': 96492350}, {'item': 79899933}, {'item': 4617856}, {'item': 61126235}, {'item': 27698263}, {'item': 83863441}, {'item': 82584106}, {'item': 58140462}, {'item': 11006150}, {'item': 68200805}, {'item': 84220424}, {'item': 34745528}, {'item': 20971034}, {'item': 60620271}, {'item': 12913245}, {'item': 81408560}, {'item': 37632033}, {'item': 94536613}, {'item': 85211805}, {'item': 55555129}, {'item': 30101697}, {'item': 75834537}, {'item': 10422927}, {'item': 4550622}]",Bachelor,Educational attainment,Odds,"[{'score': 0.71, 'display_name': 'No poverty', 'id': 'https://metadata.un.org/sdg/1'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.131534000060476
26262947,2016,article,223,2,"['Ünal Seven', 'Yener Çoşkun']","['IMT School for Advanced Studies Lucca', 'İzmir University of Economics', 'Eskişehir City Hospital']","[{'item': 97708215}, {'item': 99935533}, {'item': 21677353}, {'item': 12100241}, {'item': 45532446}, {'item': 30968994}, {'item': 47704070}, {'item': 24672912}, {'item': 30471556}, {'item': 39409818}, {'item': 38186548}, {'item': 62743775}, {'item': 33137209}, {'item': 12453021}, {'item': 97738433}, {'item': 61381018}, {'item': 79106566}, {'item': 27074630}, {'item': 98677977}, {'item': 14757088}, {'item': 77574946}, {'item': 10917036}, {'item': 22879398}, {'item': 70460208}, {'item': 95245675}, {'item': 25641416}, {'item': 22346979}, {'item': 64261546}, {'item': 31114762}, {'item': 17814198}, {'item': 77181741}, {'item': 62864749}, {'item': 48768709}, {'item': 99694647}, {'item': 66087916}, {'item': 63587695}, {'item': 4535953}, {'item': 27130070}, {'item': 80553182}, {'item': 35876538}, {'item': 74369830}, {'item': 7928160}, {'item': 83019997}, {'item': 88523793}, {'item': 82936056}, {'item': 84309772}, {'item': 94612105}, {'item': 95570300}, {'item': 42740466}, {'item': 53984924}, {'item': 61854306}, {'item': 93848592}, {'item': 47718452}, {'item': 10835156}, {'item': 30336125}, {'item': 81086678}, {'item': 95700878}, {'item': 89822540}, {'item': 24202871}, {'item': 18979685}, {'item': 21684717}, {'item': 61095259}, {'item': 70520469}, {'item': 54998291}, {'item': 90486725}, {'item': 17909449}, {'item': 35824805}, {'item': 95043803}, {'item': 17825117}, {'item': 60955264}, {'item': 35867549}, {'item': 19927271}, {'item': 98781020}, {'item': 69176930}, {'item': 51164018}, {'item': 69481204}, {'item': 54461363}, {'item': 47684422}, {'item': 48306925}, {'item': 81098794}, {'item': 23182849}, {'item': 45791713}, {'item': 68380646}, {'item': 77810405}, {'item': 12683447}, {'item': 79692414}, {'item': 30874280}, {'item': 60115076}, {'item': 9217662}, {'item': 83008187}, {'item': 18418891}, {'item': 42388758}, {'item': 58279971}, {'item': 91146771}, {'item': 51555386}, {'item': 42352363}, {'item': 77795431}, {'item': 99794388}, {'item': 83350250}, {'item': 92534702}, {'item': 83263284}, {'item': 36736112}, {'item': 76961844}, {'item': 3973161}, {'item': 55376606}, {'item': 56469925}, {'item': 86380645}]",Poverty,Nexus (standard),Economics,"[{'score': 0.76, 'display_name': 'No poverty', 'id': 'https://metadata.un.org/sdg/1'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.5007608652583144
40766273,2016,article,124,6,"['Thomas Bourdier', 'Thomas Cordonnier', 'Georges Künstler', 'Christian Piedallu', 'Guillaume Lagarrigues', 'Benoı̂t Courbaud']","['Université Grenoble Alpes', 'Université Grenoble Alpes', 'Université Grenoble Alpes', 'AgroParisTech', 'Université Grenoble Alpes', 'Université Grenoble Alpes']","[{'item': 88858354}, {'item': 96686245}, {'item': 12638218}, {'item': 30516708}, {'item': 70937652}, {'item': 34365728}, {'item': 18355762}, {'item': 33408191}, {'item': 70520747}, {'item': 40127913}, {'item': 6993657}, {'item': 34645052}, {'item': 15068679}, {'item': 98698627}, {'item': 42327777}, {'item': 43884289}, {'item': 2925154}, {'item': 48007991}, {'item': 76015062}, {'item': 7596541}, {'item': 6948516}, {'item': 55615563}, {'item': 20617921}, {'item': 92651370}, {'item': 22906730}, {'item': 11433719}, {'item': 4664780}, {'item': 31469130}, {'item': 57374078}, {'item': 32081888}, {'item': 87120840}, {'item': 62648258}, {'item': 10964613}, {'item': 44884417}, {'item': 35643655}, {'item': 34927947}, {'item': 96381511}, {'item': 35508318}, {'item': 42877453}, {'item': 94917229}, {'item': 87502788}, {'item': 53751843}, {'item': 84208601}, {'item': 85288835}, {'item': 27884887}, {'item': 67729176}, {'item': 63109661}, {'item': 68773972}, {'item': 75919758}, {'item': 65888070}, {'item': 68657887}, {'item': 58238205}, {'item': 56990775}, {'item': 20706505}, {'item': 58059239}, {'item': 20769013}, {'item': 25228709}, {'item': 77763761}, {'item': 83283538}, {'item': 34657420}, {'item': 62608991}, {'item': 63789378}, {'item': 29239675}, {'item': 11593297}, {'item': 2073117}, {'item': 86118985}, {'item': 99968968}, {'item': 9445479}, {'item': 33687177}, {'item': 23674753}, {'item': 46007661}, {'item': 8670078}, {'item': 97387532}, {'item': 26780190}]",Basal area,Interception,Ecology,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1805, 'currency': 'USD', 'value_usd': 1805, 'provenance': 'doaj'}",Missing,-2.4195629840250774
5623152,2016,article,116,10,"['Miqdad Asaria', 'Shehzad Ali', 'Tim Doran', 'Brian Ferguson', 'Robert Fleetcroft', 'Maria Goddard', 'Peter Goldblatt', 'Mauro Laudicella', 'Rosalind Raine', 'Richard Cookson']","['University of York', 'University of York', 'University of York', 'Public Health England', 'University of East Anglia', 'University of York', 'University College London', 'City, University of London', 'University College London', 'University of York']","[{'item': 77109663}, {'item': 64541348}, {'item': 72298688}, {'item': 84651550}, {'item': 38124308}, {'item': 71585333}, {'item': 1959564}, {'item': 17771605}, {'item': 7949786}, {'item': 37035788}, {'item': 61178460}, {'item': 31857173}, {'item': 68243196}, {'item': 96271431}, {'item': 12660467}, {'item': 80114430}, {'item': 11874638}, {'item': 79122432}, {'item': 20045812}, {'item': 18586496}, {'item': 60202332}, {'item': 4892464}, {'item': 3398438}, {'item': 35336613}, {'item': 61940571}, {'item': 39119770}, {'item': 39507852}, {'item': 98164648}, {'item': 62054023}, {'item': 93224890}, {'item': 25454642}, {'item': 68430565}, {'item': 29545096}, {'item': 40060763}]",Inequality,Healthcare system,Computer science,"[{'score': 0.55, 'display_name': 'No poverty', 'id': 'https://metadata.un.org/sdg/1'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.007466743388899
85489382,2016,review,75,3,"['Tim Crocker-Buqué', 'Michael Edelstein', 'Sandra Mounier‐Jack']","['Faculty of Public Health', 'London School of Hygiene & Tropical Medicine', 'Public Health England', 'Faculty of Public Health', 'London School of Hygiene & Tropical Medicine']","[{'item': 40635519}, {'item': 43714416}, {'item': 93282851}, {'item': 29695884}, {'item': 17252480}, {'item': 26890888}, {'item': 39701900}, {'item': 54817492}, {'item': 12986927}, {'item': 52098497}, {'item': 75960925}, {'item': 90911154}, {'item': 76163587}, {'item': 40510502}, {'item': 50922942}, {'item': 28242655}, {'item': 48244133}, {'item': 15224122}, {'item': 52061117}, {'item': 59408234}, {'item': 21822448}, {'item': 32033878}, {'item': 8763470}, {'item': 56616005}, {'item': 21704567}, {'item': 4998350}, {'item': 5788414}, {'item': 79954743}, {'item': 60560654}, {'item': 98257726}, {'item': 19247815}, {'item': 98834887}, {'item': 26601578}, {'item': 69539023}, {'item': 74834430}, {'item': 61399597}, {'item': 92605967}, {'item': 65628960}, {'item': 17803669}, {'item': 175960}, {'item': 42765576}, {'item': 30041119}, {'item': 25968823}, {'item': 36670217}, {'item': 84842854}, {'item': 70134384}, {'item': 83229124}, {'item': 74553992}, {'item': 3850584}, {'item': 119667}, {'item': 42974050}, {'item': 92537628}, {'item': 67086963}, {'item': 3065200}, {'item': 55452729}, {'item': 48743035}, {'item': 42678193}, {'item': 41917116}, {'item': 66544457}, {'item': 77429701}, {'item': 33981108}, {'item': 13365539}, {'item': 64632171}, {'item': 20244264}, {'item': 12534810}, {'item': 36825569}, {'item': 56954241}, {'item': 44872436}, {'item': 74874713}, {'item': 87681547}, {'item': 27852302}, {'item': 84630906}, {'item': 13101818}, {'item': 96522459}, {'item': 29791978}, {'item': 58898962}, {'item': 89727112}, {'item': 15933448}, {'item': 6283666}, {'item': 95228442}, {'item': 22913787}, {'item': 53269901}, {'item': 9248962}, {'item': 20164047}, {'item': 89178060}, {'item': 62587762}, {'item': 89179801}, {'item': 26272591}, {'item': 81100474}, {'item': 9172673}, {'item': 11272677}, {'item': 66543560}, {'item': 98864347}, {'item': 72168124}, {'item': 45147887}]",Psychological intervention,Inequality,Medicine,"[{'score': 0.64, 'display_name': 'No poverty', 'id': 'https://metadata.un.org/sdg/1'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.9138923017818519
50493252,2016,article,66,5,"['Saumu Lwembe', 'Stuart A. Green', 'Jennifer Chigwende', 'Tom Ojwang', 'Ruth Dennis']","['Imperial College London', 'West London Mental Health NHS Trust', 'West London Mental Health NHS Trust']","[{'item': 49934173}, {'item': 77804817}, {'item': 79863425}, {'item': 16029726}, {'item': 19248588}, {'item': 29750141}, {'item': 22572500}, {'item': 95408163}, {'item': 59910209}, {'item': 84685975}, {'item': 20704535}, {'item': 95379435}, {'item': 94343756}, {'item': 82270920}, {'item': 62280246}, {'item': 81656471}, {'item': 72792462}, {'item': 87336911}, {'item': 32537506}, {'item': 90926565}]",Mental health,Ethnic group,Psychological intervention,"[{'score': 0.49, 'display_name': 'Partnerships for the goals', 'id': 'https://metadata.un.org/sdg/17'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-5.013471881100703
30380346,2016,article,65,4,"['I Storm', 'Frank den Hertog', 'Hans van Oers', 'Albertine J. Schuit']","['National Institute for Public Health and the Environment', 'National Institute for Public Health and the Environment', 'Tilburg University', 'EMGO Institute for Health and Care Research']","[{'item': 4080186}, {'item': 69633114}, {'item': 33620166}, {'item': 9316169}, {'item': 83190165}, {'item': 28101139}, {'item': 95808864}, {'item': 8260197}, {'item': 95510769}, {'item': 67906540}, {'item': 93739631}, {'item': 75384645}, {'item': 56169717}, {'item': 7108830}, {'item': 88313615}, {'item': 59597163}, {'item': 97835091}, {'item': 56462931}, {'item': 28767550}, {'item': 56108546}, {'item': 52333434}]",Social policy,Public health,Health services research,"[{'score': 0.42, 'display_name': 'Reduced inequalities', 'id': 'https://metadata.un.org/sdg/10'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2090, 'currency': 'GBP', 'value_usd': 2563, 'provenance': 'doaj'}",Missing,-3.350849983036155
72246357,2016,article,63,4,"['Johan P. Mackenbach', 'Pekka Martikainen', 'Gwenn Menvielle', 'Rianne de Gelder']","['Erasmus MC', 'Erasmus University Rotterdam', 'University of Helsinki', 'Institut Pierre Louis d‘Épidémiologie et de Santé Publique', 'Inserm', 'Sorbonne Université', 'Erasmus MC', 'Erasmus University Rotterdam']","[{'item': 77425781}, {'item': 91532390}, {'item': 3196703}, {'item': 92334529}, {'item': 7282850}, {'item': 41622765}, {'item': 99437756}, {'item': 40674830}, {'item': 36524364}, {'item': 44552656}, {'item': 26844892}, {'item': 74042362}, {'item': 22460893}, {'item': 67906540}, {'item': 92339373}, {'item': 15786630}, {'item': 67682559}, {'item': 62199477}, {'item': 6642873}, {'item': 26633314}, {'item': 10732911}, {'item': 57029707}]",Inequality,Rate ratio,Socioeconomic status,"[{'score': 0.71, 'display_name': 'Good health and well-being', 'id': 'https://metadata.un.org/sdg/3'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.1069097928169573
20948965,2016,article,62,2,"['Denvil Duncan', 'Klara Sabirianova Peter']","['Indiana University', 'Center for Economic and Policy Research', 'University of North Carolina at Chapel Hill']","[{'item': 59327842}, {'item': 87755155}, {'item': 21225991}, {'item': 39409818}, {'item': 38186548}, {'item': 13674865}, {'item': 58154401}, {'item': 1410355}, {'item': 6871}, {'item': 97424999}, {'item': 39363894}, {'item': 12745628}, {'item': 66817886}, {'item': 11852976}, {'item': 53539276}, {'item': 54264542}, {'item': 41089800}, {'item': 67417286}, {'item': 83177340}, {'item': 86821967}, {'item': 84707516}, {'item': 33219100}, {'item': 35923296}, {'item': 28242059}, {'item': 62253676}, {'item': 53897340}, {'item': 44892765}, {'item': 92799942}, {'item': 31084560}, {'item': 89290887}, {'item': 16881648}, {'item': 16081155}, {'item': 9507347}, {'item': 97274647}, {'item': 90620782}, {'item': 23902011}, {'item': 35452367}, {'item': 20080170}, {'item': 92100333}, {'item': 47527528}, {'item': 57636448}, {'item': 54129358}, {'item': 77382920}, {'item': 86813393}, {'item': 55299823}, {'item': 19367875}, {'item': 71970034}, {'item': 41908977}, {'item': 57978287}, {'item': 28774433}, {'item': 30954161}, {'item': 70271423}, {'item': 90420910}, {'item': 60804913}, {'item': 59785216}, {'item': 16958489}, {'item': 71245752}, {'item': 25738645}, {'item': 58747525}, {'item': 97158413}, {'item': 9433997}, {'item': 73916995}, {'item': 45983769}, {'item': 88831390}, {'item': 36024944}, {'item': 83035671}, {'item': 67965023}, {'item': 53033547}, {'item': 72070922}, {'item': 13089014}]",Economics,Inequality,Economic inequality,"[{'score': 0.79, 'display_name': 'No poverty', 'id': 'https://metadata.un.org/sdg/1'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.0127851706182356
