PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
50553113,2016,article,128,4,"['Michael Acheampong', 'Funda Cansu Ertem', 'Benjamin Kappler', 'Peter Neubauer']","['University of South Florida', 'Technische Universität Berlin', 'LifeTec Group (Netherlands)', 'Technische Universität Berlin']","[{'item': 64468783}, {'item': 91376538}, {'item': 47988576}, {'item': 48735925}, {'item': 80492173}, {'item': 92075774}, {'item': 57309208}, {'item': 8539211}, {'item': 3691570}, {'item': 96955245}, {'item': 86380220}, {'item': 99373008}, {'item': 92568500}, {'item': 75641410}, {'item': 95254836}, {'item': 53948971}, {'item': 78596802}, {'item': 64832973}, {'item': 85313204}, {'item': 67098456}, {'item': 15107732}, {'item': 72417914}, {'item': 56163729}, {'item': 30199747}, {'item': 48012268}, {'item': 57018203}, {'item': 48331738}, {'item': 10381996}, {'item': 1728409}, {'item': 69833328}, {'item': 10454953}, {'item': 37484456}, {'item': 90550296}, {'item': 94836942}, {'item': 10512198}, {'item': 30142445}, {'item': 38321517}, {'item': 983959}, {'item': 32203677}, {'item': 7426582}, {'item': 76947385}, {'item': 71605755}, {'item': 74548948}, {'item': 54703504}, {'item': 26437641}, {'item': 57233208}, {'item': 92396730}, {'item': 40907519}, {'item': 88265362}, {'item': 93090355}, {'item': 56555219}, {'item': 74386390}, {'item': 3711204}, {'item': 15521301}, {'item': 21833986}, {'item': 531765}, {'item': 12660484}, {'item': 20819551}, {'item': 85374583}, {'item': 72644470}, {'item': 73940066}, {'item': 1742343}, {'item': 68519345}, {'item': 47315687}, {'item': 21081862}, {'item': 68575793}, {'item': 18054336}, {'item': 23339958}, {'item': 20030332}, {'item': 78483751}, {'item': 1721726}, {'item': 14515410}, {'item': 10417538}, {'item': 490430}, {'item': 94618083}, {'item': 57517995}, {'item': 61248944}, {'item': 43473312}, {'item': 76580474}, {'item': 17204400}, {'item': 22258043}, {'item': 76459139}, {'item': 96891268}, {'item': 48197702}, {'item': 86894677}, {'item': 32092210}, {'item': 83969272}, {'item': 69910972}, {'item': 37415024}, {'item': 17464985}, {'item': 40603334}, {'item': 61876972}, {'item': 93705185}, {'item': 68533898}, {'item': 57736387}, {'item': 447316}]",Biofuel,Renewable energy,Natural resource economics,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.6237038103780985
10168651,2016,article,5,1,['Ishmael Ackah'],"['Kwame Nkrumah University of Science and Technology', 'University of Cape Coast']","[{'item': 78705295}, {'item': 24674233}, {'item': 79405123}, {'item': 84528699}, {'item': 65785819}, {'item': 84891856}, {'item': 20780590}, {'item': 79926638}, {'item': 7319349}, {'item': 9672377}, {'item': 15756271}, {'item': 25977905}, {'item': 94003218}, {'item': 17561792}, {'item': 65026214}, {'item': 85374583}, {'item': 59593479}, {'item': 56517945}, {'item': 32978327}, {'item': 80008726}, {'item': 45727655}, {'item': 33685665}, {'item': 43990037}, {'item': 77388981}]",Path (computing),Renewable energy,Psychological intervention,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.213061540964684
35504398,2018,article,147,1,['Dumisani Chirambo'],['Brandenburg University of Technology Cottbus-Senftenberg'],"[{'item': 6320566}, {'item': 77794891}, {'item': 97277872}, {'item': 47631663}, {'item': 57051414}, {'item': 16831719}, {'item': 84891856}, {'item': 20315437}, {'item': 80843245}, {'item': 94770255}, {'item': 64832973}, {'item': 82558387}, {'item': 59444980}, {'item': 850018}, {'item': 41660300}, {'item': 74137442}, {'item': 53386421}, {'item': 50500173}, {'item': 58731744}, {'item': 46392218}, {'item': 68579359}, {'item': 80780145}, {'item': 58532842}, {'item': 67405907}, {'item': 31748568}, {'item': 90952234}, {'item': 32978327}, {'item': 11206146}, {'item': 67369988}, {'item': 90265106}, {'item': 14464224}, {'item': 58117391}, {'item': 60876736}, {'item': 3667009}, {'item': 786686}, {'item': 92677381}, {'item': 61985618}, {'item': 5749220}, {'item': 48793067}, {'item': 4815503}, {'item': 7790262}, {'item': 76869866}, {'item': 40898252}, {'item': 94278994}, {'item': 60273442}]",Energy poverty,Sustainable development,Universal design,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.5818128084300955
38266705,2018,dissertation,1,1,['R.C. Ocansey'],[],"[{'item': 19215180}, {'item': 67806933}, {'item': 16043165}, {'item': 93282849}, {'item': 12363934}, {'item': 21346847}, {'item': 8686457}, {'item': 66212008}, {'item': 96472904}, {'item': 17760952}, {'item': 28190148}, {'item': 60254886}, {'item': 38531254}, {'item': 48532071}]",Energy sector,Sustainable development,Business,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.8566677444833535
38236694,2019,article,35,8,"['Michael Acheampong', 'Qiuyan Yu', 'Funda Cansu Ertem', 'Lucy Deba Enomah Ebude', 'Shakhawat H. Tanim', 'Michael Eduful', 'Mehrdad Vaziri', 'Erick O. Ananga']","['Oklahoma State University', 'University of South Florida', 'Technische Universität Berlin', 'University of South Florida', 'University of South Florida', 'University of South Florida', 'University of South Florida', 'East Central University']","[{'item': 98616843}, {'item': 55061757}, {'item': 48735925}, {'item': 7319349}, {'item': 70619334}, {'item': 17089291}, {'item': 83338918}, {'item': 78723422}, {'item': 42280472}, {'item': 92123860}, {'item': 92075774}, {'item': 47351631}, {'item': 99373008}, {'item': 43461827}, {'item': 62064400}, {'item': 53948971}, {'item': 77421275}, {'item': 56163729}, {'item': 76382804}, {'item': 80996313}, {'item': 31337281}, {'item': 44005000}, {'item': 34154752}, {'item': 20602118}, {'item': 8539551}, {'item': 50601888}, {'item': 30275306}, {'item': 11888535}, {'item': 24113996}, {'item': 74459995}, {'item': 84105424}, {'item': 92630870}, {'item': 11757983}, {'item': 84993591}, {'item': 93090355}, {'item': 77181437}, {'item': 72341463}, {'item': 39141758}, {'item': 30100102}, {'item': 41905540}, {'item': 1742343}, {'item': 23480107}, {'item': 76727358}, {'item': 93617658}, {'item': 60119594}, {'item': 10417538}, {'item': 18727119}, {'item': 92576805}, {'item': 50553113}, {'item': 48925130}, {'item': 72694350}, {'item': 40603334}, {'item': 36088162}, {'item': 73985592}, {'item': 12752739}]",Renewable energy,Hydropower,Sustainable development,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2200, 'currency': 'CHF', 'value_usd': 2382, 'provenance': 'doaj'}",Missing,-0.7826417544414542
41239546,2019,book-chapter,31,2,"['Amanda Lange Sálvia', 'Luciana Brandli']","['Universidade de Passo Fundo', 'Universidade de Passo Fundo']","[{'item': 64476322}, {'item': 31857492}, {'item': 97975297}, {'item': 81043880}, {'item': 54559799}, {'item': 42341910}, {'item': 11969231}, {'item': 81495424}, {'item': 3797381}, {'item': 93050952}, {'item': 25206304}, {'item': 37972579}, {'item': 54150669}, {'item': 24325844}, {'item': 64779025}, {'item': 93298114}, {'item': 37783099}, {'item': 95195444}, {'item': 64804908}, {'item': 35815783}, {'item': 90987304}, {'item': 19582538}, {'item': 88752816}, {'item': 75861394}, {'item': 43862233}, {'item': 87607766}, {'item': 15158830}, {'item': 2605884}, {'item': 47873169}, {'item': 39896771}, {'item': 92958676}, {'item': 88007880}, {'item': 36103046}, {'item': 98207588}, {'item': 271176}, {'item': 91147910}, {'item': 56885304}, {'item': 96209073}, {'item': 26692088}, {'item': 17267645}, {'item': 21721527}, {'item': 26368335}, {'item': 2945428}]",Sustainability,Context (archaeology),Vision,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.2852706110032663
74003766,2019,article,25,2,"['O Nam–Chol', 'Hun Kim']",['Korean Academy of Science and Technology'],"[{'item': 36036243}, {'item': 4400107}, {'item': 80439890}, {'item': 50109614}, {'item': 23933542}]",Sustainable development,Context (archaeology),Plan (archaeology),[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-5.988021125330222
50033580,2019,book-chapter,21,3,"['Isabel B. Franco', 'Caitlin Power', 'Josh Whereat']","['United Nations University Institute for the Advanced Study of Sustainability', 'University of Queensland', 'University of Queensland']","[{'item': 98292572}, {'item': 64355643}, {'item': 61529761}, {'item': 21739344}, {'item': 87699076}, {'item': 138729}, {'item': 11352274}, {'item': 93746406}, {'item': 40525584}, {'item': 38069757}, {'item': 99373770}, {'item': 90351722}, {'item': 49124216}, {'item': 88829443}, {'item': 49081022}, {'item': 69352762}, {'item': 65502763}, {'item': 74978100}, {'item': 87851559}, {'item': 65115922}, {'item': 65955339}, {'item': 76086590}, {'item': 63177075}, {'item': 19852714}, {'item': 3735395}, {'item': 84645366}]",Sustainability,Renewable energy,Sustainable development,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.3228581978336016
78289296,2019,book-chapter,10,5,"['Pamela Jagger', 'Rob Bailis', 'Ahmad Dermawan', 'Noah Kittner', 'Ryan McCord']",[],"[{'item': 73773924}, {'item': 58858841}, {'item': 60480944}, {'item': 21829017}, {'item': 21703313}, {'item': 93043809}, {'item': 33390016}, {'item': 43395122}, {'item': 11044744}, {'item': 63562085}, {'item': 70648654}, {'item': 62341434}, {'item': 99967786}, {'item': 74231303}, {'item': 85313204}, {'item': 86029782}, {'item': 2283658}, {'item': 48803444}, {'item': 5009232}, {'item': 6667402}, {'item': 86703782}, {'item': 94133138}, {'item': 84154503}, {'item': 94549487}, {'item': 56394072}, {'item': 85609303}, {'item': 3870829}, {'item': 91035648}, {'item': 74247064}, {'item': 94102076}, {'item': 58132925}, {'item': 10909342}, {'item': 4906570}, {'item': 869091}, {'item': 64264824}, {'item': 84030338}, {'item': 29256282}, {'item': 90408173}, {'item': 10782095}, {'item': 45133333}, {'item': 48799007}, {'item': 584165}, {'item': 78212488}, {'item': 82856273}, {'item': 93500523}, {'item': 77442787}, {'item': 6912666}, {'item': 65278205}, {'item': 96887851}, {'item': 34804614}, {'item': 95807310}, {'item': 6474430}, {'item': 88252414}, {'item': 19200047}, {'item': 72676065}, {'item': 71734080}, {'item': 53281326}, {'item': 89323698}, {'item': 22431834}, {'item': 93874873}, {'item': 9912652}, {'item': 43730931}, {'item': 88719753}, {'item': 14435341}, {'item': 11933364}, {'item': 66695194}, {'item': 82401821}, {'item': 11391399}, {'item': 22261046}, {'item': 98617447}, {'item': 46209234}, {'item': 55817299}, {'item': 64649245}, {'item': 40606201}, {'item': 22877461}, {'item': 73851685}, {'item': 168165}, {'item': 3166042}, {'item': 79246189}, {'item': 8897153}, {'item': 25084552}, {'item': 98525836}, {'item': 73261787}, {'item': 71520074}, {'item': 12196360}, {'item': 34478931}]",Renewable energy,Firewood,Livelihood,"[{'id': 'https://metadata.un.org/sdg/12', 'display_name': 'Responsible consumption and production', 'score': 0.48}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.12469266541062993
38876403,2020,article,13,5,"['Aam Slamet Rusydiana', 'Nisful Laila', 'Naelati Tubastuvi', 'Mohamad Andri Ibrahim', 'Lina Marlina']","['Airlangga University', 'Muhammadiyah University Purwokerto', 'Bandung Islamic University', 'Siliwangi University']","[{'item': 65833633}, {'item': 54381976}, {'item': 38257771}, {'item': 20737950}, {'item': 82771907}, {'item': 80721900}, {'item': 22955162}, {'item': 12171807}, {'item': 34190516}, {'item': 29624013}, {'item': 3273234}, {'item': 12195750}, {'item': 74108211}, {'item': 21423747}, {'item': 52334977}, {'item': 73537250}, {'item': 81621811}, {'item': 4418539}, {'item': 60021731}, {'item': 68071634}, {'item': 8827781}, {'item': 57539110}, {'item': 64904541}]",Data envelopment analysis,Productivity,Position (finance),"[{'id': 'https://metadata.un.org/sdg/7', 'display_name': 'Affordable and clean energy', 'score': 0.44}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 590, 'currency': 'USD', 'value_usd': 590, 'provenance': 'doaj'}",Missing,-0.6412012156390553
