PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
48088088,2016,article,28,3,"['Anastasia Stratigea', 'Akrivi Leka', 'Μαρία Παναγιωτοπούλου']","['National Technical University of Athens', 'National Technical University of Athens', 'National Technical University of Athens']","[{'item': 23888154}, {'item': 28340989}, {'item': 22832084}, {'item': 81801134}, {'item': 156364}, {'item': 34586421}, {'item': 53848011}, {'item': 80074180}, {'item': 4776687}, {'item': 64577909}, {'item': 28560310}, {'item': 21881495}, {'item': 53722428}, {'item': 90926565}, {'item': 27677618}]",Sustainability,Scope (computer science),Process (computing),"[{'display_name': 'Sustainable cities and communities', 'id': 'https://metadata.un.org/sdg/11', 'score': 0.51}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.0194139517431133
2213261,2016,book-chapter,28,2,"['Agnis Stibe', 'Kent Larson']","['Human Media', 'Human Media']","[{'item': 86195209}, {'item': 23000286}, {'item': 75344553}, {'item': 10804526}, {'item': 90908262}, {'item': 43605174}, {'item': 43789735}, {'item': 73496154}, {'item': 25279036}, {'item': 29975862}, {'item': 94266148}, {'item': 23081699}, {'item': 35310393}, {'item': 72806333}, {'item': 51666212}, {'item': 27878109}, {'item': 38566389}, {'item': 35399154}, {'item': 33243583}, {'item': 1577405}, {'item': 65806446}, {'item': 56754525}]",Process (computing),Persuasive technology,Computer science,"[{'display_name': 'Sustainable cities and communities', 'id': 'https://metadata.un.org/sdg/11', 'score': 0.65}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.1845469227527854
35385926,2016,article,10,4,"['Bernard M. Kitheka', 'Elizabeth D. Baldwin', 'David L. White', 'Daniel N. Harding']","['Clemson University', 'Clemson University', 'Clemson University', 'Clemson University']","[{'item': 74686038}, {'item': 44945323}, {'item': 25310507}, {'item': 86835104}, {'item': 70063031}, {'item': 1346650}, {'item': 35991203}, {'item': 90196310}, {'item': 29724162}, {'item': 77041223}, {'item': 43707348}, {'item': 85336312}, {'item': 43430585}, {'item': 50523866}, {'item': 99234704}, {'item': 58859148}, {'item': 156364}, {'item': 38344406}, {'item': 70684533}, {'item': 27357404}, {'item': 21661521}, {'item': 68949991}, {'item': 72893593}, {'item': 74533377}, {'item': 32399979}, {'item': 15606858}, {'item': 15700873}, {'item': 61164107}, {'item': 78750886}, {'item': 86646255}, {'item': 30634356}, {'item': 1228049}, {'item': 84296308}, {'item': 68363522}, {'item': 8754156}, {'item': 46846463}, {'item': 28750586}, {'item': 79378231}, {'item': 59529864}, {'item': 92208324}, {'item': 28877780}, {'item': 28758371}, {'item': 90281981}, {'item': 83193989}, {'item': 53844925}, {'item': 13709426}, {'item': 4758946}, {'item': 81158016}, {'item': 14229229}, {'item': 513540}, {'item': 53957003}, {'item': 65414739}, {'item': 99229593}, {'item': 32327593}, {'item': 56162360}, {'item': 92873396}, {'item': 10089417}, {'item': 50287233}, {'item': 58929973}, {'item': 69497195}, {'item': 52973017}, {'item': 94224901}, {'item': 47811454}, {'item': 59092581}, {'item': 84715652}, {'item': 69883271}, {'item': 43822789}, {'item': 71474521}, {'item': 17745797}, {'item': 34786395}, {'item': 4479030}, {'item': 90926565}, {'item': 8456656}, {'item': 96058010}, {'item': 72062839}, {'item': 39842739}, {'item': 60048520}, {'item': 82065374}]",Sustainability,Snowball sampling,Qualitative research,"[{'display_name': 'Sustainable cities and communities', 'id': 'https://metadata.un.org/sdg/11', 'score': 0.43}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.4140190455077362
7561971,2016,article,8,1,['Dimithri Devinda Jayagoda'],[],"[{'item': 16623890}, {'item': 28725259}, {'item': 25029783}, {'item': 8430220}, {'item': 51207054}, {'item': 38913622}, {'item': 66960003}, {'item': 5184383}, {'item': 71474761}, {'item': 28616050}, {'item': 3268241}]",Mangrove,Tourism,Geography,"[{'display_name': 'Decent work and economic growth', 'id': 'https://metadata.un.org/sdg/8', 'score': 0.56}, {'display_name': 'Responsible consumption and production', 'id': 'https://metadata.un.org/sdg/12', 'score': 0.46}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.66842161221154
99277959,2016,article,7,4,"['Haruna Musa', 'Mohd Rusli Yacob', 'Ahmad Makmom Abdullah', 'Mohd Yusoff Ishak']",[],"[{'item': 1102600}, {'item': 62111536}, {'item': 35767172}, {'item': 20976578}, {'item': 5972894}, {'item': 16966595}, {'item': 41530747}, {'item': 35932845}, {'item': 68176744}, {'item': 67248081}, {'item': 90926565}]",Happiness,Context (archaeology),Sustainable development,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.3558861883643263
53505250,2016,dissertation,3,2,"['Van Heerden', 'Jacobus Johannes']",[],"[{'item': 8414620}, {'item': 38572518}, {'item': 17774662}, {'item': 32213170}, {'item': 19173009}, {'item': 79361388}, {'item': 36874051}, {'item': 80284551}, {'item': 36021853}, {'item': 95384691}, {'item': 54725951}, {'item': 37566367}, {'item': 11211320}, {'item': 66157304}, {'item': 1829148}, {'item': 26351844}, {'item': 69553641}, {'item': 57126098}, {'item': 86960006}, {'item': 64086906}, {'item': 79474171}, {'item': 84649501}, {'item': 96045042}, {'item': 18020551}, {'item': 16417345}, {'item': 16291319}, {'item': 11699563}, {'item': 37969087}, {'item': 63776819}]",Closure (psychology),Sustainable development,Reflection (computer programming),[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.6091827778492236
60782233,2016,article,2,2,"['Kyungsun Lee', 'Catherine Park']",[],"[{'item': 20783656}, {'item': 6914225}, {'item': 64039743}, {'item': 23663779}, {'item': 15048421}, {'item': 24906306}, {'item': 49611100}, {'item': 35189258}, {'item': 2819520}, {'item': 45477205}, {'item': 84586897}]",Urban sprawl,Boom,Suburbanization,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.66842161221154
98300028,2016,article,2,2,"['Mehri Ahmadi', 'Ahmad Fariz Mohamed']",[],"[{'item': 32786172}, {'item': 14988397}, {'item': 9042600}]",Environmental planning,Business,Waste management,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-6.887297437079741
96477567,2016,article,0,3,"['Mabel Tatiana Chaos Yeras', 'Ingrid. Mancebo Socarrás', 'Dianelis Falls Valdivieso']","['University of Camagüey', 'University of Camagüey', 'University of Camagüey']","[{'item': 31762989}, {'item': 16592822}, {'item': 23494708}, {'item': 48942837}]",Humanities,Population,Tourism,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-6.076367220863412
30809428,2017,book-chapter,71,5,"['Adriane MacDonald', 'Amelia Clarke', 'Lei Huang', 'Mark Roseland', 'Maria May Seitanidi']","['University of Lethbridge', 'University of Waterloo', 'SUNY Fredonia', 'Simon Fraser University', 'University of Kent']","[{'item': 71339256}, {'item': 51708607}, {'item': 68467062}, {'item': 4234348}, {'item': 10666361}, {'item': 98699452}, {'item': 75718119}, {'item': 27015337}, {'item': 80976543}, {'item': 9937420}, {'item': 35339082}, {'item': 41497785}, {'item': 15342694}, {'item': 96045042}, {'item': 45913340}, {'item': 44738038}, {'item': 54386124}, {'item': 85871952}, {'item': 1760254}, {'item': 97051195}, {'item': 27428357}, {'item': 42296207}, {'item': 90926565}]",Sustainability,General partnership,Stakeholder,"[{'display_name': 'Partnerships for the goals', 'id': 'https://metadata.un.org/sdg/17', 'score': 0.53}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.8016961622608194
