PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude,Continent
52161912,2016,Neal Jean,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
52161912,2016,Marshall Burke,National Bureau of Economic Research,,,,,,
52161912,2016,Sang Michael Xie,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
52161912,2016,W. Matthew Davis,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
52161912,2016,David B. Lobell,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
52161912,2016,Stefano Ermon,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
86164635,2016,Tavneet Suri,London International Development Centre,,,,,,
86164635,2016,William Jack,Innovations for Poverty Action,,,,,,
72156289,2016,Susana Claro,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
72156289,2016,David Paunesku,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
72156289,2016,Carol S. Dweck,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
84243524,2016,Benjamin A. Gitterman,,,,,,,
84243524,2016,Patricia Flanagan,,,,,,,
84243524,2016,William H. Cotton,,,,,,,
84243524,2016,Kimberley Dilley,,,,,,,
84243524,2016,James H. Duffee,,,,,,,
84243524,2016,Andrea E. Green,,,,,,,
84243524,2016,Virginia Keane,,,,,,,
84243524,2016,S Krugman,,,,,,,
84243524,2016,Julie M. Linton,,,,,,,
84243524,2016,Carla D. McKelvey,,,,,,,
84243524,2016,Jacqueline L. Nelson,,,,,,,
80260132,2016,Rosie Day,University of Birmingham,Birmingham,England,United Kingdom,52.4506089,-1.9305745,Europe
80260132,2016,Gordon Walker,Lancaster University,Bailrigg,England,United Kingdom,54.0103942,-2.7877294,Europe
80260132,2016,Neil Simcock,Lancaster University,Bailrigg,England,United Kingdom,54.0103942,-2.7877294,Europe
23198452,2016,Akhter Ali,Centro Internacional de Mejoramiento de Maíz Y Trigo,,,,,,
35465513,2016,Sara B. Johnson,Johns Hopkins University,Baltimore,Maryland,United States,39.3299013,-76.6205177,North America
35465513,2016,Jenna L. Riis,Johns Hopkins University,Baltimore,Maryland,United States,39.3299013,-76.6205177,North America
35465513,2016,Kimberly G. Noble,Columbia University,New York,New York,United States,40.8075355,-73.9625727,North America
33306330,2016,Leandro Carvalho,University of Southern California,Los Angeles,California,United States,34.0223519,-118.285117,North America
33306330,2016,Stephan Meier,Columbia University,New York,New York,United States,40.8075355,-73.9625727,North America
33306330,2016,Stephanie W. Wang,University of Pittsburgh,Pittsburgh,Pennsylvania,United States,40.4444842,-79.9612831,North America
30609607,2016,Clancy Blair,New York University,New York,New York,United States,40.7127753,-74.0059728,North America
30609607,2016,C. Cybele Raver,New York University,New York,New York,United States,40.7127753,-74.0059728,North America
59433115,2016,Sang Michael Xie,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
59433115,2016,Neal Jean,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
59433115,2016,Marshall Burke,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
59433115,2016,David B. Lobell,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
59433115,2016,Stefano Ermon,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
25400966,2016,Augustin Kwasi Fosu,Aalto University,Espoo,Uusimaa,Finland,60.185145,24.8322977,Europe
41824808,2016,Karen Lucas,University of Leeds,Leeds,England,United Kingdom,53.8066815,-1.5550328,Europe
41824808,2016,Giulio Mattioli,University of Leeds,Leeds,England,United Kingdom,53.8066815,-1.5550328,Europe
41824808,2016,Ersilia Verlinghieri,University of Leeds,Leeds,England,United Kingdom,53.8066815,-1.5550328,Europe
41824808,2016,Alvaro Guzman,University of Leeds,Leeds,England,United Kingdom,53.8066815,-1.5550328,Europe
13101865,2016,Ajay Chaudry,Georgetown University,Washington,District of Columbia,United States,38.9076089,-77.07225849999999,North America
13101865,2016,Christopher Wimer,Columbia University,New York,New York,United States,40.8075355,-73.9625727,North America
