PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude,Continent
5401956,2016,Arne Rückert,University of Ottawa,Ottawa,Ontario,Canada,45.42310639999999,-75.68313289999999,North America
5401956,2016,Ashley Schram,University of Ottawa,Ottawa,Ontario,Canada,45.42310639999999,-75.68313289999999,North America
5401956,2016,Ronald Labonté,University of Ottawa,Ottawa,Ontario,Canada,45.42310639999999,-75.68313289999999,North America
5401956,2016,Sharon Friel,Australian National University,Canberra,Australian Capital Territory,Australia,-35.2812533,149.1183238,Oceania
5401956,2016,Deborah Gleeson,La Trobe University,,,,,,
5401956,2016,Anne Marie Thow,University of Sydney,Camperdown,New South Wales,Australia,-33.8884041,151.1867648,Oceania
41857222,2016,Safiya George Dalmida,University of Alabama,Tuscaloosa,Alabama,United States,33.2114385,-87.5401002,North America
41857222,2016,Roxanne Amerson,Clemson University,Clemson,South Carolina,United States,34.6749926,-82.8406184,North America
41857222,2016,Jennifer Foster,Emory University,Atlanta,Georgia,United States,33.7973735,-84.3252791,North America
41857222,2016,Leila McWhinney‐Dehaney,University of Botswana,Gaborone,Gaborone City,Botswana,-24.6605376,25.9309113,Africa
41857222,2016,Mabel K.M. Magowe,Ministry of Health,,,,,,
41857222,2016,Patrice K. Nicholas,MGH Institute of Health Professions,Boston,Massachusetts,United States,42.374754,-71.054238,North America
41857222,2016,Karen M. Pehrson,Brigham and Women's Hospital,,,,,,
41857222,2016,Jeanne Leffers,SouthCoast Health,,,,,,
44667876,2016,Timothy Lynch,University of Plymouth,Plymouth,England,United Kingdom,50.3758892,-4.1395842,Europe
76961335,2016,Maximus N. O. Asogwa,University of Nigeria,Nsukka,Enugu,Nigeria,6.866601999999999,7.411526299999998,Africa
76961335,2016,Severus Ifeanyi Odoziobodo,Enugu State University of Science and Technology,Ohum,Enugu,Nigeria,6.536353,7.435619399999999,Africa
89019252,2016,Hannah B. Mudrick,,,,,,,
18127673,2017,Paloma Durán y Lalaguna,,,,,,,
18127673,2017,Ekaterina Dorodnykh,,,,,,,
25801795,2017,Bilal Anwar,Xi'an Jiaotong University,Xi An Shi,Shan Xi Sheng,China,34.250803,108.983693,Asia
25801795,2017,Zhongdong Xiao,Xi'an Jiaotong University,Xi An Shi,Shan Xi Sheng,China,34.250803,108.983693,Asia
25801795,2017,Sharmin Akter,University of Chittagong,Chittagong,Chittagong Division,Bangladesh,22.4715718,91.7876793,Asia
25801795,2017,Ramiz Ur Rehman,University of Lahore,Lahore,Punjab,Pakistan,31.5203696,74.35874729999999,Asia
49315952,2017,Mykola Vasylovych Kostel,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001,Europe
49315952,2017,Daryna Volodymyrivna Leus,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001,Europe
49315952,2017,Alina Cebotarenco,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001,Europe
17992081,2017,Clive Gabay,Queen Mary University of London,London,England,United Kingdom,51.5240671,-0.0403745,Europe
17992081,2017,Suzan Ilcan,University of Waterloo,Waterloo,Ontario,Canada,43.4722854,-80.5448576,North America
6943157,2017,Maryna Marianovych,,,,,,,
12181623,2017,S. Tolstov,National Academy of Sciences of Ukraine,Dobrovelychkivka,Kirovohrad Oblast,Ukraine,48.379433,31.16558,Europe
30545688,2017,S. Tolstov,National Academy of Sciences of Ukraine,Dobrovelychkivka,Kirovohrad Oblast,Ukraine,48.379433,31.16558,Europe
