PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude,Continent
27433059,2016,Robert Laurie,University of New Brunswick,,,,,,
27433059,2016,Yuko Nonoyama‐Tarumi,Waseda University,Shinjuku City,Tokyo,Japan,35.7087334,139.7196485,Asia
27433059,2016,Rosalyn McKeown,York University,York,England,United Kingdom,53.9614205,-1.0739108,Europe
27433059,2016,Charles Hopkins,York University,York,England,United Kingdom,53.9614205,-1.0739108,Europe
3717632,2016,Faizan Ali,University of Technology Malaysia,Skudai,Johor Darul Ta'zim,Malaysia,1.5584681,103.6378169,Asia
3717632,2016,Yuan Zhou,North Minzu University,Yin Chuan Shi,Ning Xia Hui Zu Zi Zhi Qu,China,38.496481,106.113116,Asia
3717632,2016,Kashif Hussain,Taylor's University,Subang Jaya,Selangor,Malaysia,3.0646493,101.6164465,Asia
3717632,2016,Pradeep Nair,Taylor's University,Subang Jaya,Selangor,Malaysia,3.0646493,101.6164465,Asia
3717632,2016,Neethiahnanthan Ari Ragavan,Taylor's University,Subang Jaya,Selangor,Malaysia,3.0646493,101.6164465,Asia
1652357,2016,Husain Salilul Akareem,Queensland University of Technology,Brisbane City,Queensland,Australia,-27.4773131,153.0270449,Oceania
1652357,2016,Syed Shahadat Hossain,University of Dhaka,Dhaka,Dhaka Division,Bangladesh,23.7339483,90.3929252,Asia
42892940,2016,Viraiyan Teeroovengadum,University of Mauritius,Moka,Moka,Mauritius,-20.2349416,57.4962994,Africa
42892940,2016,T.J. Kamalanabhan,Indian Institute of Technology Madras,Chennai,Tamil Nadu,India,12.9915639,80.2336857,Asia
42892940,2016,Ashley Keshwar Seebaluck,University of Mauritius,Moka,Moka,Mauritius,-20.2349416,57.4962994,Africa
69134523,2016,Guy Bendermacher,Maastricht University,Maastricht,Limburg,Netherlands,50.8469602,5.6879801,Europe
69134523,2016,Mirjam G.A. oude Egbrink,Maastricht University,Maastricht,Limburg,Netherlands,50.8469602,5.6879801,Europe
69134523,2016,Ineke H. A. P. Wolfhagen,Maastricht University,Maastricht,Limburg,Netherlands,50.8469602,5.6879801,Europe
69134523,2016,Diana Dolmans,Maastricht University,Maastricht,Limburg,Netherlands,50.8469602,5.6879801,Europe
31651528,2016,Daphna Bassok,University of Virginia,Charlottesville,Virginia,United States,38.0335529,-78.5079772,North America
31651528,2016,Maria Fitzpatrick,Cornell University,Ithaca,New York,United States,42.4534492,-76.4735027,North America
31651528,2016,Erica Greenberg,Urban Institute,,,,,,
31651528,2016,Susanna Loeb,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
32308590,2016,Robert C. Pianta,,,,,,,
32308590,2016,Jason T. Downer,,,,,,,
32308590,2016,Bridget K. Hamre,,,,,,,
62481135,2016,Jiming Zhu,University of Oxford,Oxford,England,United Kingdom,51.75704289999999,-1.2545179,Europe
