PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
6392679,2016,Roy Batterham,Health Systems Research Institute,,,,,
6392679,2016,Mélanie Hawkins,Deakin University,,,,,
6392679,2016,Patricia Collins,Deakin University,,,,,
6392679,2016,Rachelle Buchbinder,NHS England,Kilsby,England,United Kingdom,52.3555177,-1.1743197
6392679,2016,Richard H. Osborne,Monash University,Clayton,Victoria,Australia,-37.9142416,145.1346592
13508095,2016,Sara Goldrick‐Rab,University of Wisconsin–Madison,Madison,Wisconsin,United States,43.07551429999999,-89.4154526
13508095,2016,Robert Kelchen,Seton Hall University,South Orange Village,New Jersey,United States,40.7430841,-74.246082
13508095,2016,Douglas N. Harris,Tulane University,New Orleans,Louisiana,United States,29.9407282,-90.12031669999999
13508095,2016,James Benson,Institute of Education Sciences,,,,,
26262947,2016,Ünal Seven,IMT School for Advanced Studies Lucca,Lucca,Toscana,Italy,43.8455354,10.5108007
26262947,2016,Yener Çoşkun,İzmir University of Economics,,İzmir,Türkiye,38.3877986,27.0446077
40766273,2016,Thomas Bourdier,Université Grenoble Alpes,Saint-Martin-d'Hères,Auvergne-Rhône-Alpes,France,45.1915639,5.7672336
40766273,2016,Thomas Cordonnier,Université Grenoble Alpes,Saint-Martin-d'Hères,Auvergne-Rhône-Alpes,France,45.1915639,5.7672336
40766273,2016,Georges Künstler,Université Grenoble Alpes,Saint-Martin-d'Hères,Auvergne-Rhône-Alpes,France,45.1915639,5.7672336
40766273,2016,Christian Piedallu,AgroParisTech,,,,,
40766273,2016,Guillaume Lagarrigues,Université Grenoble Alpes,Saint-Martin-d'Hères,Auvergne-Rhône-Alpes,France,45.1915639,5.7672336
40766273,2016,Benoı̂t Courbaud,Université Grenoble Alpes,Saint-Martin-d'Hères,Auvergne-Rhône-Alpes,France,45.1915639,5.7672336
5623152,2016,Miqdad Asaria,University of York,Heslington,England,United Kingdom,53.9461089,-1.0517718
5623152,2016,Shehzad Ali,University of York,Heslington,England,United Kingdom,53.9461089,-1.0517718
5623152,2016,Tim Doran,University of York,Heslington,England,United Kingdom,53.9461089,-1.0517718
5623152,2016,Brian Ferguson,Public Health England,Kilsby,England,United Kingdom,52.3555177,-1.1743197
5623152,2016,Robert Fleetcroft,University of East Anglia,Norwich,England,United Kingdom,52.6220523,1.2410838
5623152,2016,Maria Goddard,University of York,Heslington,England,United Kingdom,53.9461089,-1.0517718
5623152,2016,Peter Goldblatt,University College London,London,England,United Kingdom,51.52455920000001,-0.1340401
5623152,2016,Mauro Laudicella,"City, University of London",London,England,United Kingdom,51.5279719,-0.1024624
5623152,2016,Rosalind Raine,University College London,London,England,United Kingdom,51.52455920000001,-0.1340401
5623152,2016,Richard Cookson,University of York,Heslington,England,United Kingdom,53.9461089,-1.0517718
85489382,2016,Tim Crocker-Buqué,Faculty of Public Health,,,,,
85489382,2016,Michael Edelstein,London School of Hygiene & Tropical Medicine,London,England,United Kingdom,51.5209041,-0.1303123
85489382,2016,Sandra Mounier‐Jack,Public Health England,Kilsby,England,United Kingdom,52.3555177,-1.1743197
50493252,2016,Saumu Lwembe,Imperial College London,London,England,United Kingdom,51.49882220000001,-0.1748735
50493252,2016,Stuart A. Green,West London Mental Health NHS Trust,Southall,England,United Kingdom,51.5051438,-0.3572665
50493252,2016,Jennifer Chigwende,West London Mental Health NHS Trust,Southall,England,United Kingdom,51.5051438,-0.3572665
30380346,2016,I Storm,National Institute for Public Health and the Environment,,,,,
30380346,2016,Frank den Hertog,National Institute for Public Health and the Environment,,,,,
30380346,2016,Hans van Oers,Tilburg University,Tilburg,Noord-Brabant,Netherlands,51.5631906,5.0424031
30380346,2016,Albertine J. Schuit,EMGO Institute for Health and Care Research,,,,,
72246357,2016,Johan P. Mackenbach,Erasmus MC,Rotterdam,Zuid-Holland,Netherlands,51.91093,4.468131
72246357,2016,Pekka Martikainen,Erasmus University Rotterdam,Rotterdam,Zuid-Holland,Netherlands,51.9172477,4.5263027
72246357,2016,Gwenn Menvielle,University of Helsinki,Helsinki,Uusimaa,Finland,60.16948170000001,24.9505269
72246357,2016,Rianne de Gelder,Institut Pierre Louis d‘Épidémiologie et de Santé Publique,,,,,
20948965,2016,Denvil Duncan,Indiana University,Bloomington,Indiana,United States,39.1682449,-86.52300729999999
