PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude,Continent
27745570,2016,Rosemary Ogu,University of Benin,Benin City,Edo,Nigeria,6.3997845,5.609863,Africa
27745570,2016,Kingsley Agholor,Rivers State University,Port Harcourt,Rivers,Nigeria,4.806206599999999,6.9864462,Africa
27745570,2016,Friday Okonofua,University of Port Harcourt,Choba,Rivers,Nigeria,4.9069911,6.916194399999999,Africa
61238967,2017,Yara M. Asi,University of Central Florida,Orlando,Florida,United States,28.6024274,-81.2000599,North America
61238967,2017,Cynthia Williams,University of North Florida,Jacksonville,Florida,United States,30.2661204,-81.50723140000001,North America
21423142,2017,Gabriel Seidman,Harvard University,Cambridge,Massachusetts,United States,42.3744368,-71.1182488,North America
43241053,2017,Elizabeth Eckermann,Deakin University,,,,,,
73815642,2018,Ente Rood,Royal Tropical Institute,Amsterdam,Noord-Holland,Netherlands,52.3627231,4.9209759,Europe
73815642,2018,Ahmadul Hasan Khan,Directorate General of Health Services,,,,,,
73815642,2018,Pronab Kumar Modak,Directorate General of Health Services,,,,,,
73815642,2018,Christina Mergenthaler,Royal Tropical Institute,Amsterdam,Noord-Holland,Netherlands,52.3627231,4.9209759,Europe
73815642,2018,Margo van Gurp,Royal Tropical Institute,Amsterdam,Noord-Holland,Netherlands,52.3627231,4.9209759,Europe
73815642,2018,Lucie Blok,Royal Tropical Institute,Amsterdam,Noord-Holland,Netherlands,52.3627231,4.9209759,Europe
73815642,2018,Mirjam I. Bakker,Royal Tropical Institute,Amsterdam,Noord-Holland,Netherlands,52.3627231,4.9209759,Europe
79147644,2019,Philippa Druce,University of Oslo,Oslo,Oslo,Norway,59.9404992,10.7215296,Europe
79147644,2019,Ekaterina Bogatyreva,University of Oslo,Oslo,Oslo,Norway,59.9404992,10.7215296,Europe
79147644,2019,Frederik Francois Siem,Norges Røde Kors,,,,,,
79147644,2019,Scott Gates,Peace Research Institute Oslo,Oslo,Oslo,Norway,59.91527429999999,10.7584262,Europe
79147644,2019,Hanna Kaade,University of Oslo,Oslo,Oslo,Norway,59.9404992,10.7215296,Europe
79147644,2019,Johanne Sundby,Ministry of Foreign Affairs,,,,,,
79147644,2019,Morten Rostrup,Peace Research Institute Oslo,Oslo,Oslo,Norway,59.91527429999999,10.7584262,Europe
79147644,2019,C B Andersen,Norges Røde Kors,,,,,,
79147644,2019,Siri Aas Rustad,Peace Research Institute Oslo,Oslo,Oslo,Norway,59.91527429999999,10.7584262,Europe
79147644,2019,Andrew E. Yaw Tchie,Peace Research Institute Oslo,Oslo,Oslo,Norway,59.91527429999999,10.7584262,Europe
79147644,2019,Robert Mood,University of Oslo,Oslo,Oslo,Norway,59.9404992,10.7215296,Europe
72868895,2019,Vesna Bjegović-Mikanović,University of Belgrade,Beograd,,Serbia,44.8184518,20.4575913,Europe
72868895,2019,Zeyad Ali Salem Abousbie,University of Belgrade,Beograd,,Serbia,44.8184518,20.4575913,Europe
72868895,2019,Juergen Breckenkamp,Bielefeld University,Bielefeld,Nordrhein-Westfalen,Germany,52.0367238,8.4952413,Europe
72868895,2019,Helmut Wenzel,University of Konstanz,Konstanz,Baden-Württemberg,Germany,47.6898803,9.187944200000002,Europe
72868895,2019,Raphaël Broniatowski,University of Belgrade,Beograd,,Serbia,44.8184518,20.4575913,Europe
72868895,2019,Chase W. Nelson,Bielefeld University,Bielefeld,Nordrhein-Westfalen,Germany,52.0367238,8.4952413,Europe
17559024,2019,Lorren K. Haywood,,,,,,,
17559024,2019,Caradee Y. Wright,,,,,,,
22939286,2019,Esther Kamau,University of Massachusetts Boston,Boston,Massachusetts,United States,42.3141992,-71.0419953,North America
22939286,2019,Gillian MacNaughton,University of Massachusetts Boston,Boston,Massachusetts,United States,42.3141992,-71.0419953,North America
62365911,2019,Dominic Dankwah Agyei,University of Health and Allied Sciences,Hohoe,Volta Region,Ghana,7.158873799999999,0.4725953,Africa
