PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
6182150,2016,article,249,1,['Endalcachew Bayeh'],['Ambo University'],"[{'item': 98292572}, {'item': 78878962}, {'item': 8574395}, {'item': 3598945}, {'item': 1365938}, {'item': 68452153}, {'item': 26854979}, {'item': 93441632}, {'item': 6402184}, {'item': 48247442}, {'item': 19150152}, {'item': 58672736}, {'item': 18989435}, {'item': 3279706}, {'item': 80789771}, {'item': 90926565}, {'item': 24658510}, {'item': 65312439}, {'item': 6134608}, {'item': 71808515}, {'item': 77626117}]",Sustainable development,Gender equality,Politics,"[{'score': 0.56, 'display_name': 'Gender equality', 'id': 'https://metadata.un.org/sdg/5'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.3228474454231227
56483878,2016,article,242,3,"['Ellen Ernst Kossek', 'Rong Su', 'Lusi Wu']","['Purdue University System', 'Purdue University System', 'Purdue University System']","[{'item': 8046136}, {'item': 86927239}, {'item': 48691946}, {'item': 35774708}, {'item': 78395727}, {'item': 11453082}, {'item': 99791303}, {'item': 3862364}, {'item': 48021147}, {'item': 81193980}, {'item': 58447036}, {'item': 76685994}, {'item': 75795234}, {'item': 28575257}, {'item': 14370190}, {'item': 77713257}, {'item': 62567758}, {'item': 58678962}, {'item': 94161038}, {'item': 69111731}, {'item': 6929915}, {'item': 59540294}, {'item': 12908853}, {'item': 92763763}, {'item': 98836087}, {'item': 75978609}, {'item': 14514263}, {'item': 71885813}, {'item': 19684969}, {'item': 73606979}, {'item': 95470357}, {'item': 20261499}, {'item': 15050990}, {'item': 62690166}, {'item': 50635872}, {'item': 74770770}, {'item': 43257359}, {'item': 3714872}, {'item': 58952544}, {'item': 73017513}, {'item': 88521796}, {'item': 98069538}, {'item': 9999359}, {'item': 91339265}, {'item': 48846114}, {'item': 62654127}, {'item': 16102171}, {'item': 95487328}, {'item': 39078125}, {'item': 84875242}, {'item': 24403980}, {'item': 56280279}, {'item': 5257104}, {'item': 37774354}, {'item': 3771257}, {'item': 52168481}, {'item': 37967200}, {'item': 3301305}, {'item': 69444905}, {'item': 86005530}, {'item': 30285015}, {'item': 88976716}, {'item': 95498692}, {'item': 96059647}, {'item': 69600058}, {'item': 66643604}, {'item': 18646706}, {'item': 96993189}, {'item': 83673770}, {'item': 53744382}, {'item': 72447956}, {'item': 60264265}, {'item': 86487889}, {'item': 52143947}, {'item': 32861098}, {'item': 71650494}, {'item': 46339704}, {'item': 84514803}, {'item': 93519368}, {'item': 65190329}, {'item': 83738267}, {'item': 13863512}, {'item': 73366470}, {'item': 25865715}, {'item': 72596640}, {'item': 34892303}, {'item': 58401229}, {'item': 88020947}, {'item': 13036669}, {'item': 24600062}, {'item': 67442917}, {'item': 24264284}, {'item': 68572254}, {'item': 11594448}, {'item': 18226563}, {'item': 12844273}, {'item': 51785909}, {'item': 8285201}, {'item': 30276700}, {'item': 39341341}, {'item': 92216573}, {'item': 80054964}, {'item': 2079724}, {'item': 4463794}, {'item': 19835625}, {'item': 78828934}, {'item': 19704824}, {'item': 76448109}, {'item': 77047469}, {'item': 83780467}, {'item': 88267334}, {'item': 81419811}, {'item': 14927191}, {'item': 43148417}, {'item': 7507664}, {'item': 46935199}]",Inclusion (mineral),CLARITY,Psychological intervention,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.757694773375288
49603499,2016,article,218,1,['Mieke Verloo'],"['Radboud University Nijmegen', 'Gender Studies', 'Institute of Human Sciences']","[{'item': 33364746}, {'item': 58250293}, {'item': 7521923}, {'item': 8962930}, {'item': 62059632}, {'item': 63361259}, {'item': 50136502}, {'item': 88109051}, {'item': 74345849}, {'item': 32465663}, {'item': 97498737}, {'item': 55336143}, {'item': 64976813}, {'item': 37702327}, {'item': 62493078}, {'item': 78091830}, {'item': 98233152}, {'item': 96515030}, {'item': 34380234}, {'item': 63230964}, {'item': 22514227}, {'item': 14845206}, {'item': 19496081}, {'item': 59580194}]",Framing (construction),Gender mainstreaming,Frame analysis,"[{'score': 0.76, 'display_name': 'Gender equality', 'id': 'https://metadata.un.org/sdg/5'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.5053141622048876
78281284,2016,article,164,1,['Shahra Razavi'],[],"[{'item': 48079152}, {'item': 47045294}, {'item': 63464199}, {'item': 98533502}, {'item': 79791538}, {'item': 4960633}, {'item': 72458798}, {'item': 8398211}, {'item': 54732596}, {'item': 169056}, {'item': 70629828}, {'item': 4613691}, {'item': 84852617}, {'item': 14606551}, {'item': 7182779}, {'item': 39717191}, {'item': 76198500}, {'item': 69796091}, {'item': 11832417}, {'item': 15647044}, {'item': 4512392}]",Millennium Development Goals,Accountability,Scope (computer science),"[{'score': 0.75, 'display_name': 'Gender equality', 'id': 'https://metadata.un.org/sdg/5'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.338768018246119
20934440,2016,article,136,4,"['Gijsbert Stoet', 'Drew H. Bailey', 'Alex M. Moore', 'David C. Geary']","['University of Glasgow', 'University of California, Irvine', 'University of Missouri', 'University of Missouri']","[{'item': 95175088}, {'item': 12954266}, {'item': 35981621}, {'item': 46734056}, {'item': 18428004}, {'item': 8016334}, {'item': 58350045}, {'item': 5776567}, {'item': 18307232}, {'item': 25289844}, {'item': 15554203}, {'item': 49812470}, {'item': 70359044}, {'item': 85039777}, {'item': 36834178}, {'item': 37859928}, {'item': 54134186}, {'item': 87200712}, {'item': 87893383}, {'item': 39315414}, {'item': 89384192}, {'item': 52578272}, {'item': 50635872}, {'item': 46840436}, {'item': 11564007}, {'item': 3639026}, {'item': 14576628}, {'item': 51917137}, {'item': 49998462}, {'item': 9244902}, {'item': 16309053}, {'item': 97367294}, {'item': 98090776}, {'item': 3678619}, {'item': 37967200}, {'item': 24904945}, {'item': 9329545}, {'item': 64470170}, {'item': 86207952}, {'item': 45298766}, {'item': 90178510}, {'item': 28668972}, {'item': 34847191}, {'item': 65921571}, {'item': 11958691}, {'item': 28400366}, {'item': 78103535}, {'item': 92860961}, {'item': 91542777}, {'item': 69289971}, {'item': 99470513}, {'item': 62486632}, {'item': 89124783}, {'item': 9985561}, {'item': 34868121}, {'item': 65041566}, {'item': 42165361}, {'item': 21421304}, {'item': 3806358}, {'item': 51175249}, {'item': 97441320}, {'item': 38873909}, {'item': 11350459}, {'item': 59479093}, {'item': 54989400}, {'item': 50016595}, {'item': 57058713}, {'item': 2306461}, {'item': 30276700}, {'item': 1776592}, {'item': 85198296}, {'item': 24125937}, {'item': 52133617}, {'item': 42224557}, {'item': 59089505}, {'item': 46935199}, {'item': 97256330}, {'item': 89266606}, {'item': 62476400}]",Anxiety,Competence (human resources),Valuation (finance),"[{'score': 0.43, 'display_name': 'Gender equality', 'id': 'https://metadata.un.org/sdg/5'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1805, 'currency': 'USD', 'value_usd': 1805, 'provenance': 'doaj'}",Missing,-2.145918075048946
93917864,2016,article,86,1,['Gabriele Koehler'],[],"[{'item': 25261891}, {'item': 18107428}, {'item': 80053537}, {'item': 27762611}, {'item': 95422416}, {'item': 19613012}]",Sustainable development,Empowerment,Equity (law),"[{'score': 0.48, 'display_name': 'Gender equality', 'id': 'https://metadata.un.org/sdg/5'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-6.284678167301432
46483582,2016,article,80,2,"['Ivona Hideg', 'D. Lance Ferris']","['Wilfrid Laurier University', 'Pennsylvania State University']","[{'item': 64113991}, {'item': 13533785}, {'item': 59191629}, {'item': 2065799}, {'item': 63703658}, {'item': 84833608}, {'item': 88392788}, {'item': 3222473}, {'item': 71400959}, {'item': 14335898}, {'item': 41097262}, {'item': 66222442}, {'item': 94405232}, {'item': 89002386}, {'item': 23462475}, {'item': 89507431}, {'item': 56443018}, {'item': 54561402}, {'item': 25999019}, {'item': 28133754}, {'item': 25020718}, {'item': 94811231}, {'item': 25168009}, {'item': 74601361}, {'item': 93771318}, {'item': 99760621}, {'item': 95854184}, {'item': 58369093}, {'item': 49172092}, {'item': 80696904}, {'item': 50550536}, {'item': 38685545}, {'item': 32152303}, {'item': 81337005}, {'item': 46133034}, {'item': 25256520}, {'item': 44630810}, {'item': 79031761}, {'item': 86767818}, {'item': 21244760}, {'item': 57774}, {'item': 26950541}, {'item': 77190800}, {'item': 38635879}, {'item': 73519418}, {'item': 20448089}, {'item': 94393231}, {'item': 9725250}, {'item': 64934160}, {'item': 3331983}, {'item': 57182156}, {'item': 2989890}, {'item': 44065139}, {'item': 90308044}, {'item': 99478743}, {'item': 81389723}, {'item': 4983972}, {'item': 75695996}, {'item': 39695693}, {'item': 31114617}, {'item': 65415669}, {'item': 42978990}, {'item': 78677613}, {'item': 43536139}, {'item': 9141269}, {'item': 43291269}, {'item': 4678525}, {'item': 2285864}, {'item': 42576708}, {'item': 96647853}, {'item': 18770013}, {'item': 99034543}, {'item': 56701483}, {'item': 73435263}, {'item': 79613459}, {'item': 65311943}, {'item': 23994811}, {'item': 80823783}, {'item': 40362172}, {'item': 79340492}, {'item': 59124937}, {'item': 61576457}]",Psychology,Social psychology,Compassion,"[{'score': 0.72, 'display_name': 'Gender equality', 'id': 'https://metadata.un.org/sdg/5'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.976418781298546
61947270,2016,article,77,2,"['Reiko Ozaki', 'Melanie D. Otis']","['University of Kentucky', 'University of Kentucky']","[{'item': 17815748}, {'item': 27010608}, {'item': 36608390}, {'item': 33567721}, {'item': 91346564}, {'item': 37084191}, {'item': 71328593}, {'item': 17664699}, {'item': 87398731}, {'item': 58575676}, {'item': 10510247}, {'item': 68835464}, {'item': 47146741}, {'item': 86641138}, {'item': 76440176}, {'item': 87483605}, {'item': 32956919}, {'item': 44961877}, {'item': 10904007}, {'item': 82041408}, {'item': 418407}, {'item': 24128519}, {'item': 62203584}, {'item': 84204004}, {'item': 47221104}, {'item': 7802921}, {'item': 88588287}, {'item': 24436518}, {'item': 94734954}, {'item': 26986561}, {'item': 74661900}, {'item': 49511514}, {'item': 18332619}, {'item': 78677613}, {'item': 32217892}, {'item': 15761983}, {'item': 60606481}, {'item': 36537379}, {'item': 29865828}, {'item': 47012348}, {'item': 75649199}, {'item': 11599465}, {'item': 8346648}, {'item': 32439472}, {'item': 92582712}, {'item': 4603405}, {'item': 1175285}, {'item': 56346838}, {'item': 89248918}, {'item': 68131066}, {'item': 91363040}, {'item': 49763342}, {'item': 20911345}, {'item': 95138863}]",Jealousy,Hostility,Psychology,"[{'score': 0.8, 'display_name': 'Gender equality', 'id': 'https://metadata.un.org/sdg/5'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.0854949757789676
32584588,2016,article,69,2,"['Michael E. W. Varnum', 'Igor Grossmann']","['Arizona State University', 'University of Waterloo']","[{'item': 73222336}, {'item': 72039873}, {'item': 26920864}, {'item': 64084113}, {'item': 75605826}, {'item': 96322808}, {'item': 90338936}, {'item': 39309698}, {'item': 76730982}, {'item': 59560618}, {'item': 39548859}, {'item': 13174596}, {'item': 48364017}, {'item': 5999299}, {'item': 95497808}, {'item': 85487379}, {'item': 74144725}, {'item': 99274582}, {'item': 98129905}, {'item': 60452173}, {'item': 43194522}, {'item': 18889456}, {'item': 36959236}, {'item': 94870561}, {'item': 44771507}, {'item': 22223523}, {'item': 46302115}, {'item': 45325462}, {'item': 16814706}, {'item': 43836035}]",Ideology,Gender studies,Sociology,"[{'score': 0.76, 'display_name': 'Gender equality', 'id': 'https://metadata.un.org/sdg/5'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.868592173145526
52852653,2016,article,67,3,"['Kathrin Zippel', 'Myra Marx Ferree', 'Karin Zimmermann']","['Northeastern University', 'University of Wisconsin–Madison', 'WZB Berlin Social Science Center']","[{'item': 67375113}, {'item': 40448244}, {'item': 85117362}, {'item': 58250293}, {'item': 4882645}, {'item': 96510768}, {'item': 38786464}, {'item': 90597598}, {'item': 86208590}, {'item': 90922878}, {'item': 26725789}, {'item': 8733207}, {'item': 48905248}, {'item': 18731901}, {'item': 93850516}, {'item': 30058731}, {'item': 99872358}, {'item': 80008354}, {'item': 43439038}, {'item': 83217676}, {'item': 28874714}, {'item': 6289884}, {'item': 38411734}, {'item': 36312248}, {'item': 4369599}, {'item': 92004888}, {'item': 44394408}, {'item': 65680067}, {'item': 70680682}, {'item': 64229108}, {'item': 69351792}, {'item': 24999114}, {'item': 27098478}, {'item': 10598261}, {'item': 36840226}, {'item': 88306578}, {'item': 68829553}, {'item': 35787001}, {'item': 7725084}, {'item': 69843740}, {'item': 8681217}, {'item': 5802183}]",German,Battle,Gender studies,"[{'score': 0.61, 'display_name': 'Gender equality', 'id': 'https://metadata.un.org/sdg/5'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.4133903546053697
