PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
88134020,2016,article,37,2,"['Gintė Jonkutė', 'Jurgis Kazimieras Staniškis']","['Kaunas University of Technology', 'Kaunas University of Technology']","[{'item': 9767886}, {'item': 19589845}, {'item': 80694989}, {'item': 74071532}, {'item': 41354816}, {'item': 44909530}, {'item': 10945944}, {'item': 78842550}, {'item': 51351714}, {'item': 80702832}, {'item': 47483396}, {'item': 61206349}, {'item': 14812872}, {'item': 49445539}, {'item': 69832743}, {'item': 86888550}, {'item': 69193685}, {'item': 5010993}, {'item': 67874902}, {'item': 80098366}, {'item': 85056478}, {'item': 49566141}, {'item': 52076414}, {'item': 94642061}, {'item': 72967175}, {'item': 66213411}, {'item': 45407579}, {'item': 18015248}, {'item': 33407766}, {'item': 63361423}, {'item': 46483815}, {'item': 30552165}, {'item': 57726521}, {'item': 4923886}, {'item': 39209252}, {'item': 51886971}, {'item': 25129182}, {'item': 27767200}, {'item': 57575372}, {'item': 62390724}, {'item': 85125171}, {'item': 36748008}, {'item': 8813126}, {'item': 62330179}, {'item': 25537026}, {'item': 51852857}, {'item': 12201018}, {'item': 58916960}, {'item': 48277730}, {'item': 84142371}, {'item': 91324108}, {'item': 54775634}, {'item': 53326503}, {'item': 556727}, {'item': 14080161}, {'item': 10739616}, {'item': 43350570}, {'item': 51546672}, {'item': 23267176}, {'item': 35462516}, {'item': 48560869}, {'item': 38497221}, {'item': 90843012}, {'item': 56440703}, {'item': 94566092}, {'item': 60292010}, {'item': 94654647}, {'item': 54332845}, {'item': 31253345}, {'item': 81153807}, {'item': 9364958}, {'item': 9480312}, {'item': 6178803}, {'item': 10169617}, {'item': 36741476}, {'item': 873546}, {'item': 42510435}, {'item': 96439390}, {'item': 19612829}, {'item': 60561761}, {'item': 34350282}, {'item': 36171944}, {'item': 90468565}, {'item': 86296966}, {'item': 2600705}, {'item': 34469740}, {'item': 54555665}, {'item': 80402365}, {'item': 1075459}, {'item': 25993581}, {'item': 99904043}, {'item': 24178445}, {'item': 10089417}, {'item': 77683981}, {'item': 64053568}, {'item': 44981997}, {'item': 3601257}, {'item': 96487326}, {'item': 90926565}, {'item': 40187425}]",Sustainability,Business,Promotion (chess),[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.6830968447064438
35828944,2017,article,0,1,['Gizem Sultan Kaman'],['Eskişehir Osmangazi University'],"[{'item': 91988006}, {'item': 57938115}, {'item': 38196104}, {'item': 10462071}, {'item': 23942340}, {'item': 86792138}, {'item': 9295795}, {'item': 21864151}, {'item': 74780006}, {'item': 44221368}, {'item': 12906006}, {'item': 31137000}, {'item': 48801451}, {'item': 88347080}, {'item': 26608714}, {'item': 85287794}, {'item': 51953299}, {'item': 4541824}, {'item': 24637561}, {'item': 88101552}, {'item': 95151794}, {'item': 66799513}, {'item': 38349881}, {'item': 89112461}, {'item': 44438960}, {'item': 46000874}, {'item': 90685527}, {'item': 73926800}, {'item': 89150880}, {'item': 33016749}, {'item': 91104501}, {'item': 88442400}, {'item': 34938729}, {'item': 16834590}, {'item': 16957330}]",Consumption (sociology),Production (economics),Agricultural science,"[{'display_name': 'Zero hunger', 'id': 'https://metadata.un.org/sdg/2', 'score': 0.66}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.6641596436866931
94177049,2018,article,33,5,"['Liang Wang', 'Li Ma', 'Kuo‐Jui Wu', 'Anthony S.F. Chiu', 'Sarayut Nathaphan']","['Dalian University of Technology', 'Dalian University of Technology', 'Dalian University of Technology', 'De La Salle University', 'Mahidol University']","[{'item': 35280727}, {'item': 17945603}, {'item': 46710731}, {'item': 71017969}, {'item': 13212072}, {'item': 94648301}, {'item': 98490389}, {'item': 4483677}, {'item': 3884554}, {'item': 9318044}, {'item': 43023984}, {'item': 75569811}, {'item': 6744713}, {'item': 41091014}, {'item': 98200978}, {'item': 17526932}, {'item': 53879964}, {'item': 75272850}, {'item': 3848840}, {'item': 23808166}, {'item': 51886971}, {'item': 37171439}, {'item': 99387709}, {'item': 80906277}, {'item': 34864212}, {'item': 98614671}, {'item': 45131391}, {'item': 22679277}, {'item': 65993184}, {'item': 88188593}, {'item': 87028463}, {'item': 79791617}, {'item': 83738578}, {'item': 69092041}, {'item': 46409421}, {'item': 99665523}, {'item': 13096856}, {'item': 48215555}, {'item': 65754892}, {'item': 47952462}, {'item': 62740591}, {'item': 77772764}, {'item': 31636529}, {'item': 7441677}, {'item': 23875520}, {'item': 59073187}, {'item': 57884842}, {'item': 28162886}, {'item': 55960999}, {'item': 28195075}, {'item': 75509407}, {'item': 55903650}, {'item': 84855871}, {'item': 89046033}, {'item': 27014319}, {'item': 9230083}, {'item': 21663557}, {'item': 84294321}, {'item': 25588574}, {'item': 67723702}, {'item': 64601880}, {'item': 73388032}, {'item': 30268467}, {'item': 80852234}, {'item': 74101864}, {'item': 97924174}, {'item': 425320}, {'item': 76382693}, {'item': 20253210}, {'item': 10463662}, {'item': 14569947}, {'item': 27699362}, {'item': 58650727}, {'item': 93025396}, {'item': 60346221}, {'item': 92559720}, {'item': 75516764}, {'item': 93542642}, {'item': 20258653}, {'item': 22668266}, {'item': 14687140}, {'item': 28976095}, {'item': 75039264}, {'item': 87598252}, {'item': 68025674}, {'item': 2077626}, {'item': 69013774}, {'item': 877415}, {'item': 14594988}, {'item': 15106062}]",Originality,Stakeholder,Consistency (knowledge bases),"[{'display_name': 'Industry, innovation and infrastructure', 'id': 'https://metadata.un.org/sdg/9', 'score': 0.42}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.5449840551384862
56358615,2018,article,25,4,"['Ming‐Lang Tseng', 'Qinghua Zhu', 'Joseph Sarkis', 'Anthony S.F. Chiu']","['Asia University', 'Shanghai Jiao Tong University', 'Worcester Polytechnic Institute', 'De La Salle University']","[{'item': 49649071}, {'item': 26205848}, {'item': 33139488}, {'item': 55285049}, {'item': 83916818}, {'item': 76509656}, {'item': 87419823}, {'item': 79764715}, {'item': 20325123}, {'item': 20020106}, {'item': 13394479}, {'item': 80189825}, {'item': 92278514}, {'item': 79212264}, {'item': 18588715}, {'item': 79992978}, {'item': 79368625}, {'item': 26263721}, {'item': 53703493}, {'item': 86705487}, {'item': 48104255}, {'item': 90380024}, {'item': 72055879}, {'item': 24184563}, {'item': 77871328}, {'item': 81797289}, {'item': 70456483}, {'item': 43432717}, {'item': 50903513}, {'item': 3845476}]",Production (economics),Computation,Consumption (sociology),"[{'display_name': 'Peace, justice, and strong institutions', 'id': 'https://metadata.un.org/sdg/16', 'score': 0.74}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.6976970243528453
4387030,2018,article,2,1,['Kwok Shing Richard 黃國成 Wong'],['Education University of Hong Kong'],"[{'item': 30836092}, {'item': 38610196}, {'item': 45061995}, {'item': 27661268}, {'item': 52256530}, {'item': 95990669}, {'item': 67997313}, {'item': 41328954}, {'item': 15712691}, {'item': 7368766}, {'item': 18624216}, {'item': 45025794}, {'item': 41509987}, {'item': 18538918}, {'item': 86492458}, {'item': 53052045}, {'item': 37059070}, {'item': 66273991}]",Curriculum,Consumption (sociology),Production (economics),"[{'display_name': 'Quality education', 'id': 'https://metadata.un.org/sdg/4', 'score': 0.66}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.7658619962133613
12384740,2019,article,170,3,"['Juniatí Gunawan', 'Paulina Permatasari', 'Carol Tilt']","['Universitas Trisakti', 'Parahyangan Catholic University', 'University of South Australia']","[{'item': 19362367}, {'item': 2493456}, {'item': 9441379}, {'item': 75415442}, {'item': 58596990}, {'item': 51508652}, {'item': 8332420}, {'item': 26505827}, {'item': 25674366}, {'item': 2054697}, {'item': 77989640}, {'item': 67852746}, {'item': 66722623}, {'item': 87835308}, {'item': 93256058}, {'item': 35998264}, {'item': 31820882}, {'item': 58178796}, {'item': 11692766}, {'item': 89047736}, {'item': 94223838}, {'item': 37000969}, {'item': 23494997}, {'item': 18059301}, {'item': 12281858}, {'item': 89886944}, {'item': 75927424}, {'item': 20110308}, {'item': 69599720}, {'item': 90926565}, {'item': 76416011}]",Sustainability,Indonesian,Business,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.936981518311012
26664804,2019,book-chapter,24,2,"['Isabel B. Franco', 'Lance R. Newey']","['United Nations University Institute for the Advanced Study of Sustainability', 'University of Queensland']","[{'item': 31317830}, {'item': 12347903}, {'item': 75951178}, {'item': 59597583}, {'item': 32764512}, {'item': 69224519}, {'item': 5774101}, {'item': 49174304}, {'item': 54587956}, {'item': 56747260}, {'item': 64355643}, {'item': 74535720}, {'item': 1022263}, {'item': 13260062}, {'item': 64801307}, {'item': 53727827}, {'item': 46574372}, {'item': 12242772}, {'item': 40806735}, {'item': 7084466}, {'item': 9746577}, {'item': 89737040}, {'item': 31132389}, {'item': 12646815}, {'item': 19419310}, {'item': 17615562}, {'item': 63427171}, {'item': 86848149}, {'item': 71741857}, {'item': 11352274}, {'item': 72021069}, {'item': 54279467}, {'item': 61220647}, {'item': 63268464}, {'item': 13408482}, {'item': 46893389}, {'item': 78434288}, {'item': 62820133}, {'item': 70136806}, {'item': 76842576}, {'item': 97604624}, {'item': 37327994}, {'item': 52913733}, {'item': 91169501}, {'item': 45959177}, {'item': 74532496}, {'item': 6817280}, {'item': 99467673}, {'item': 19470100}, {'item': 77874641}, {'item': 3514329}, {'item': 34463738}, {'item': 25233487}, {'item': 76563951}, {'item': 38977025}, {'item': 12806}, {'item': 73829904}, {'item': 67448216}, {'item': 61733173}, {'item': 41820837}, {'item': 17116915}, {'item': 92596415}, {'item': 77251187}, {'item': 90129785}, {'item': 58156810}, {'item': 26181379}, {'item': 42243504}, {'item': 4265203}, {'item': 19623269}, {'item': 11174812}, {'item': 66169808}, {'item': 6028716}, {'item': 76231218}, {'item': 58270366}, {'item': 97253388}, {'item': 4698084}, {'item': 36767002}, {'item': 24289475}, {'item': 78061280}, {'item': 15519797}, {'item': 74119500}, {'item': 98274630}, {'item': 76790769}, {'item': 80449825}, {'item': 56785310}, {'item': 90926565}, {'item': 26328375}, {'item': 99123346}, {'item': 91686327}, {'item': 63625030}, {'item': 13100770}]",Entrepreneurship,Sustainable development,Consumption (sociology),"[{'display_name': 'Decent work and economic growth', 'id': 'https://metadata.un.org/sdg/8', 'score': 0.55}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.26024305902520745
34533920,2019,book-chapter,19,7,"['Patrick Schröder', 'Alexander S. Antonarakis', 'Jana Brauer', 'Abu Conteh', 'Ryo Kohsaka', 'Yuta Uchiyama', 'Pablo Pacheco']",['Center for International Forestry Research'],"[{'item': 92457416}, {'item': 1703657}, {'item': 39264892}, {'item': 61573132}, {'item': 1102962}, {'item': 34751161}, {'item': 33031223}, {'item': 42291706}, {'item': 42793107}, {'item': 61084323}, {'item': 45210606}, {'item': 90696848}, {'item': 97694755}, {'item': 41079733}, {'item': 44151657}, {'item': 75519520}, {'item': 63303894}, {'item': 4564401}, {'item': 59703642}, {'item': 14191236}, {'item': 70933936}, {'item': 61661677}, {'item': 66624248}, {'item': 3102767}, {'item': 22151385}, {'item': 45346502}, {'item': 56597514}, {'item': 50933404}, {'item': 32715437}, {'item': 32392057}, {'item': 93521360}, {'item': 49185990}, {'item': 11254399}, {'item': 42812278}, {'item': 51265647}, {'item': 59694832}, {'item': 51539247}, {'item': 11821552}, {'item': 62845052}, {'item': 46091857}, {'item': 99173614}, {'item': 56461526}, {'item': 6589546}, {'item': 43720674}, {'item': 8222231}, {'item': 24820526}, {'item': 84755926}, {'item': 80370634}, {'item': 84131260}, {'item': 25557188}, {'item': 77814578}]",Livelihood,Business,Production (economics),"[{'display_name': 'Life on land', 'id': 'https://metadata.un.org/sdg/15', 'score': 0.54}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-0.9153302707790305
85789555,2019,book-chapter,0,2,"['Innocent Okwuosa', 'Sharif Khalid']","['University of Hertfordshire', 'University of Sheffield']","[{'item': 38503527}, {'item': 33811037}, {'item': 73616308}, {'item': 69419670}, {'item': 89155273}, {'item': 78590897}, {'item': 43122568}, {'item': 55782910}, {'item': 17161939}, {'item': 28991170}, {'item': 23232177}, {'item': 61178615}, {'item': 60922349}, {'item': 79022607}, {'item': 93311821}, {'item': 706736}, {'item': 68018470}, {'item': 83816903}, {'item': 66402961}, {'item': 84807478}, {'item': 33810483}, {'item': 14038968}, {'item': 53443800}, {'item': 25058901}, {'item': 17627809}, {'item': 55852017}, {'item': 62048420}, {'item': 38488691}, {'item': 7383693}]",Livelihood,Production (economics),Consumption (sociology),"[{'display_name': 'Partnerships for the goals', 'id': 'https://metadata.un.org/sdg/17', 'score': 0.46}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.074967261284915
84176418,2019,article,0,2,"['Martini Martini', 'Windarto Windarto']","['Universitas Budi Luhur', 'Universitas Budi Luhur']","[{'item': 40361941}, {'item': 23916509}, {'item': 19177273}]",Sustainability,Environmental education,Empowerment,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-7.353081920515432
