PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
68936974,2018,article,255,3,"['M. Shirin', 'Benjamin Brown', 'Kanchana N. Ruwanpura']","['University of Warwick', 'University of Edinburgh', 'University of Edinburgh']","[{'item': 78996918}, {'item': 42456337}, {'item': 94491936}, {'item': 60741819}, {'item': 25613750}, {'item': 16164380}, {'item': 50688459}, {'item': 55610072}, {'item': 53965700}, {'item': 42519141}, {'item': 57968529}, {'item': 58896683}, {'item': 90913226}, {'item': 44819107}, {'item': 97959193}, {'item': 26293294}, {'item': 72270957}, {'item': 61052993}, {'item': 34732262}, {'item': 31479691}, {'item': 45344286}, {'item': 30349320}, {'item': 89430315}, {'item': 97137870}, {'item': 59657270}, {'item': 62154916}, {'item': 48199129}, {'item': 12181133}, {'item': 99981379}, {'item': 34732158}, {'item': 62482129}, {'item': 65679954}, {'item': 72509366}, {'item': 24098608}, {'item': 29399625}, {'item': 72769478}, {'item': 97752034}, {'item': 95410147}, {'item': 58733009}, {'item': 52099582}, {'item': 30367673}, {'item': 76643095}, {'item': 19144558}, {'item': 59090970}, {'item': 1226438}, {'item': 48461623}, {'item': 26286186}, {'item': 22277846}, {'item': 1480337}, {'item': 58799448}, {'item': 7596036}, {'item': 18345271}, {'item': 72347542}, {'item': 29279164}, {'item': 5590481}, {'item': 54873327}, {'item': 1711037}, {'item': 84086950}, {'item': 50209921}, {'item': 8624955}, {'item': 57233898}, {'item': 39642282}, {'item': 13763018}, {'item': 3627836}, {'item': 4962426}, {'item': 1485837}, {'item': 98533502}, {'item': 78978096}, {'item': 6346410}, {'item': 89465316}, {'item': 76963996}, {'item': 34663766}, {'item': 57671434}, {'item': 57259588}, {'item': 89300340}, {'item': 1227856}, {'item': 13453675}, {'item': 86482152}, {'item': 36310915}, {'item': 56073503}, {'item': 6171958}, {'item': 43659513}, {'item': 14238182}, {'item': 62317983}, {'item': 41903204}, {'item': 26716454}, {'item': 24487957}, {'item': 16239491}, {'item': 25932259}, {'item': 46087609}, {'item': 23282069}, {'item': 57582035}, {'item': 78281284}, {'item': 12801517}, {'item': 98663355}, {'item': 8375140}, {'item': 76198644}, {'item': 21839429}, {'item': 24272903}, {'item': 45826006}, {'item': 60193666}, {'item': 64494612}, {'item': 50959549}, {'item': 62382227}, {'item': 81599496}, {'item': 69303537}, {'item': 47603203}, {'item': 1890299}, {'item': 71121963}, {'item': 14378221}, {'item': 52555262}, {'item': 64308208}, {'item': 30381636}, {'item': 97568937}, {'item': 44730924}, {'item': 66812921}, {'item': 12157469}, {'item': 66649632}, {'item': 88702029}, {'item': 89274894}, {'item': 41861333}, {'item': 25442986}, {'item': 75318302}, {'item': 17286111}, {'item': 58635408}, {'item': 61126800}, {'item': 57825284}, {'item': 9338859}, {'item': 25545654}, {'item': 66977959}, {'item': 38604917}, {'item': 90926565}, {'item': 52007858}, {'item': 90836279}, {'item': 30053297}, {'item': 73927250}]",Work (physics),Value (mathematics),Reproduction,"[{'score': 0.55, 'id': 'https://metadata.un.org/sdg/8', 'display_name': 'Decent work and economic growth'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2585, 'currency': 'EUR', 'value_usd': 2787, 'provenance': 'openapc'}",Missing,0.41905497585872825
60923810,2018,article,87,6,"['Doreen S. Boyd', 'Bethany Jackson', 'Joanna M. Wardlaw', 'Giles M. Foody', 'Stuart Marsh', 'Kevin Bales']","['University of Nottingham', 'University of Nottingham', 'University of Nottingham', 'University of Nottingham', 'University of Nottingham', 'University of Nottingham']","[{'item': 97378809}, {'item': 77416603}, {'item': 62430287}, {'item': 1934683}, {'item': 51334440}, {'item': 12299625}, {'item': 38208011}, {'item': 42538438}, {'item': 98668829}, {'item': 66937198}, {'item': 6617054}, {'item': 26222279}, {'item': 46041262}, {'item': 71247927}, {'item': 20720322}, {'item': 73324634}, {'item': 88995663}, {'item': 52161912}, {'item': 67726909}, {'item': 94480400}, {'item': 19829093}, {'item': 76509442}, {'item': 71305348}, {'item': 30604757}, {'item': 58002658}, {'item': 91409024}, {'item': 24575853}, {'item': 86755937}, {'item': 47171129}, {'item': 73735893}, {'item': 79322731}, {'item': 44163662}, {'item': 92878128}, {'item': 60104526}, {'item': 58042728}]",Action (physics),Sustainability,Earth observation,"[{'score': 0.61, 'id': 'https://metadata.un.org/sdg/8', 'display_name': 'Decent work and economic growth'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 3310, 'currency': 'USD', 'value_usd': 3310, 'provenance': 'doaj'}",Missing,-2.3387735317858076
85845053,2018,article,32,6,"['Ling Jiang', 'Donghao Li', 'Lu Jin', 'Ying Ruan', 'Wen‐Hui Shen', 'Chunlin Liu']","['Hunan Agricultural University', 'Education Department of Hunan Province', 'Hunan Agricultural University', 'Education Department of Hunan Province', 'Education Department of Hunan Province', 'Hunan Agricultural University', 'Hunan Agricultural University', 'Education Department of Hunan Province', 'Institut de Biologie Moléculaire des Plantes', 'Université de Strasbourg', 'Centre National de la Recherche Scientifique', 'Hunan Agricultural University', 'Education Department of Hunan Province']","[{'item': 39875008}, {'item': 2976004}, {'item': 95798685}, {'item': 44739937}, {'item': 98749308}, {'item': 26142487}, {'item': 87076737}, {'item': 82358397}, {'item': 60530015}, {'item': 43741066}, {'item': 19979786}, {'item': 89164590}, {'item': 98674747}, {'item': 30674427}, {'item': 43791500}, {'item': 56307036}, {'item': 10586052}, {'item': 60654381}, {'item': 2524554}, {'item': 59297673}, {'item': 9429719}, {'item': 84380424}, {'item': 11091908}, {'item': 37644589}, {'item': 93440448}, {'item': 89680658}, {'item': 15267966}, {'item': 48428676}, {'item': 30869771}, {'item': 73807561}, {'item': 7078756}, {'item': 89982923}, {'item': 73366649}, {'item': 85922462}, {'item': 81944036}, {'item': 93652662}, {'item': 85891455}, {'item': 53901913}, {'item': 6279087}, {'item': 46985002}, {'item': 78659938}, {'item': 63568811}, {'item': 91858954}, {'item': 59077482}, {'item': 34362783}, {'item': 32915634}, {'item': 12495254}, {'item': 43119505}, {'item': 59423455}, {'item': 56797934}, {'item': 35195121}, {'item': 15772967}, {'item': 58381455}, {'item': 65814504}, {'item': 44895814}, {'item': 39388072}, {'item': 35990539}, {'item': 4282730}, {'item': 35743640}, {'item': 97367902}, {'item': 90602613}, {'item': 16788178}, {'item': 36191063}, {'item': 870579}, {'item': 32385675}, {'item': 73886518}, {'item': 34785366}]",Methyltransferase,Histone,Chemistry,"[{'score': 0.62, 'id': 'https://metadata.un.org/sdg/15', 'display_name': 'Life on land'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.0121850969652795
5327017,2019,book-chapter,18,3,"['Dietmar Stoian', 'I. Monterroso', 'Dean Current']",[],"[{'item': 23930547}, {'item': 38757299}, {'item': 12007025}, {'item': 1435013}, {'item': 13414009}, {'item': 81471827}, {'item': 28570668}, {'item': 32283599}, {'item': 59133650}, {'item': 8288694}, {'item': 94713223}, {'item': 13962624}, {'item': 73924329}, {'item': 61641543}, {'item': 59657476}, {'item': 93692705}, {'item': 44053370}, {'item': 51686596}, {'item': 79340147}, {'item': 57884842}, {'item': 42206823}, {'item': 32704041}, {'item': 81547582}, {'item': 82856273}, {'item': 90494557}, {'item': 12543739}, {'item': 58162788}, {'item': 32271722}, {'item': 62402908}, {'item': 60064749}, {'item': 88252414}, {'item': 53281326}, {'item': 30778437}, {'item': 72830712}, {'item': 32309837}, {'item': 41094664}, {'item': 17461949}, {'item': 85258384}, {'item': 20600990}, {'item': 89796637}, {'item': 54833396}, {'item': 34179040}, {'item': 69995287}, {'item': 56711059}, {'item': 40457320}, {'item': 7439175}, {'item': 17071062}, {'item': 21100203}, {'item': 99673885}, {'item': 15214264}, {'item': 52812635}, {'item': 14677812}, {'item': 54455990}, {'item': 83734711}, {'item': 11515641}, {'item': 38341915}, {'item': 66827265}, {'item': 33944036}, {'item': 48816556}, {'item': 18279962}, {'item': 53729749}]",Business,Livelihood,Sustainability,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.12091292866531116
60725528,2019,book-chapter,10,1,['Ana Cristina Ribeiro-Duthie'],['University of Tasmania'],"[{'item': 10840031}, {'item': 47451227}, {'item': 97582262}, {'item': 71443045}, {'item': 27552582}, {'item': 93758111}, {'item': 10978489}, {'item': 87376543}, {'item': 3286544}, {'item': 46420622}, {'item': 89736949}, {'item': 50696151}, {'item': 53113076}, {'item': 42371807}, {'item': 17138312}, {'item': 94485068}, {'item': 38305517}, {'item': 76207235}, {'item': 77004671}, {'item': 20690421}, {'item': 91454944}, {'item': 23791711}, {'item': 26083341}, {'item': 15037229}, {'item': 93092244}, {'item': 9210834}]",Fair trade,Developing country,Work (physics),[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.6300245460424887
95943960,2019,book-chapter,2,1,['Christoph Scherrer'],['University of Kassel'],"[{'item': 88235403}, {'item': 65279384}, {'item': 33694913}, {'item': 99840585}, {'item': 73051458}, {'item': 63945211}, {'item': 28158824}, {'item': 73993409}, {'item': 33912143}, {'item': 59530719}, {'item': 14280983}, {'item': 9447387}, {'item': 29684630}, {'item': 27607820}, {'item': 70506068}, {'item': 30184038}, {'item': 91528860}, {'item': 28478161}, {'item': 80452893}, {'item': 96990552}, {'item': 73656451}, {'item': 99941100}, {'item': 92650031}, {'item': 15836907}, {'item': 98390579}, {'item': 54024374}, {'item': 19884450}, {'item': 64084003}, {'item': 43961339}, {'item': 82217135}, {'item': 50573822}, {'item': 77470662}, {'item': 53382025}, {'item': 53866516}, {'item': 67677118}, {'item': 35077221}, {'item': 8636314}, {'item': 76836539}, {'item': 80657157}, {'item': 88958266}, {'item': 97768517}, {'item': 24147810}, {'item': 10870774}, {'item': 33979250}, {'item': 95713801}, {'item': 52962022}]",Globalization,Productivity,Development economics,"[{'score': 0.56, 'id': 'https://metadata.un.org/sdg/8', 'display_name': 'Decent work and economic growth'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-0.45445121623825074
64171175,2020,article,5,1,['Alex Ansong'],['Ghana Institute of Management and Public Administration'],"[{'item': 35629758}, {'item': 56577537}, {'item': 61178462}, {'item': 90882801}, {'item': 58951140}, {'item': 69683838}, {'item': 7929221}, {'item': 71645800}, {'item': 91180125}, {'item': 23018519}, {'item': 40186661}, {'item': 50163950}, {'item': 79531757}, {'item': 60827249}, {'item': 62615229}, {'item': 78991251}, {'item': 10688775}, {'item': 76617736}, {'item': 83407005}, {'item': 2941217}, {'item': 26455104}]",Liberalization,Private sector,International trade,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.6443570163905132
40182362,2021,article,67,2,"['Halliki Kreinin', 'Ernest Aigner']","['Vienna University of Economics and Business', 'Vienna University of Economics and Business']","[{'item': 95248035}, {'item': 68238759}, {'item': 99001630}, {'item': 32764512}, {'item': 26006579}, {'item': 14049201}, {'item': 92965425}, {'item': 16487162}, {'item': 56776882}, {'item': 83744915}, {'item': 78622758}, {'item': 14004135}, {'item': 1221401}, {'item': 77716911}, {'item': 19144558}, {'item': 44862576}, {'item': 7662405}, {'item': 31942666}, {'item': 25346044}, {'item': 77322775}, {'item': 6346410}, {'item': 33212082}, {'item': 59628581}, {'item': 45850896}, {'item': 16767159}, {'item': 14970693}, {'item': 87404015}, {'item': 56746092}, {'item': 68306351}, {'item': 54251856}, {'item': 1355406}, {'item': 89708551}, {'item': 48555833}, {'item': 94262899}, {'item': 55121099}, {'item': 4674585}, {'item': 89549172}, {'item': 71099510}, {'item': 95023810}, {'item': 27589522}, {'item': 77288855}, {'item': 34777585}, {'item': 9912899}, {'item': 56328882}, {'item': 35808596}, {'item': 88476848}, {'item': 63326608}, {'item': 37396036}, {'item': 96053665}, {'item': 52516010}, {'item': 63380049}, {'item': 89396297}, {'item': 96476994}, {'item': 90940374}, {'item': 87281931}, {'item': 58784895}, {'item': 97009908}, {'item': 34866843}, {'item': 36298913}, {'item': 59114873}, {'item': 10885268}, {'item': 68936974}, {'item': 39588911}, {'item': 9450071}, {'item': 72225000}, {'item': 37083607}, {'item': 45721228}, {'item': 77069933}, {'item': 22329793}, {'item': 22260697}, {'item': 31314584}, {'item': 17428405}, {'item': 52537451}, {'item': 34710543}, {'item': 24336397}, {'item': 54637865}, {'item': 21082120}, {'item': 52917409}, {'item': 84527806}, {'item': 76398923}, {'item': 56713928}, {'item': 27108385}, {'item': 73296232}, {'item': 23227866}, {'item': 92982268}, {'item': 42464633}, {'item': 35482270}, {'item': 66552515}, {'item': 48990171}, {'item': 21208588}, {'item': 14431604}, {'item': 50033730}, {'item': 60993948}, {'item': 55724122}, {'item': 56019033}, {'item': 42118043}, {'item': 15518756}, {'item': 65241368}, {'item': 11156198}, {'item': 93837117}, {'item': 83924110}, {'item': 93535136}, {'item': 86113883}, {'item': 58317595}, {'item': 1865611}, {'item': 34443570}, {'item': 96919422}, {'item': 48774368}, {'item': 27655842}, {'item': 36148754}, {'item': 68148200}, {'item': 58579805}, {'item': 88139085}, {'item': 38147372}, {'item': 45048513}, {'item': 90926565}, {'item': 74262505}, {'item': 73927250}, {'item': 53729749}]",Degrowth,Sustainability,Sustainable development,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2390, 'currency': 'EUR', 'value_usd': 2990, 'provenance': 'doaj'}",Missing,-1.5717948108474127
32610661,2021,article,23,6,"['Rosley Anholon', 'Izabela Simon Rampasso', 'Vitor William Batista Martins', 'Milena Pavan Serafim', 'Walter Leal Filho', 'Osvaldo Luíz Gonçalves Quelhas']","['Universidade Estadual de Campinas (UNICAMP)', 'Universidade Federal Fluminense', 'Universidade Estadual de Campinas (UNICAMP)', 'Universidade Estadual de Campinas (UNICAMP)', 'Universidade do Estado do Pará', 'Universidade Estadual de Campinas (UNICAMP)', 'Universität Hamburg', 'HAW Hamburg', 'Universidade Federal Fluminense']","[{'item': 83413827}, {'item': 3360557}, {'item': 5771722}, {'item': 83865334}, {'item': 61871029}, {'item': 86743525}, {'item': 95422416}]",Originality,Coronavirus disease 2019 (COVID-19),Pandemic,"[{'score': 0.52, 'id': 'https://metadata.un.org/sdg/17', 'display_name': 'Partnerships for the goals'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-7.529645121322632
4754928,2021,article,17,5,"['Інна Макаренко', 'Alex Plastun', 'Yuriy Petrushenko', 'Анна Воронцова', 'Stanislaw Alwasiak']","['Sumy State University', 'Sumy State University', 'Sumy State University', 'Sumy State University']","[{'item': 61243124}, {'item': 58478660}, {'item': 61443997}, {'item': 82070908}, {'item': 51110119}, {'item': 18334523}, {'item': 60725528}, {'item': 43072686}, {'item': 58241664}, {'item': 85871837}, {'item': 69324207}, {'item': 73980637}, {'item': 49946239}, {'item': 63074937}, {'item': 36541106}, {'item': 72006703}, {'item': 18943589}, {'item': 48410111}, {'item': 32610661}, {'item': 74948243}, {'item': 20792906}, {'item': 45365672}, {'item': 34459481}, {'item': 82002469}, {'item': 85644398}, {'item': 33957078}, {'item': 40182362}, {'item': 98055940}, {'item': 55723905}]",Context (archaeology),Sustainability,Knowledge economy,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 125, 'currency': 'EUR', 'value_usd': 134, 'provenance': 'doaj'}",Missing,-1.8728766114346074
