PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
32852716,2016,article,5,1,['Leonie Bellina'],['Leuphana University of Lüneburg'],"[{'item': 15935552}, {'item': 84668972}, {'item': 12796002}, {'item': 72945689}]",Sustainability,Food security,Livelihood,"[{'display_name': 'Zero hunger', 'id': 'https://metadata.un.org/sdg/2', 'score': 0.69}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.540445040947149
25894747,2016,article,0,1,['Kai-Hsin Hung'],['University of Ottawa'],"[{'item': 46544647}, {'item': 39883414}, {'item': 89601844}, {'item': 83155919}, {'item': 62291596}, {'item': 21333466}, {'item': 63118327}, {'item': 57455356}, {'item': 75210507}]",Framing (construction),Foreign policy,Food security,"[{'id': 'https://metadata.un.org/sdg/2', 'display_name': 'Zero hunger', 'score': 0.73}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.42121346507630353
49716610,2017,article,3,2,"['Ely José de Mattos', 'Izete Pengo Bagolin']","['Pontifícia Universidade Católica do Rio Grande do Sul', 'Pontifícia Universidade Católica do Rio Grande do Sul']","[{'item': 92089813}, {'item': 865938}, {'item': 85690821}]",Poverty,Food security,Food insecurity,"[{'display_name': 'No poverty', 'id': 'https://metadata.un.org/sdg/1', 'score': 0.55}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.2876820724517809
4998829,2018,article,122,12,"['Daniel Mason-D’Croz', 'Timothy B. Sulser', 'Keith Wiebe', 'Mark W. Rosegrant', 'Sarah K. Lowder', 'Alejandro Nin‐Pratt', 'Dirk Willenbockel', 'Sherman Robinson', 'Tingju Zhu', 'Nicola Cenacchi', 'Shahnila Dunston', 'Richard Robertson']","['International Food Policy Research Institute', 'Commonwealth Scientific and Industrial Research Organisation', 'International Food Policy Research Institute', 'International Food Policy Research Institute', 'International Food Policy Research Institute', 'International Food Policy Research Institute', 'University of Sussex', 'Institute of Development Studies', 'International Food Policy Research Institute', 'International Food Policy Research Institute', 'International Food Policy Research Institute', 'International Food Policy Research Institute', 'International Food Policy Research Institute']","[{'item': 74273315}, {'item': 58460132}, {'item': 75895115}, {'item': 48941064}, {'item': 59640010}, {'item': 11407790}, {'item': 75397380}, {'item': 1463651}, {'item': 79751058}, {'item': 56562614}, {'item': 80808655}, {'item': 53654796}, {'item': 41641498}, {'item': 19523302}, {'item': 78727655}, {'item': 90827731}, {'item': 85553981}, {'item': 75588836}, {'item': 47309774}, {'item': 75753736}, {'item': 51882060}, {'item': 17742075}, {'item': 11704967}, {'item': 72116367}, {'item': 20679504}, {'item': 3771791}, {'item': 37807353}, {'item': 99350861}, {'item': 99951988}, {'item': 81661431}, {'item': 6996621}, {'item': 90012348}, {'item': 11162744}, {'item': 52129595}, {'item': 26070750}, {'item': 77250135}, {'item': 29806523}, {'item': 24605538}, {'item': 65525415}, {'item': 59344600}, {'item': 1391899}, {'item': 26785117}, {'item': 12974320}, {'item': 86411442}, {'item': 47370607}, {'item': 15456444}, {'item': 25951083}, {'item': 84426935}, {'item': 91975335}, {'item': 95705385}, {'item': 80368747}, {'item': 55640845}, {'item': 35191552}, {'item': 81817190}, {'item': 36443516}, {'item': 87963824}, {'item': 37425429}, {'item': 26829514}, {'item': 43713576}, {'item': 46866471}, {'item': 10317427}, {'item': 16022761}, {'item': 74538799}, {'item': 52141266}, {'item': 85507069}, {'item': 3667009}, {'item': 72441381}, {'item': 92782616}, {'item': 76306143}, {'item': 71926698}, {'item': 640655}, {'item': 15158881}, {'item': 59134535}, {'item': 21902112}, {'item': 31081183}, {'item': 49101981}, {'item': 5782798}, {'item': 98821267}, {'item': 76562654}, {'item': 34360348}, {'item': 81384516}, {'item': 75233537}, {'item': 1265666}, {'item': 61657869}, {'item': 61985067}, {'item': 60167878}, {'item': 13399599}, {'item': 83758221}, {'item': 1113699}, {'item': 86443756}, {'item': 19613012}, {'item': 575172}, {'item': 24263768}, {'item': 62587666}, {'item': 90153651}, {'item': 94278994}, {'item': 52074285}, {'item': 82572511}, {'item': 96663387}, {'item': 56983354}]",Food security,Climate change,Agriculture,"[{'display_name': 'Zero hunger', 'id': 'https://metadata.un.org/sdg/2', 'score': 0.52}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2134, 'currency': 'EUR', 'value_usd': 2301, 'provenance': 'openapc'}",Missing,0.5476480994586088
25902254,2018,article,31,2,"['Camillus Abawiera Wongnaa', 'Dadson Awunyo‐Vitor']","['Kwame Nkrumah University of Science and Technology', 'Kwame Nkrumah University of Science and Technology']","[{'item': 90039921}, {'item': 70420063}, {'item': 94088831}, {'item': 3067868}, {'item': 51551286}, {'item': 54410046}, {'item': 81619701}, {'item': 18573911}, {'item': 21346847}, {'item': 51836314}, {'item': 46973072}, {'item': 61544814}, {'item': 80679525}, {'item': 13821748}, {'item': 59601525}, {'item': 21333466}, {'item': 80253311}, {'item': 78126639}, {'item': 31831022}, {'item': 5073215}, {'item': 82097153}, {'item': 77928459}, {'item': 82972158}, {'item': 10166343}, {'item': 37787571}, {'item': 73076017}, {'item': 71675583}, {'item': 41436486}, {'item': 65830683}, {'item': 95696789}, {'item': 93491475}]",Agricultural science,Agriculture,Poverty,"[{'display_name': 'Zero hunger', 'id': 'https://metadata.un.org/sdg/2', 'score': 0.48}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1490, 'currency': 'GBP', 'value_usd': 1827, 'provenance': 'doaj'}",Missing,-1.8401968374862603
19619220,2018,article,10,2,"['Wasiu Olayinka Fawole', 'Burhan Özkan']","['National Open University of Nigeria', 'Akdeniz University']","[{'item': 57942834}, {'item': 98332958}, {'item': 88073410}, {'item': 7858869}, {'item': 83867792}, {'item': 6720794}, {'item': 24857519}, {'item': 52307619}, {'item': 54298248}, {'item': 6886183}, {'item': 15518383}, {'item': 19033599}, {'item': 15125545}, {'item': 45807195}, {'item': 17505926}, {'item': 55485399}, {'item': 57336700}, {'item': 28369895}, {'item': 42752555}, {'item': 36279265}, {'item': 42898319}, {'item': 23100493}, {'item': 3166783}]",Food insecurity,Food security,Business,"[{'display_name': 'Zero hunger', 'id': 'https://metadata.un.org/sdg/2', 'score': 0.81}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.4605066940939393
72265008,2019,article,140,5,"['Jennifer Blesh', 'Lesli Hoey', 'Andrew D. Jones', 'Harriet Friedmann', 'Ivette Perfecto']","['University of Michigan–Ann Arbor', 'A. Alfred Taubman Health Care Center', 'University of Michigan–Ann Arbor', 'University of Michigan–Ann Arbor', 'University of Toronto', 'University of Michigan–Ann Arbor']","[{'item': 30661946}, {'item': 59511613}, {'item': 74887142}, {'item': 27307587}, {'item': 24466155}, {'item': 50638369}, {'item': 49088581}, {'item': 93918963}, {'item': 75415442}, {'item': 15856565}, {'item': 53063829}, {'item': 97533769}, {'item': 66802536}, {'item': 58680632}, {'item': 63804532}, {'item': 46700572}, {'item': 27982729}, {'item': 98595751}, {'item': 52981104}, {'item': 98313544}, {'item': 8351263}, {'item': 67079000}, {'item': 77698227}, {'item': 79120882}, {'item': 57139840}, {'item': 51035788}, {'item': 18036332}, {'item': 36943871}, {'item': 4571198}, {'item': 90676449}, {'item': 30996352}, {'item': 9892066}, {'item': 52089112}, {'item': 18013855}, {'item': 44702472}, {'item': 7286245}, {'item': 86757058}, {'item': 44219351}, {'item': 27676826}, {'item': 27778397}, {'item': 12040358}, {'item': 92142130}, {'item': 80442456}, {'item': 84170467}, {'item': 17264176}, {'item': 35852006}, {'item': 5837231}, {'item': 36119655}, {'item': 9577494}, {'item': 96162389}, {'item': 58471940}, {'item': 98383805}, {'item': 9861681}, {'item': 24382242}, {'item': 48125754}, {'item': 69995000}, {'item': 21465616}, {'item': 6839987}, {'item': 7987458}, {'item': 31173729}, {'item': 9045876}, {'item': 84431462}, {'item': 81979515}, {'item': 83616394}, {'item': 8817758}, {'item': 90442626}, {'item': 25736126}, {'item': 93604896}, {'item': 75351931}, {'item': 80257339}, {'item': 61768173}, {'item': 96414092}, {'item': 90873092}, {'item': 96057519}, {'item': 10788706}, {'item': 4216600}, {'item': 12142903}, {'item': 75148215}, {'item': 14814687}, {'item': 7751785}, {'item': 54016126}, {'item': 70488525}, {'item': 55139762}, {'item': 71731537}, {'item': 360401}, {'item': 29335592}, {'item': 23356008}, {'item': 49263247}, {'item': 91321872}, {'item': 92403749}, {'item': 65330975}, {'item': 93768773}, {'item': 94200537}, {'item': 32795550}, {'item': 32010205}, {'item': 35261840}, {'item': 3475813}, {'item': 11096137}, {'item': 18698925}, {'item': 20005495}, {'item': 86367442}, {'item': 71946149}, {'item': 45845831}, {'item': 60904711}, {'item': 97810320}, {'item': 5481398}, {'item': 77711820}, {'item': 84360313}, {'item': 69942236}, {'item': 47999058}, {'item': 58478660}, {'item': 6122630}, {'item': 57979776}, {'item': 25983997}, {'item': 19532909}, {'item': 75420886}, {'item': 60900870}, {'item': 98209646}, {'item': 87192439}, {'item': 91056199}, {'item': 88336130}, {'item': 93755881}, {'item': 73922556}, {'item': 69133603}, {'item': 61806754}, {'item': 29600472}, {'item': 39470523}, {'item': 93162813}, {'item': 30963893}, {'item': 20644580}, {'item': 60672689}, {'item': 84224272}, {'item': 30739663}, {'item': 6520394}, {'item': 96637863}, {'item': 27432323}, {'item': 41009125}, {'item': 60040827}, {'item': 58018640}, {'item': 66743037}, {'item': 19528989}, {'item': 5152471}, {'item': 30746806}, {'item': 31877880}, {'item': 59908399}, {'item': 88399458}, {'item': 63289837}, {'item': 66410124}, {'item': 56745076}, {'item': 18565662}, {'item': 7710144}, {'item': 43704907}, {'item': 85342635}, {'item': 6114057}, {'item': 10690715}, {'item': 98617447}, {'item': 52680002}, {'item': 36404353}, {'item': 16987081}, {'item': 11283428}, {'item': 26466615}, {'item': 1965413}, {'item': 86887132}, {'item': 71834560}, {'item': 60698367}, {'item': 10457576}, {'item': 6563512}, {'item': 11498354}, {'item': 60917584}, {'item': 44352125}, {'item': 12196360}, {'item': 95962893}, {'item': 50632304}, {'item': 59876021}, {'item': 1389572}, {'item': 22001709}, {'item': 69572023}, {'item': 57764246}, {'item': 9993381}, {'item': 35406372}, {'item': 92605768}, {'item': 94986661}, {'item': 31563232}]",Food security,Framing (construction),Food systems,"[{'display_name': 'Zero hunger', 'id': 'https://metadata.un.org/sdg/2', 'score': 0.83}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-0.1341915719531993
8485649,2019,article,77,4,"['Olutosin Ademola Otekunrin', 'Oluwaseun A. Otekunrin', 'S. Momoh', 'I. A. Ayinde']","['Federal University of Agriculture', 'University of Ibadan', 'Federal University of Agriculture', 'Federal University of Agriculture']","[{'item': 18304616}, {'item': 78429614}, {'item': 39111909}, {'item': 92342894}, {'item': 71731537}, {'item': 28991333}, {'item': 56358818}, {'item': 5671725}, {'item': 93926046}, {'item': 4679571}, {'item': 51917437}, {'item': 60936029}, {'item': 23945092}, {'item': 6170406}, {'item': 5143125}, {'item': 41070606}, {'item': 59876021}]",Development economics,Poverty,Government (linguistics),"[{'display_name': 'Zero hunger', 'id': 'https://metadata.un.org/sdg/2', 'score': 0.41}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.4813491931724734
19390993,2019,article,69,2,"['Derek Byerlee', 'Jessica Fanzo']","['Georgetown University', 'Johns Hopkins University']","[{'item': 60808048}, {'item': 85475935}, {'item': 63637497}, {'item': 79120443}, {'item': 1987506}, {'item': 16639624}, {'item': 71177964}, {'item': 69658468}, {'item': 18224360}, {'item': 83735821}, {'item': 55003425}, {'item': 30001221}, {'item': 55172862}, {'item': 29835831}, {'item': 78574695}, {'item': 93051093}, {'item': 90012348}, {'item': 61484981}, {'item': 22563128}, {'item': 92142130}, {'item': 52129595}, {'item': 63823927}, {'item': 17340338}, {'item': 95938079}, {'item': 28991333}, {'item': 72004217}, {'item': 70378526}, {'item': 91855135}, {'item': 67156556}, {'item': 95421383}, {'item': 59719258}, {'item': 89938341}, {'item': 70905050}, {'item': 38018732}, {'item': 84076564}, {'item': 54051005}, {'item': 20953572}, {'item': 65590243}, {'item': 18124839}, {'item': 83971690}, {'item': 4998829}, {'item': 24371562}, {'item': 61960133}, {'item': 4867528}, {'item': 51697674}, {'item': 1490824}, {'item': 19613012}, {'item': 618328}, {'item': 98095329}]",Agriculture,Malnutrition,Isolation (microbiology),"[{'display_name': 'Zero hunger', 'id': 'https://metadata.un.org/sdg/2', 'score': 0.85}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 3760, 'currency': 'USD', 'value_usd': 3760, 'provenance': 'doaj'}",Missing,-2.512120851839227
60586488,2019,article,49,4,"['Onil Banerjee', 'Martín Cicowiez', 'Mark Horridge', 'Renato Vargas']","['Inter-American Development Bank', 'Universidad Nacional de La Plata', 'Victoria University']","[{'item': 67605414}, {'item': 30018461}, {'item': 37927068}, {'item': 77885857}, {'item': 90288660}, {'item': 61865195}, {'item': 84043212}, {'item': 77019087}, {'item': 2760635}, {'item': 42967806}, {'item': 9702465}, {'item': 67362540}, {'item': 72375265}, {'item': 29989440}, {'item': 44528808}, {'item': 67700573}, {'item': 89308991}, {'item': 93156949}, {'item': 39571404}, {'item': 61201652}]",Sanitation,Sustainable development,Poverty,"[{'display_name': 'No poverty', 'id': 'https://metadata.un.org/sdg/1', 'score': 0.42}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.653326987773909
