PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
83458765,2016,Nadja Kabisch,Helmholtz Centre for Environmental Research,Leipzig,Sachsen,Germany,51.3517518,12.4309111
83458765,2016,Niki Frantzeskaki,German Centre for Integrative Biodiversity Research,,,,,
83458765,2016,Stephan Pauleit,Humboldt-Universität zu Berlin,Berlin,Berlin,Germany,52.517883,13.3936551
83458765,2016,Sandra Naumann,Erasmus University Rotterdam,Rotterdam,Zuid-Holland,Netherlands,51.9172477,4.5263027
83458765,2016,McKenna Davis,Technical University of Munich,München,Bayern,Germany,48.1487646,11.5681764
83458765,2016,Martina Artmann,Ecologic Institute,Berlin,Berlin,Germany,52.489465,13.321449
83458765,2016,Dagmar Haase,Ecologic Institute,Berlin,Berlin,Germany,52.489465,13.321449
83458765,2016,Sonja Knapp,Leibniz Institute of Ecological Urban and Regional Development,Dresden,Sachsen,Germany,51.03124,13.74819
83458765,2016,Horst Korn,University of Salzburg,Salzburg,Salzburg,Austria,47.7972387,13.0480985
83458765,2016,Jutta Stadler,Humboldt-Universität zu Berlin,Berlin,Berlin,Germany,52.517883,13.3936551
83458765,2016,Karin Zaunberger,Helmholtz Centre for Environmental Research,Leipzig,Sachsen,Germany,51.3517518,12.4309111
83458765,2016,Aletta Bonn,Helmholtz Centre for Environmental Research,Leipzig,Sachsen,Germany,51.3517518,12.4309111
26236211,2016,Thomas Hale,,,,,,
3261681,2016,Элинор Остром,Indiana University Bloomington,Bloomington,Indiana,United States,39.1682449,-86.52300729999999
44444282,2016,Guy Howard,Overseas Development Institute,,,,,
44444282,2016,Roger Calow,British Geological Survey,,,,,
44444282,2016,Alan MacDonald,University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,United States,35.9049122,-79.0469134
74811629,2016,Kathryn L. Doherty,Antioch University New England,Keene,New Hampshire,United States,42.9318847,-72.2938308
74811629,2016,Thomas Webler,Northampton Community College,Bethlehem,Pennsylvania,United States,40.6724332,-75.3257474
66393804,2016,Sander Chan,Utrecht University,Utrecht,Utrecht,Netherlands,52.0859667,5.1715372
66393804,2016,Robert Falkner,London School of Economics and Political Science,London,England,United Kingdom,51.5144388,-0.1164513
66393804,2016,Matthew H. Goldberg,London School of Economics and Political Science,London,England,United Kingdom,51.5144388,-0.1164513
66393804,2016,Harro van Asselt,Stockholm Environment Institute,Stockholm,Stockholm County,Sweden,59.3327036,18.0656255
58860257,2016,E. Carina H. Keskitalo,Umeå University,Umeå,Västerbottens län,Sweden,63.82022240000001,20.3054461
58860257,2016,Sirkku Juhola,Aalto University,Espoo,Uusimaa,Finland,60.185145,24.8322977
58860257,2016,Nina Baron,University of Helsinki,Helsinki,Uusimaa,Finland,60.16948170000001,24.9505269
58860257,2016,Håkon Fyhn,Aarhus University,Aarhus,,Denmark,56.1659924,10.2000645
58860257,2016,Johannes Klein,Norwegian University of Science and Technology,Trondheim,Trøndelag,Norway,63.4194872,10.4019939
53194272,2016,Jale Tosun,Heidelberg University,Heidelberg,Baden-Württemberg,Germany,49.41066,8.706554299999999
53194272,2016,Jonas J. Schoenefeld,Tyndall Centre,,,,,
10070662,2016,Thomas Hoppe,Delft University of Technology,Delft,Zuid-Holland,Netherlands,52.0021919,4.3735766
10070662,2016,A. van der Vegt,University of Twente,Enschede,Overijssel,Netherlands,52.2396538,6.84979
10070662,2016,Peter Stegmaier,University of Twente,Enschede,Overijssel,Netherlands,52.2396538,6.84979
53455607,2016,Helen Santiago Fink,BOKU University,Wien,Wien,Austria,48.2365448,16.337579
76873977,2016,Robert Gifford,University of Victoria,Victoria,British Columbia,Canada,48.4631345,-123.3121763
76873977,2016,Angel K. S. Chen,University of Victoria,Victoria,British Columbia,Canada,48.4631345,-123.3121763
80355919,2016,Sara Williams,University of the West of England,Stoke Gifford,England,United Kingdom,51.5006497,-2.5474318
80355919,2016,Lindsey McEwen,University of the West of England,Stoke Gifford,England,United Kingdom,51.5006497,-2.5474318
80355919,2016,Nevil Quinn,University of the West of England,Stoke Gifford,England,United Kingdom,51.5006497,-2.5474318
19293173,2016,G. Salvini,Wageningen University & Research,Wageningen,Gelderland,Netherlands,51.9863475,5.668019
19293173,2016,Annemarie van Paassen,Wageningen University & Research,Wageningen,Gelderland,Netherlands,51.9863475,5.668019
19293173,2016,A. Ligtenberg,Wageningen University & Research,Wageningen,Gelderland,Netherlands,51.9863475,5.668019
19293173,2016,Gabriel Cardoso Carrero,Wageningen University & Research,Wageningen,Gelderland,Netherlands,51.9863475,5.668019
66756851,2016,Missy Stults,University of Michigan–Ann Arbor,Ann Arbor,Michigan,United States,42.277145,-83.7382071
66756851,2016,Sierra Woodruff,University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,United States,35.9049122,-79.0469134
66202749,2016,Inês Campos,University of Lisbon,Lisboa,Lisboa,Portugal,38.7526578,-9.158244999999999
66202749,2016,Filipe M. Alves,University of Lisbon,Lisboa,Lisboa,Portugal,38.7526578,-9.158244999999999
66202749,2016,J. Dinis,University of Lisbon,Lisboa,Lisboa,Portugal,38.7526578,-9.158244999999999
66202749,2016,Mónica Trüninger,University of Lisbon,Lisboa,Lisboa,Portugal,38.7526578,-9.158244999999999
66202749,2016,André Vizinho,University of Lisbon,Lisboa,Lisboa,Portugal,38.7526578,-9.158244999999999
98424860,2016,Bruce Barrett,University of Wisconsin–Madison,Madison,Wisconsin,United States,43.07551429999999,-89.4154526
98424860,2016,Maggie Grabow,University of Wisconsin–Madison,Madison,Wisconsin,United States,43.07551429999999,-89.4154526
98424860,2016,Cathy Middlecamp,University of Wisconsin Health,Madison,Wisconsin,United States,43.07551429999999,-89.4154526
98424860,2016,Margaret Mooney,University of Wisconsin–Madison,Madison,Wisconsin,United States,43.07551429999999,-89.4154526
98424860,2016,Mary Checovich,Cooperative Institute for Climate and Satellites,,,,,
98424860,2016,Alexander K. Converse,University of Wisconsin–Madison,Madison,Wisconsin,United States,43.07551429999999,-89.4154526
