PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
11602870,2016,Sue Ellen Taelman,Ghent University,Gent,Vlaams Gewest,Belgium,51.0466584,3.7273733
11602870,2016,Thomas Schaubroeck,Ghent University,Gent,Vlaams Gewest,Belgium,51.0466584,3.7273733
11602870,2016,Steven De Meester,Ghent University,Gent,Vlaams Gewest,Belgium,51.0466584,3.7273733
11602870,2016,Lieselot Boone,Ghent University,Gent,Vlaams Gewest,Belgium,51.0466584,3.7273733
11602870,2016,Jo Dewulf,Joint Research Centre,,,,,
39176066,2016,Deyi Hou,Tsinghua University,,Bei Jing Shi,China,39.9996674,116.3264439
39176066,2016,Qingbao Gu,Chinese Research Academy of Environmental Sciences,,,,,
39176066,2016,Fujun Ma,Chinese Research Academy of Environmental Sciences,,,,,
39176066,2016,Shannon O'Connell,Parsons (United States),Parsons,Kansas,United States,37.34033840000001,-95.2610838
33577092,2016,Krish Homagain,Lakehead University,Thunder Bay,Ontario,Canada,48.42111080000001,-89.2606994
33577092,2016,Chander Shahi,Lakehead University,Thunder Bay,Ontario,Canada,48.42111080000001,-89.2606994
33577092,2016,Nancy Luckai,Lakehead University,Thunder Bay,Ontario,Canada,48.42111080000001,-89.2606994
33577092,2016,Mahadev Sharma,Ontario Forest Research Institute,Sault Ste. Marie,Ontario,Canada,46.5038306,-84.300967
29367718,2016,Timothy M. Lenton,University of Exeter,Exeter,England,United Kingdom,50.7371369,-3.5351475
29367718,2016,Stuart J. Daines,University of Exeter,Exeter,England,United Kingdom,50.7371369,-3.5351475
64280542,2016,Vincent K.M. Cheng,University of Bath,Bath,England,United Kingdom,51.3782228,-2.3263987
64280542,2016,Geoffrey P. Hammond,University of Bath,Bath,England,United Kingdom,51.3782228,-2.3263987
18039641,2016,Marie Trydeman Knudsen,Aarhus University,Aarhus,,Denmark,56.1659924,10.2000645
18039641,2016,John E. Hermansen,Aarhus University,Aarhus,,Denmark,56.1659924,10.2000645
18039641,2016,Christel Cederberg,Chalmers University of Technology,Göteborg,Västra Götalands län,Sweden,57.6898004,11.9741617
18039641,2016,Félix Herzog,Agroscope,,,,,
18039641,2016,Jim Vale,Aberystwyth University,Penglais,Wales,United Kingdom,52.4182746,-4.0638533
18039641,2016,Philippe Jeanneret,"Institute of Biological, Environmental and Rural Sciences",Plas Gogerddan,Wales,United Kingdom,52.4328915,-4.017391
18039641,2016,Jean‐Pierre Sarthou,Agroscope,,,,,
18039641,2016,Jürgen K. Friedel,"AGroecologies, Innovations & Ruralities",,,,,
18039641,2016,Katalin Balázs,Institut National Polytechnique de Toulouse,Toulouse,Occitanie,France,43.6048462,1.442848
18039641,2016,Wendy Fjellstad,École Nationale Supérieure Agronomique de Toulouse,Auzeville-Tolosane,Occitanie,France,43.53505699999999,1.493193
18039641,2016,Max Kainz,Institut National de la Recherche Agronomique,Rabat,Rabat-Salé-Kénitra,Morocco,34.0090371,-6.8500086
18039641,2016,Sebastian Wolfrum,BOKU University,Wien,Wien,Austria,48.2365448,16.337579
18039641,2016,Peter Dennis,Magyar Agrár- és Élettudományi Egyetem,Gödöllő,,Hungary,47.5930204,19.3614993
21198204,2016,Gregory J. Retallack,University of Oregon,Eugene,Oregon,United States,44.0448302,-123.0726055
21198204,2016,David Krinsley,University of Oregon,Eugene,Oregon,United States,44.0448302,-123.0726055
21198204,2016,Robert Fischer,University of Oregon,Eugene,Oregon,United States,44.0448302,-123.0726055
21198204,2016,Joshua J. Razink,University of Oregon,Eugene,Oregon,United States,44.0448302,-123.0726055
21198204,2016,Kurt Langworthy,University of Oregon,Eugene,Oregon,United States,44.0448302,-123.0726055
66923305,2016,Victor Paulo Peçanha Esteves,Universidade Federal do Rio de Janeiro,Rio de Janeiro,State of Rio de Janeiro,Brazil,-22.9068467,-43.1728965
66923305,2016,Elisa Maria Mano Esteves,Universidade Federal do Rio de Janeiro,Rio de Janeiro,State of Rio de Janeiro,Brazil,-22.9068467,-43.1728965
66923305,2016,D. J. Bungenstab,Brazilian Agricultural Research Corporation,,,,,
66923305,2016,Daniel Loebmann,Brazilian Agricultural Research Corporation,,,,,
66923305,2016,D. de C. Victoria,Brazilian Agricultural Research Corporation,,,,,
66923305,2016,L. E. Vicente,Brazilian Agricultural Research Corporation,,,,,
66923305,2016,Ofélia de Queiroz Fernandes Araújo,Universidade Federal do Rio de Janeiro,Rio de Janeiro,State of Rio de Janeiro,Brazil,-22.9068467,-43.1728965
66923305,2016,Cláudia do Rosário Vaz Morgado,Universidade Federal do Rio de Janeiro,Rio de Janeiro,State of Rio de Janeiro,Brazil,-22.9068467,-43.1728965
78002972,2016,Hao Cai,Argonne National Laboratory,Lemont,Illinois,United States,41.7182827,-87.97886969999999
78002972,2016,J. Wang,Argonne National Laboratory,Lemont,Illinois,United States,41.7182827,-87.97886969999999
78002972,2016,Yan Feng,Argonne National Laboratory,Lemont,Illinois,United States,41.7182827,-87.97886969999999
78002972,2016,M. Wang,Argonne National Laboratory,Lemont,Illinois,United States,41.7182827,-87.97886969999999
78002972,2016,Zhangcai Qin,Argonne National Laboratory,Lemont,Illinois,United States,41.7182827,-87.97886969999999
78002972,2016,Jennifer B. Dunn,Argonne National Laboratory,Lemont,Illinois,United States,41.7182827,-87.97886969999999
33131895,2016,Saad Saleem Bhatti,Asian Institute of Technology,Tambon Khlong Nung,Chang Wat Pathum Thani,Thailand,14.0785,100.6140362
33131895,2016,Nitin Kumar Tripathi,Asian Institute of Technology,Tambon Khlong Nung,Chang Wat Pathum Thani,Thailand,14.0785,100.6140362
33131895,2016,Masahiko Nagai,Asian Institute of Technology,Tambon Khlong Nung,Chang Wat Pathum Thani,Thailand,14.0785,100.6140362
33131895,2016,Vilas Nitivattananon,Asian Institute of Technology,Tambon Khlong Nung,Chang Wat Pathum Thani,Thailand,14.0785,100.6140362
58313353,2016,Cyrille François,Centre National de la Recherche Scientifique,Paris,Île-de-France,France,48.8476037,2.2639934
58313353,2016,Natacha Gondran,École Nationale des Travaux Publics de l'État,Vaulx-en-Velin,Auvergne-Rhône-Alpes,France,45.77860829999999,4.9223494
58313353,2016,Jean‐Pierre Nicolas,Laboratoire Aménagement Économie Transports,,,,,
58313353,2016,David Parsons,Centre National de la Recherche Scientifique,Paris,Île-de-France,France,48.8476037,2.2639934
47920792,2016,Heying Jenny Zhan,Georgia State University,Atlanta,Georgia,United States,33.753068,-84.38528190000001
47920792,2016,Qi Wang,Georgia State University,Atlanta,Georgia,United States,33.753068,-84.38528190000001
47920792,2016,Zoe Fawcett,Georgia State University,Atlanta,Georgia,United States,33.753068,-84.38528190000001
47920792,2016,Xiaoqing Li,The Society for Post-Acute and Long-Term Care Medicine,,,,,
47920792,2016,Xiying Fan,Shaanxi Normal University,Xi An Shi,Shan Xi Sheng,China,34.157596,108.893408
32608468,2016,Shashi Kant,University of Toronto,,,,,
32608468,2016,Ilan Vertinsky,University of British Columbia,Vancouver,British Columbia,Canada,49.26060520000001,-123.2459939
32608468,2016,Bin Zheng,Nanjing Forestry University,Nan Jing Shi,Jiang Su Sheng,China,32.080904,118.812736
58779867,2016,Brian Vant‐Hull,City College of New York,New York,New York,United States,40.8200471,-73.9492724
58779867,2016,William B. Rossow,City College of New York,New York,New York,United States,40.8200471,-73.9492724
58779867,2016,Cindy Pearl,City College of New York,New York,New York,United States,40.8200471,-73.9492724
207550,2016,Yu‐Tzu Wu,University of Cambridge,Cambridge,England,United Kingdom,52.205356,0.113168
207550,2016,Matthew Prina,University of Cambridge,Cambridge,England,United Kingdom,52.205356,0.113168
207550,2016,Andy Jones,King's College London,London,England,United Kingdom,51.5114864,-0.115997
207550,2016,Linda Barnes,University of East Anglia,Norwich,England,United Kingdom,52.6220523,1.2410838
207550,2016,Fiona E. Matthews,University of Cambridge,Cambridge,England,United Kingdom,52.205356,0.113168
207550,2016,Carol Brayne,MRC Biostatistics Unit,Cambridge,England,United Kingdom,52.17332219999999,0.1436184
207550,2016,MRC CFAS,University of Cambridge,Cambridge,England,United Kingdom,52.205356,0.113168
28175289,2016,Si Chen,University of Hong Kong,,Hong Kong Island,Hong Kong,22.2830891,114.1365621
28175289,2016,Ester Cerin,Australian Catholic University,,,,,
28175289,2016,Robert J. Stimson,University of Melbourne,Parkville,Victoria,Australia,-37.7983459,144.960974
28175289,2016,PC Lai,University of Hong Kong,,Hong Kong Island,Hong Kong,22.2830891,114.1365621
93059395,2016,Ana Laura Raymundo Pavan,Universidade de São Paulo,São Paulo,State of São Paulo,Brazil,-23.5557714,-46.6395571
93059395,2016,Aldo Roberto Ometto,Universidade de São Paulo,São Paulo,State of São Paulo,Brazil,-23.5557714,-46.6395571
54934134,2016,Martin Brasier,University of Aberdeen,Aberdeen,Scotland,United Kingdom,57.1647761,-2.1014659
54934134,2016,Timothy Culwick,University of Oxford,Oxford,England,United Kingdom,51.75704289999999,-1.2545179
54934134,2016,Leila Battison,University of Oxford,Oxford,England,United Kingdom,51.75704289999999,-1.2545179
54934134,2016,Richard H. T. Callow,University of Oxford,Oxford,England,United Kingdom,51.75704289999999,-1.2545179
54934134,2016,Martin D. Brasier,Equinor (Norway),Soere,Buskerud,Norway,60.47202399999999,8.468945999999999
40223716,2016,Caroline Gaudreault,National Council for Air and Stream Improvement,,,,,
40223716,2016,T. Bently Wigley,Polytechnique Montréal,Montréal,Québec,Canada,45.5047939,-73.6131831
40223716,2016,Manuele Margni,National Council for Air and Stream Improvement,,,,,
40223716,2016,Jake Verschuyl,Natural Resources Canada,,,Canada,56.130366,-106.346771
40223716,2016,Kirsten Vice,Canadian Forest Service,,,Canada,56.130366,-106.346771
46034434,2016,Viêt Cao,Polytechnique Montréal,Montréal,Québec,Canada,45.5047939,-73.6131831
46034434,2016,Manuele Margni,Polytechnique Montréal,Montréal,Québec,Canada,45.5047939,-73.6131831
46034434,2016,Basil D. Favis,Polytechnique Montréal,Montréal,Québec,Canada,45.5047939,-73.6131831
46034434,2016,Louise Deschênes,Polytechnique Montréal,Montréal,Québec,Canada,45.5047939,-73.6131831
53398893,2016,Filipa Figueiredo,University of Coimbra,Coimbra,Coimbra District,Portugal,40.2076394,-8.4260932
53398893,2016,Érica Geraldes Castanheira,University of Coimbra,Coimbra,Coimbra District,Portugal,40.2076394,-8.4260932
53398893,2016,Fausto Freire,University of Coimbra,Coimbra,Coimbra District,Portugal,40.2076394,-8.4260932
90992789,2016,Mathew Halter,DuPont (United States),DuPont,Washington,United States,47.10032229999999,-122.6447892
90992789,2016,James A. Zahn,DuPont (United States),DuPont,Washington,United States,47.10032229999999,-122.6447892
20955748,2016,Cassandra M. Robillard,University of Ottawa,Ottawa,Ontario,Canada,45.42310639999999,-75.68313289999999
20955748,2016,Jeremy T. Kerr,University of Ottawa,Ottawa,Ontario,Canada,45.42310639999999,-75.68313289999999
41330831,2016,Tomasz Skalski,Jagiellonian University,Kraków,Województwo małopolskie,Poland,50.0620926,19.9333211
28893406,2016,Andrea Gibbons,,,,,,
25305002,2016,Edward R. M. Platt,UNSW Sydney,Sydney,New South Wales,Australia,-33.917347,151.2312675
25305002,2016,Ashley M. Fowler,University of Technology Sydney,Ultimo,New South Wales,Australia,-33.8836537,151.2006119
25305002,2016,Terry J. Ord,UNSW Sydney,Sydney,New South Wales,Australia,-33.917347,151.2312675
60107591,2016,Stian Rice,Kent State University,Kent,Ohio,United States,41.1438917,-81.3365012
60107591,2016,James A. Tyner,Kent State University,Kent,Ohio,United States,41.1438917,-81.3365012
60107591,2016,Mandy J. Munro‐Stasiuk,Kent State University,Kent,Ohio,United States,41.1438917,-81.3365012
60107591,2016,Sokvisak Kimroy,Kent State University,Kent,Ohio,United States,41.1438917,-81.3365012
60107591,2016,Savina Sirik,Kent State University,Kent,Ohio,United States,41.1438917,-81.3365012
83859233,2016,Xu Tang,Wuhan University,Wuhan,Hubei,China,30.5360485,114.3643219
83859233,2016,Chunyan Li,"National Administration of Surveying, Mapping and Geoinformation of China",Lanzhou,Gansu,China,35.86166,104.195397
83859233,2016,Shiyuan Hu,Wuhan University,Wuhan,Hubei,China,30.5360485,114.3643219
83859233,2016,Yaolin Liu,Wuhan University,Wuhan,Hubei,China,30.5360485,114.3643219
83859233,2016,Hong Geng,"National Administration of Surveying, Mapping and Geoinformation of China",Lanzhou,Gansu,China,35.86166,104.195397
58352589,2016,Jon Altman,,,,,,
67294056,2016,Insa Theesfeld,,,,,,
67294056,2016,Jarmila Curtiss,,,,,,
44112443,2016,Erin L. O’Brien,University of Northern British Columbia,Prince George,British Columbia,Canada,53.8922034,-122.8133607
44112443,2016,Russell D. Dawson,University of Northern British Columbia,Prince George,British Columbia,Canada,53.8922034,-122.8133607
28541328,2016,Artur Zimerman,Universidade Federal do ABC,,,,,
36194501,2016,Małgorzata Proćków,Wroclaw University of Environmental and Life Sciences,Wrocław,Województwo dolnośląskie,Poland,51.11142299999999,17.064267
3815557,2016,Justin B. Hollander,Tufts University,Medford,Massachusetts,United States,42.4085371,-71.1182729
3815557,2016,Jessica Soule,National Council for Science and the Environment,,,,,
31256734,2016,Kenichiro Sugitani,Nagoya University,Nagoya,Aichi,Japan,35.1538553,136.9682402
31256734,2016,Martin J. Van Kranendonk,UNSW Sydney,Sydney,New South Wales,Australia,-33.917347,151.2312675
31256734,2016,Dorothy Z. Oehler,Environmental Earth Sciences,,,,,
31256734,2016,Christopher H. House,UNSW Sydney,Sydney,New South Wales,Australia,-33.917347,151.2312675
31256734,2016,Malcolm R. Walter,Planetary Science Institute,Tucson,Arizona,United States,32.2644844,-110.9461441
58570392,2016,Konami Ando,Nagoya University,Nagoya,Aichi,Japan,35.1538553,136.9682402
58570392,2016,Shin‐ichi Fujiwara,Nagoya University,Nagoya,Aichi,Japan,35.1538553,136.9682402
79716586,2016,Geoffrey Guest,Ottawa Research and Development Centre,Ottawa,Ontario,Canada,45.4200572,-75.7003397
79716586,2016,R. L. Desjardins,Agriculture and Agri-Food Canada,,,Canada,56.130366,-106.346771
98030024,2016,J. G. Sinkovics,University of South Florida,Tampa,Florida,United States,28.0587031,-82.41385389999999
51537667,2016,Michael Viola,University of the Philippines Diliman,Quezon City,Metro Manila,Philippines,14.6538817,121.0685049
70746154,2016,W. George Lovell,,,,,,
16222715,2016,Isaiah Sciford,,,,,,
27511161,2016,Tauana Macedo de Paula,Universidade de Caxias do Sul,,Rio Grande do Sul,Brazil,-29.1666901,-51.1495142
27511161,2016,Gabriella Veridiana Stein,Universidade de Caxias do Sul,,Rio Grande do Sul,Brazil,-29.1666901,-51.1495142
27511161,2016,Marlei Salete Mecca,Universidade de Caxias do Sul,,Rio Grande do Sul,Brazil,-29.1666901,-51.1495142
17462852,2016,Peter Lawrence,Keele University,Keele,England,United Kingdom,53.0028422,-2.2723725
78312803,2016,Daphne W. Ntiri,,,,,,
3566253,2016,Gregory J. Retallack,University of Oregon,Eugene,Oregon,United States,44.0448302,-123.0726055
3566253,2016,David Krinsley,University of Oregon,Eugene,Oregon,United States,44.0448302,-123.0726055
3566253,2016,Robert Fischer,University of Oregon,Eugene,Oregon,United States,44.0448302,-123.0726055
3566253,2016,Joshua J. Razink,University of Oregon,Eugene,Oregon,United States,44.0448302,-123.0726055
3566253,2016,Kurt Langworthy,University of Oregon,Eugene,Oregon,United States,44.0448302,-123.0726055
82073839,2017,Tara Djokic,UNSW Sydney,Sydney,New South Wales,Australia,-33.917347,151.2312675
82073839,2017,Martin J. Van Kranendonk,UNSW Sydney,Sydney,New South Wales,Australia,-33.917347,151.2312675
82073839,2017,Kathleen A. Campbell,University of Auckland,,,,,
82073839,2017,Malcolm R. Walter,UNSW Sydney,Sydney,New South Wales,Australia,-33.917347,151.2312675
82073839,2017,Colin R. Ward,UNSW Sydney,Sydney,New South Wales,Australia,-33.917347,151.2312675
93309211,2017,Armağan Aloe Karabulut,Joint Research Centre,,,,,
93309211,2017,Eleonora Crenna,University of Milano-Bicocca,Milano,Lombardia,Italy,45.5182898,9.2137614
93309211,2017,Serenella Sala,Joint Research Centre,,,,,
93309211,2017,Ángel Udías,Joint Research Centre,,,,,
9451576,2017,Rui Chen,Argonne National Laboratory,Lemont,Illinois,United States,41.7182827,-87.97886969999999
9451576,2017,Zhangcai Qin,Argonne National Laboratory,Lemont,Illinois,United States,41.7182827,-87.97886969999999
9451576,2017,Jeongwoo Han,Argonne National Laboratory,Lemont,Illinois,United States,41.7182827,-87.97886969999999
9451576,2017,Michael Wang,Argonne National Laboratory,Lemont,Illinois,United States,41.7182827,-87.97886969999999
9451576,2017,Farzad Taheripour,State Street (United States),Sunrise Manor,Nevada,United States,36.1529579,-115.0732883
9451576,2017,Wallace E. Tyner,State Street (United States),Sunrise Manor,Nevada,United States,36.1529579,-115.0732883
9451576,2017,D. E. O'Connor,United States Department of Agriculture,,,,,
73969956,2017,Hiroko Yoshida,Technical University of Denmark,Kongens Lyngby,,Denmark,55.7860512,12.5233698
73969956,2017,Marieke ten Hoeve,Technical University of Denmark,Kongens Lyngby,,Denmark,55.7860512,12.5233698
73969956,2017,Thomas H. Christensen,University of Copenhagen,København,,Denmark,55.6802303,12.5724096
73969956,2017,Sander Bruun,Technical University of Denmark,Kongens Lyngby,,Denmark,55.7860512,12.5233698
73969956,2017,Lars Stoumann Jensen,University of Copenhagen,København,,Denmark,55.6802303,12.5724096
73969956,2017,Charlotte Scheutz,University of Copenhagen,København,,Denmark,55.6802303,12.5724096
56991547,2017,Qianyu Zhao,National University of Singapore,Singapore,,Singapore,1.2966426,103.7763939
56991547,2017,Zhanlu Zhang,Renmin University of China,,Bei Jing Shi,China,39.9696062,116.3188145
37171586,2017,Kathleen A. Farley,San Diego State University,San Diego,California,United States,32.77641210000001,-117.0719191
37171586,2017,Leah L. Bremer,San Diego State University,San Diego,California,United States,32.77641210000001,-117.0719191
50434650,2017,L. Corbala-Robles,Ghent University,Gent,Vlaams Gewest,Belgium,51.0466584,3.7273733
50434650,2017,W.N.D. Sastafiana,Ghent University,Gent,Vlaams Gewest,Belgium,51.0466584,3.7273733
50434650,2017,Veerle Van linden,Ghent University,Gent,Vlaams Gewest,Belgium,51.0466584,3.7273733
50434650,2017,Eveline I.P. Volcke,Luxembourg Institute of Science and Technology,Nommern,Mersch,Luxembourg,49.815273,6.129582999999999
50434650,2017,Thomas Schaubroeck,Ghent University,Gent,Vlaams Gewest,Belgium,51.0466584,3.7273733
61738623,2017,Sara Heimersson,Chalmers University of Technology,Göteborg,Västra Götalands län,Sweden,57.6898004,11.9741617
61738623,2017,Magdalena Svanström,Chalmers University of Technology,Göteborg,Västra Götalands län,Sweden,57.6898004,11.9741617
61738623,2017,Christel Cederberg,Chalmers University of Technology,Göteborg,Västra Götalands län,Sweden,57.6898004,11.9741617
61738623,2017,Gregory Peters,Chalmers University of Technology,Göteborg,Västra Götalands län,Sweden,57.6898004,11.9741617
3367471,2017,Trakarn Prapaspongsa,Mahidol University,Tambon Salaya,Chang Wat Nakhon Pathom,Thailand,13.7943814,100.3256274
3367471,2017,Charongpun Musikavong,Prince of Songkla University,Tambon Kho Hong,Chang Wat Songkhla,Thailand,7.006945099999999,100.5007147
3367471,2017,Shabbir H. Gheewala,Joint Graduate School of Energy and Environment,,Bangkok,Thailand,13.6489333,100.493268
44696484,2017,Raymond L. Smith,Environmental Protection Agency,,,,,
44696484,2017,Gerardo J. Ruiz-Mercado,Environmental Protection Agency,,,,,
44696484,2017,David E. Meyer,Environmental Protection Agency,,,,,
44696484,2017,Michael A. Gonzalez,Environmental Protection Agency,,,,,
44696484,2017,John Abraham,Environmental Protection Agency,,,,,
44696484,2017,William M. Barrett,Environmental Protection Agency,,,,,
44696484,2017,Paul M. Randall,Environmental Protection Agency,,,,,
97956886,2017,Michele De Rosa,Aarhus University,Aarhus,,Denmark,56.1659924,10.2000645
22109431,2017,Kathryn M. Miller,National Park Service,,,,,
22109431,2017,Brian J. McGill,University of Maine,Orono,Maine,United States,44.90198849999999,-68.6680916
73729072,2017,Rodrigo Sudatti Delevatti,Universidade Federal de Santa Catarina,,State of Santa Catarina,Brazil,-26.928572,-49.36531489999999
73729072,2017,Felipe Barreto Schuch,Universidade Federal do Rio Grande do Sul,,State of Rio Grande do Sul,Brazil,-30.0339726,-51.2190483
73729072,2017,Ana Carolina Kanitz,Universidade La Salle,Philadelphia,Pennsylvania,United States,40.0390398,-75.1558184
73729072,2017,Cristine Lima Alberton,Universidade Federal do Rio Grande do Sul,,State of Rio Grande do Sul,Brazil,-30.0339726,-51.2190483
73729072,2017,Elisa Corrêa Marson,Universidade Federal de Uberlândia,Uberlândia,State of Minas Gerais,Brazil,-18.9127749,-48.2755227
73729072,2017,Salime Chedid Lisboa,Universidade Federal de Pelotas,,Rio Grande do Sul,Brazil,-31.7817816,-52.32307309999999
73729072,2017,Carolina Dertzbocher Feil Pinho,Universidade Federal do Rio Grande do Sul,,State of Rio Grande do Sul,Brazil,-30.0339726,-51.2190483
73729072,2017,Luciana Peruchena Bregagnol,Universidade Federal do Rio Grande do Sul,,State of Rio Grande do Sul,Brazil,-30.0339726,-51.2190483
73729072,2017,Maríndia Teixeira Becker,Universidade Federal do Rio Grande do Sul,,State of Rio Grande do Sul,Brazil,-30.0339726,-51.2190483
73729072,2017,Luiz Fernando Martins Kruel,Universidade Federal do Rio Grande do Sul,,State of Rio Grande do Sul,Brazil,-30.0339726,-51.2190483
89051999,2017,Sarah M. Jordaan,Johns Hopkins University,Baltimore,Maryland,United States,39.3299013,-76.6205177
89051999,2017,Garvin Heath,Strategic Analysis (United States),Abbeyville,Colorado,United States,38.7945952,-106.5348379
89051999,2017,Jordan Macknick,Strategic Analysis (United States),Abbeyville,Colorado,United States,38.7945952,-106.5348379
89051999,2017,Brian Bush,Strategic Analysis (United States),Abbeyville,Colorado,United States,38.7945952,-106.5348379
89051999,2017,Ehsan Mohammadi,University of Calgary,Calgary,Alberta,Canada,51.0783739,-114.134666
89051999,2017,D. Ben-Horin,Strategic Analysis (United States),Abbeyville,Colorado,United States,38.7945952,-106.5348379
89051999,2017,Victoria Urrea,Strategic Analysis (United States),Abbeyville,Colorado,United States,38.7945952,-106.5348379
89051999,2017,Danielle J. Marceau,University of Calgary,Calgary,Alberta,Canada,51.0783739,-114.134666
98283508,2017,Seth M. White,Columbia River Inter-Tribal Fish Commission,Portland,Oregon,United States,45.53093699999999,-122.65816
98283508,2017,Casey Justice,Columbia River Inter-Tribal Fish Commission,Portland,Oregon,United States,45.53093699999999,-122.65816
98283508,2017,Denise A. Kelsey,Columbia River Inter-Tribal Fish Commission,Portland,Oregon,United States,45.53093699999999,-122.65816
98283508,2017,Dale A. McCullough,Columbia River Inter-Tribal Fish Commission,Portland,Oregon,United States,45.53093699999999,-122.65816
98283508,2017,Tyanna Smith,Portland State University,Portland,Oregon,United States,45.5111153,-122.6833385
89303652,2017,Marie‐Odile P. Fortier,SUNY College of Environmental Science and Forestry,Syracuse,New York,United States,43.0345102,-76.1366182
89303652,2017,Griffin W. Roberts,State University of New York,,,,,
89303652,2017,Susan M. Stagg‐Williams,York University,York,England,United Kingdom,53.9614205,-1.0739108
89303652,2017,Belinda Sturm,University of Kansas,Lawrence,Kansas,United States,38.9543439,-95.2557961
14332530,2017,Paul Kenrick,Natural History Museum,,,,,
83531789,2017,John Aloysius Zinda,Cornell University,Ithaca,New York,United States,42.4534492,-76.4735027
83531789,2017,Zhiming Zhang,Yunnan University,Kun Ming Shi,Yun Nan Sheng,China,25.0532915,102.7034758
