PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude,Continent
88134020,2016,Gintė Jonkutė,Kaunas University of Technology,Kaunas,Kauno apskritis,Lithuania,54.8988968,23.9126701,Europe
88134020,2016,Jurgis Kazimieras Staniškis,Kaunas University of Technology,Kaunas,Kauno apskritis,Lithuania,54.8988968,23.9126701,Europe
35828944,2017,Gizem Sultan Kaman,Eskişehir Osmangazi University,,Eskişehir,Türkiye,39.75168559999999,30.49002179999999,Asia
94177049,2018,Liang Wang,Dalian University of Technology,Da Lian Shi,Liao Ning Sheng,China,38.880381,121.529021,Asia
94177049,2018,Li Ma,Dalian University of Technology,Da Lian Shi,Liao Ning Sheng,China,38.880381,121.529021,Asia
94177049,2018,Kuo‐Jui Wu,Dalian University of Technology,Da Lian Shi,Liao Ning Sheng,China,38.880381,121.529021,Asia
94177049,2018,Anthony S.F. Chiu,De La Salle University,Manila,Metro Manila,Philippines,14.5647642,120.9931652,Asia
94177049,2018,Sarayut Nathaphan,Mahidol University,Tambon Salaya,Chang Wat Nakhon Pathom,Thailand,13.7943814,100.3256274,Asia
56358615,2018,Ming‐Lang Tseng,Asia University,,,,,,
56358615,2018,Qinghua Zhu,Shanghai Jiao Tong University,,Shang Hai Shi,China,31.0252201,121.4337784,Asia
56358615,2018,Joseph Sarkis,Worcester Polytechnic Institute,Worcester,Massachusetts,United States,42.2746179,-71.8068416,North America
56358615,2018,Anthony S.F. Chiu,De La Salle University,Manila,Metro Manila,Philippines,14.5647642,120.9931652,Asia
4387030,2018,Kwok Shing Richard 黃國成 Wong,Education University of Hong Kong,,New Territories,Hong Kong,22.4670285,114.1936333,Asia
12384740,2019,Juniatí Gunawan,Universitas Trisakti,,Daerah Khusus Ibukota Jakarta,Indonesia,-6.167812199999999,106.7901209,Asia
12384740,2019,Paulina Permatasari,Parahyangan Catholic University,,Jawa Barat,Indonesia,-6.8751984,107.604924,Asia
12384740,2019,Carol Tilt,University of South Australia,,South Australia,Australia,-30.0002315,136.2091547,Oceania
26664804,2019,Isabel B. Franco,United Nations University Institute for the Advanced Study of Sustainability,Shibuya,Tokyo,Japan,35.6624735,139.7083881,Asia
26664804,2019,Lance R. Newey,University of Queensland,Saint Lucia,Queensland,Australia,-27.4976696,153.0128661,Oceania
34533920,2019,Patrick Schröder,Center for International Forestry Research,,,,,,
85789555,2019,Innocent Okwuosa,University of Hertfordshire,Welwyn,England,United Kingdom,51.80978229999999,-0.2376744,Europe
85789555,2019,Sharif Khalid,University of Sheffield,Sheffield,England,United Kingdom,53.3813502,-1.4884229,Europe
84176418,2019,Martini Martini,Universitas Budi Luhur,,,,,,
84176418,2019,Windarto Windarto,Universitas Budi Luhur,,,,,,
23324300,2020,Lisa S. McNeill,,,,,,,
31363894,2020,Mark D. Whitaker,SUNY Korea,,Incheon,South Korea,37.3766941,126.6671667,Asia
31363894,2020,Pravin Pawar,SUNY Korea,,Incheon,South Korea,37.3766941,126.6671667,Asia
18743954,2020,Lisa S. McNeill,,,,,,,
79868279,2020,Daniela Rybárová,University of Economics in Bratislava,Bratislava,Bratislavský kraj,Slovakia,48.1256896,17.1333914,Europe
21272761,2020,Alfajri Alfajri,Universitas Abdurrab,,Riau,Indonesia,0.5348750000000001,101.4184333,Asia
21272761,2020,Luerdi Luerdi,Universitas Abdurrab,,Riau,Indonesia,0.5348750000000001,101.4184333,Asia
96558017,2020,Natalia G. Vovchenko,,,,,,,
96558017,2020,Tatiana V. Epifanova,,,,,,,
96558017,2020,Elena Zolochevskaya,,,,,,,
96558017,2020,Svetlana A. Litvinova,,,,,,,
