PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude,Continent
37523661,2017,Barbara Neumann,Kiel University,Kiel,Schleswig-Holstein,Germany,54.343467,10.1150248,Europe
37523661,2017,Konrad Ott,Kiel University,Kiel,Schleswig-Holstein,Germany,54.343467,10.1150248,Europe
37523661,2017,Richard Kenchington,University of Wollongong,Wollongong,New South Wales,Australia,-34.4248336,150.8931132,Oceania
81255985,2017,Mara Ntona,University of Strathclyde,,,,,,
81255985,2017,Elisa Morgera,University of Strathclyde,,,,,,
51714330,2017,Roland Cormier,Helmholtz-Zentrum Hereon,Geesthacht,Schleswig-Holstein,Germany,53.4104458,10.4224007,Europe
51714330,2017,Michael Elliott,University of Hull,Kingston upon Hull,England,United Kingdom,53.7723667,-0.3668222,Europe
55809147,2017,Joel Atkinson,Hankuk University of Foreign Studies,,Seoul,South Korea,37.5974453,127.0588002,Asia
55809147,2017,Luisa Cools,RMIT University,Melbourne,Victoria,Australia,-37.8083331,144.9639386,Oceania
94873571,2017,Elisa Morgera,University of Strathclyde,,,,,,
94873571,2017,Mara Ntona,University of Strathclyde,,,,,,
68577684,2018,Laura Recuero Virto,Muséum national d'Histoire naturelle,Paris,Île-de-France,France,48.8417009,2.3560169,Europe
12550866,2018,Zhu Mao,Fujian Institute of Oceanography,Fu Zhou Shi,Fujian,China,26.0998199,119.2965899,Asia
12550866,2018,Xiongzhi Xue,Xiamen University,Xia Men Shi,Fu Jian Sheng,China,24.4373484,118.097855,Asia
12550866,2018,Tian Hai-yan,Fujian Institute of Oceanography,Fu Zhou Shi,Fujian,China,26.0998199,119.2965899,Asia
12550866,2018,Adi Uchenna Michael,Xiamen University,Xia Men Shi,Fu Jian Sheng,China,24.4373484,118.097855,Asia
57208379,2019,Daniel A. Friess,,,,,,,
57208379,2019,Toe Aung,,,,,,,
57208379,2019,Mark Huxham,,,,,,,
57208379,2019,Catherine E. Lovelock,,,,,,,
57208379,2019,Nibedita Mukherjee,,,,,,,
57208379,2019,Sigit D. Sasmito,,,,,,,
83521104,2019,Erika Techera,University of Western Australia,Crawley,Western Australia,Australia,-31.9789061,115.8180721,Oceania
83521104,2019,Krishnee Appadoo,University of Mauritius,Moka,Moka,Mauritius,-20.2349416,57.4962994,Africa
63373576,2019,Elisa Palomino,University of the Arts London,London,England,United Kingdom,51.5177884,-0.1163673,Europe
67607598,2020,Osman Gülseven,Skyline University College,Sharjah,Sharjah,United Arab Emirates,25.2904004,55.4677254,Asia
96703984,2020,Chris Armstrong,University of Southampton,Southampton,England,United Kingdom,50.935742,-1.3966381,Europe
84661057,2020,Maarten Bavinck,,,,,,,
39228576,2021,Marcus Haward,Institute for Marine and Antarctic Studies,Battery Point,Tasmania,Australia,-42.8861888,147.3353521,Oceania
39228576,2021,Bianca Haas,Centre for Marine Socioecology,,,,,,
19554771,2021,T. V. Pisarenko,,,,,,,
19554771,2021,Т. К. Кваша,,,,,,,
19554771,2021,O. F. Paladchenko,,,,,,,
19554771,2021,I.V. Molchanova,,,,,,,
31306338,2021,Lucy Hunt,,,,,,,
26127331,2021,Freedom-Kai Phillips,University of Cambridge,Cambridge,England,United Kingdom,52.205356,0.113168,Europe
26127331,2021,Alexandra R. Harrington,Albany Law School,Albany,New York,United States,42.65134690000001,-73.77703199999999,North America
10266053,2021,Eric J. Raes,Health Sciences and Nutrition,,,,,,
32610897,2021,Benrong Peng,Xiamen University,Xia Men Shi,Fu Jian Sheng,China,24.4373484,118.097855,Asia
32610897,2021,Qinhua Fang,Xiamen University,Xia Men Shi,Fu Jian Sheng,China,24.4373484,118.097855,Asia
97832683,2021,Md. Ashrafuzzaman,Universidade Nova de Lisboa,Lisbon,Lisbon,Portugal,38.7222524,-9.1393366,Europe
97832683,2021,Gustavo Luís Ferri Furini,University of Lisbon,Lisboa,Lisboa,Portugal,38.7526578,-9.158245,Europe
41670236,2021,Tony George Puthucherril,O. P. Jindal Global University,Sonipat,Haryana,India,28.9264157,77.0565769,Asia
43345638,2022,Poul Holm,,,,,,,
11348570,2022,Sali Jayne Bache,Monash University,Clayton,Victoria,Australia,-37.9142416,145.1346592,Oceania
11348570,2022,Aisha Reynolds,University of Tasmania,Hobart,Tasmania,Australia,-42.9041118,147.3247503,Oceania
76624335,2022,Ileana A. Callejas,"University of California, Los Angeles",Los Angeles,California,United States,34.0699182,-118.4438495,North America
76624335,2022,Katie E. Osborn,"University of California, Los Angeles",Los Angeles,California,United States,34.0699182,-118.4438495,North America
76624335,2022,Christine Lee,Jet Propulsion Laboratory,La Cañada Flintridge,California,United States,34.2013081,-118.1713944,North America
76624335,2022,Deepak R. Mishra,University of Georgia,Athens,Georgia,United States,33.9423394,-83.37242420000001,North America
76624335,2022,Nicole Auil Gomez,Belize Zoo,La Democracia,Belize District,Belize,17.3511504,-88.55235809999999,North America
76624335,2022,Abel Carrias,University of Belize,Belmopan,Cayo District,Belize,17.243049,-88.7605919,North America
76624335,2022,Emil Cherrington,University of Alabama in Huntsville,Huntsville,Alabama,United States,34.7251606,-86.6404712,North America
76624335,2022,Robert Griffin,University of Alabama in Huntsville,Huntsville,Alabama,United States,34.7251606,-86.6404712,North America
76624335,2022,Andria Rosado,Central America Health Sciences University,Ladyville,Belize District,Belize,17.5842002,-88.3538203,North America
76624335,2022,Samir Rosado,Central America Health Sciences University,Ladyville,Belize District,Belize,17.5842002,-88.3538203,North America
76624335,2022,Jennifer A. Jay,"University of California, Los Angeles",Los Angeles,California,United States,34.0699182,-118.4438495,North America
32055373,2022,Rasma Tretjakova,Rezekne Academy of Technologies,Rēzekne,,Latvia,56.5127961,27.3328027,Europe
32055373,2022,Hans-Petter Halvorsen,University of South-Eastern Norway,Notodden,Telemark,Norway,59.568633,9.2788923,Europe
32055373,2022,Håkon Viumdal,University of South-Eastern Norway,Notodden,Telemark,Norway,59.568633,9.2788923,Europe
32055373,2022,Saba Mylvaganam,University of South-Eastern Norway,Notodden,Telemark,Norway,59.568633,9.2788923,Europe
32055373,2022,Josef Timmerberg,Jade University of Applied Sciences,,,,,,
428962,2022,Muhammad Natsir Kholis,Universitas Muara Bungo,,Jambi,Indonesia,-1.5062563,102.1200757,Asia
428962,2022,Edwarsyah Edwarsyah,Universitas Teuku Umar,,Aceh,Indonesia,4.1442946,96.2034256,Asia
27183956,2022,Roland Cormier,Helmholtz-Zentrum Hereon,Geesthacht,Schleswig-Holstein,Germany,53.4104458,10.4224007,Europe
27183956,2022,Michael Elliott,University of Hull,Kingston upon Hull,England,United Kingdom,53.7723667,-0.3668222,Europe
27183956,2022,Ángel Borja,King Abdulaziz University,,,,,,
19267890,2022,Eric J. Raes,Health Sciences and Nutrition,,,,,,
27581959,2022,Louis Anto Nirmal,SRM Institute of Science and Technology,Kattankulathur,Tamil Nadu,India,12.823033,80.044416,Asia
27581959,2022,Samuel Jacob,SRM Institute of Science and Technology,Kattankulathur,Tamil Nadu,India,12.823033,80.044416,Asia
9672225,2022,Sergio Rossi,University of Salento,Lecce,Puglia,Italy,40.34956,18.1672671,Europe
934652,2022,Sinan Küfeoğlu,University of Cambridge,Cambridge,England,United Kingdom,52.205356,0.113168,Europe
93132421,2022,Md. Ashrafuzzaman,University of Chittagong,Chittagong,Chittagong Division,Bangladesh,22.4715718,91.7876793,Asia
93132421,2022,Gustavo Luís Ferri Furini,University of Lisbon,Lisboa,Lisboa,Portugal,38.7526578,-9.158245,Europe
22587063,2022,Tony George Puthucherril,O. P. Jindal Global University,Sonipat,Haryana,India,28.9264157,77.0565769,Asia
54392750,2022,Freedom-Kai Phillips,University of Cambridge,Cambridge,England,United Kingdom,52.205356,0.113168,Europe
54392750,2022,Alexandra R. Harrington,Albany Law School,Albany,New York,United States,42.65134690000001,-73.77703199999999,North America
96674603,2023,Bianca Haas,University of Wollongong,Wollongong,New South Wales,Australia,-34.4248336,150.8931132,Oceania
77115723,2023,Xue Yongjie,Shandong Women’s University,Ji Nan Shi,Shan Dong Sheng,China,36.63420199999999,117.010668,Asia
77115723,2023,Jinling Yan,Hebei Agricultural University,Bao Ding Shi,He Bei Sheng,China,38.850606,115.483441,Asia
77115723,2023,Dahai Li,Ocean University of China,Qing Dao Shi,Shan Dong Sheng,China,36.061255,120.335301,Asia
77115723,2023,Haijing Zheng,Hokkaido University,Sapporo,Hokkaido,Japan,43.0779575,141.340013,Asia
42955321,2023,Naveen Kumar Arora,Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,India,26.7633778,80.92578519999999,Asia
42955321,2023,Isha Mishra,University of Manchester,Manchester,England,United Kingdom,53.4656853,-2.232706,Europe
3036998,2023,Chia-Hsiang Chen,,,,,,,
3036998,2023,Kuo-Wei Yen,,,,,,,
40920243,2023,Alva Linner,Lund University,Lund,Skåne län,Sweden,55.7119483,13.203493,Europe
40920243,2023,Ayyoob Sharifi,Hiroshima University,Higashihiroshima,Hiroshima,Japan,34.3991292,132.7140406,Asia
40920243,2023,Dahlia Simangan,Hiroshima University,Higashihiroshima,Hiroshima,Japan,34.3991292,132.7140406,Asia
40920243,2023,Letícia Sarmento dos Muchangos,The University of Tokyo,Bunkyo City,Tokyo,Japan,35.7138159,139.7627345,Asia
40920243,2023,Remi Chandran,Remote Sensing Technology Center of Japan,Nagawa,Nagano,Japan,36.204824,138.252924,Asia
51593348,2023,Imran Gunawan Tambunan,Universitas Trisakti,,Daerah Khusus Ibukota Jakarta,Indonesia,-6.167812199999999,106.7901209,Asia
51593348,2023,Eleonora Sofilda,Universitas Trisakti,,Daerah Khusus Ibukota Jakarta,Indonesia,-6.167812199999999,106.7901209,Asia
70065278,2023,Aprilia,Siliwangi University,,Jawa Barat,Indonesia,-7.349914699999998,108.2227775,Asia
95508090,2023,Heli Aaltonen,Norwegian University of Science and Technology,Trondheim,Trøndelag,Norway,63.4194872,10.4019939,Europe
73518392,2023,Halend Putra,Hasanuddin University,,,,,,
73518392,2023,Kelvin Fitrah Prawira Dupuy,Hasanuddin University,,,,,,
2789210,2023,Aam Slamet Rusydiana,Airlangga University,,East Java,Indonesia,-7.269580499999999,112.7825799,Asia
2789210,2023,Raditya Sukmana,Airlangga University,,East Java,Indonesia,-7.269580499999999,112.7825799,Asia
17919159,2023,Saurandri Putri Cahyati,Universitas Muhammadiyah Malang,Malang,East Java,Indonesia,-7.9666204,112.6326321,Asia
17919159,2023,Shifa Melinda Naf’an,Universitas Muhammadiyah Malang,Malang,East Java,Indonesia,-7.9666204,112.6326321,Asia
17919159,2023,Nanda Iris Savana,Universitas Muhammadiyah Malang,Malang,East Java,Indonesia,-7.9666204,112.6326321,Asia
17919159,2023,Yusin Noviarin,Universitas Muhammadiyah Malang,Malang,East Java,Indonesia,-7.9666204,112.6326321,Asia
19407856,2024,Mohamad Zreık,,,,,,,
62891666,2024,Sivaji Patra,Ramakrishna Mission Vivekananda Educational and Research Institute,Howrah,West Bengal,India,22.630116,88.3536725,Asia
62891666,2024,Buddhadeb Dutta,Ministry of Earth Sciences,,,,,,
62891666,2024,Abas Basir,Government of India,Ponnur,Andhra Pradesh,India,20.593684,78.96288,Asia
62891666,2024,M. V. Ramanamurthy,University of Calcutta,Kolkata,West Bengal,India,22.5750862,88.3629188,Asia
92973517,2024,Ferhan Oral,,,,,,,
66387615,2024,Angela Cimini,Sapienza University of Rome,Roma,Lazio,Italy,41.9037626,12.5144384,Europe
66387615,2024,Paolo De Fioravante,Istituto Superiore per la Protezione e la Ricerca Ambientale,,,,,,
66387615,2024,Ines Marinosci,Istituto Superiore per la Protezione e la Ricerca Ambientale,,,,,,
66387615,2024,Luca Congedo,Istituto Superiore per la Protezione e la Ricerca Ambientale,,,,,,
66387615,2024,Piergiorgio Cipriano,University of Padua,Padova,Veneto,Italy,45.4067393,11.8771509,Europe
66387615,2024,L Dazzi,Sapienza University of Rome,Roma,Lazio,Italy,41.9037626,12.5144384,Europe
66387615,2024,Marco Marchetti,Università degli Studi della Tuscia,Viterbo,Lazio,Italy,42.4132922,12.1141704,Europe
66387615,2024,Giuseppe Scarascia Mugnozza,Istituto Superiore per la Protezione e la Ricerca Ambientale,,,,,,
3035744,2024,Arti Saxena,Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,India,28.4502646,77.2854983,Asia
3035744,2024,Rajeev Kumar,Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,India,28.4502646,77.2854983,Asia
3035744,2024,Vijay Kumar,Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,India,28.4502646,77.2854983,Asia
3035744,2024,Jyoti Chawla,Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,India,28.4502646,77.2854983,Asia
12983836,2024,Huadong Guo,,,,,,,
35079954,2024,Marjo Vierros,Great Britain Sasakawa Foundation,London,England,United Kingdom,51.5206792,-0.1162502,Europe
35079954,2024,Gemma Nelson,University of Edinburgh,Edinburgh,Scotland,United Kingdom,55.9445158,-3.1892413,Europe
35079954,2024,Mariana Caldeira,University of Edinburgh,Edinburgh,Scotland,United Kingdom,55.9445158,-3.1892413,Europe
35079954,2024,Andrei Polejack,Great Britain Sasakawa Foundation,London,England,United Kingdom,51.5206792,-0.1162502,Europe
35079954,2024,Júlia Schütz Veiga,University of Edinburgh,Edinburgh,Scotland,United Kingdom,55.9445158,-3.1892413,Europe
35079954,2024,Alumita Talei Sekinairai,Great Britain Sasakawa Foundation,London,England,United Kingdom,51.5206792,-0.1162502,Europe
55490966,2024,Ahmad Marzuqi,University of Indonesia,,Jawa Barat,Indonesia,-6.3606229,106.8272343,Asia
55490966,2024,Rezzy Eko Caraka,National Research and Innovation Agency,,,,,,
55490966,2024,Prana Ugiana Gio,Telkom University,,Jawa Barat,Indonesia,-6.9733626,107.630346,Asia
55490966,2024,Rung-Ching Chen,Chaoyang University of Technology,,Taichung City,Taiwan,24.0685714,120.7147579,Asia
55490966,2024,Maengseok Noh,University of Indonesia,,Jawa Barat,Indonesia,-6.3606229,106.8272343,Asia
55490966,2024,Bens Pardamean,Ulsan National Institute of Science and Technology,,Ulsan,South Korea,35.5734176,129.189629,Asia
55394933,2024,Natália Viana Diniz,,,,,,,
55394933,2024,Darliane Ribeiro Cunha,,,,,,,
55394933,2024,Marcelo de Santana Porte,,,,,,,
55394933,2024,Newton Narciso Pereira,,,,,,,
55394933,2024,Clóvis Bôsco Mendonça Oliveira,,,,,,,
29795432,2024,Huadong Guo,,,,,,,
51416443,2024,Andreas Pramudianto,,,,,,,
81448794,2024,Randolfo Rocha Azevedo,,,,,,,
81448794,2024,Darliane Ribeiro Cunha,,,,,,,
81448794,2024,Clóvis Bôsco Mendonça Oliveira,,,,,,,
81448794,2024,Newton Narciso Pereira,,,,,,,
