PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
68936974,2018,M. Shirin,University of Warwick,Coventry,England,United Kingdom,52.3792525,-1.5614704
68936974,2018,Benjamin Brown,University of Edinburgh,Edinburgh,Scotland,United Kingdom,55.9445158,-3.1892413
68936974,2018,Kanchana N. Ruwanpura,University of Edinburgh,Edinburgh,Scotland,United Kingdom,55.9445158,-3.1892413
60923810,2018,Doreen S. Boyd,University of Nottingham,Nottingham,England,United Kingdom,52.9387922,-1.1981057
60923810,2018,Bethany Jackson,University of Nottingham,Nottingham,England,United Kingdom,52.9387922,-1.1981057
60923810,2018,Joanna M. Wardlaw,University of Nottingham,Nottingham,England,United Kingdom,52.9387922,-1.1981057
60923810,2018,Giles M. Foody,University of Nottingham,Nottingham,England,United Kingdom,52.9387922,-1.1981057
60923810,2018,Stuart Marsh,University of Nottingham,Nottingham,England,United Kingdom,52.9387922,-1.1981057
60923810,2018,Kevin Bales,University of Nottingham,Nottingham,England,United Kingdom,52.9387922,-1.1981057
85845053,2018,Ling Jiang,Hunan Agricultural University,Chang Sha Shi,Hu Nan Sheng,China,28.180967,113.084828
85845053,2018,Donghao Li,Education Department of Hunan Province,Chang Sha Shi,Hu Nan Sheng,China,28.2064492,113.0200803
85845053,2018,Lu Jin,Hunan Agricultural University,Chang Sha Shi,Hu Nan Sheng,China,28.180967,113.084828
85845053,2018,Ying Ruan,Education Department of Hunan Province,Chang Sha Shi,Hu Nan Sheng,China,28.2064492,113.0200803
85845053,2018,Wen‐Hui Shen,Education Department of Hunan Province,Chang Sha Shi,Hu Nan Sheng,China,28.2064492,113.0200803
85845053,2018,Chunlin Liu,Hunan Agricultural University,Chang Sha Shi,Hu Nan Sheng,China,28.180967,113.084828
5327017,2019,Dietmar Stoian,,,,,,
5327017,2019,I. Monterroso,,,,,,
5327017,2019,Dean Current,,,,,,
60725528,2019,Ana Cristina Ribeiro-Duthie,University of Tasmania,Hobart,Tasmania,Australia,-42.9041118,147.3247503
95943960,2019,Christoph Scherrer,University of Kassel,Kassel,Hessen,Germany,51.3218131,9.5059404
64171175,2020,Alex Ansong,Ghana Institute of Management and Public Administration,Accra,Greater Accra Region,Ghana,5.6360544,-0.2006373
40182362,2021,Halliki Kreinin,Vienna University of Economics and Business,Wien,Wien,Austria,48.21342749999999,16.4084666
40182362,2021,Ernest Aigner,Vienna University of Economics and Business,Wien,Wien,Austria,48.21342749999999,16.4084666
32610661,2021,Rosley Anholon,Universidade Estadual de Campinas (UNICAMP),,São Paulo,Brazil,-22.8184393,-47.0647206
32610661,2021,Izabela Simon Rampasso,Universidade Federal Fluminense,,,,,
32610661,2021,Vitor William Batista Martins,Universidade Estadual de Campinas (UNICAMP),,São Paulo,Brazil,-22.8184393,-47.0647206
32610661,2021,Milena Pavan Serafim,Universidade Estadual de Campinas (UNICAMP),,São Paulo,Brazil,-22.8184393,-47.0647206
32610661,2021,Walter Leal Filho,Universidade do Estado do Pará,,Pará,Brazil,-1.431704,-48.4879798
32610661,2021,Osvaldo Luíz Gonçalves Quelhas,Universidade Estadual de Campinas (UNICAMP),,São Paulo,Brazil,-22.8184393,-47.0647206
4754928,2021,Інна Макаренко,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
4754928,2021,Alex Plastun,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
4754928,2021,Yuriy Petrushenko,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
4754928,2021,Анна Воронцова,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
95905171,2021,Fehmina Khalique,Sharda University,,,,,
95905171,2021,Poornima Madan,Sharda University,,,,,
91157105,2021,Lars Carlsen,,,,,,
4089726,2021,R R Arriani,University of Indonesia,,Jawa Barat,Indonesia,-6.3606229,106.8272343
4089726,2021,Chotib,University of Indonesia,,Jawa Barat,Indonesia,-6.3606229,106.8272343
95587466,2021,Fabian Sebastian Achana,University of Cape Coast,Cape Coast,Central Region,Ghana,5.1154645,-1.2908544
95587466,2021,Augustine Tanle,University of Cape Coast,Cape Coast,Central Region,Ghana,5.1154645,-1.2908544
16050552,2021,Mikovhe Maphiri,University of Cape Town,Cape Town,Western Cape,South Africa,-33.957652,18.4611991
16050552,2021,Matsietso Agnes Matasane,University of Pretoria,Pretoria,Gauteng,South Africa,-25.7545492,28.2314476
16050552,2021,Godknows Mudimu,University of Cape Town,Cape Town,Western Cape,South Africa,-33.957652,18.4611991
43254186,2021,Philipp Aerni,,,,,,
55058152,2021,Peg Thomas,WilderShares (United States),Encinitas,California,United States,33.0383717,-117.2386297
55058152,2021,Nancy J. Jacobs,WilderShares (United States),Encinitas,California,United States,33.0383717,-117.2386297
27418640,2021,Dmitry Ivanov,Moscow State Institute of International Relations,Moskva,Moskva,Russia,55.6728244,37.484662
27418640,2021,M. M. Levina,Moscow State Institute of International Relations,Moskva,Moskva,Russia,55.6728244,37.484662
92848881,2022,Аrtem Аrtyukhov,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
92848881,2022,Iurii Volk,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
92848881,2022,Tetiana Anatoliivna Vasylieva,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
96641102,2022,Sandra Bilek-Steindl,Austrian Institute of Economic Research,Wien,Wien,Austria,48.18167529999999,16.3899222
96641102,2022,Thomas Url,Austrian Institute of Economic Research,Wien,Wien,Austria,48.18167529999999,16.3899222
73820868,2022,Sinan Küfeoğlu,University of Cambridge,Cambridge,England,United Kingdom,52.205356,0.113168
18466943,2022,Holger Schlör,Forschungszentrum Jülich,Jülich,North Rhine-Westphalia,Germany,50.9224226,6.3639119
18466943,2022,Stefanie Schubert,SRH Hochschule Heidelberg,Heidelberg,Baden-Württemberg,Germany,49.413892,8.651052
96083364,2022,Sandra Bilek-Steindl,Austrian Institute of Economic Research,Wien,Wien,Austria,48.18167529999999,16.3899222
96083364,2022,Claudia Kettner,Austrian Institute of Economic Research,Wien,Wien,Austria,48.18167529999999,16.3899222
96083364,2022,Christine Mayrhuber,Austrian Institute of Economic Research,Wien,Wien,Austria,48.18167529999999,16.3899222
22291043,2022,Ana Clara Borrego,Polytechnic Institute of Portalegre,Portalegre,Portalegre,Portugal,39.2913421,-7.433133000000001
22291043,2022,Francisco Carreira,Polytechnic Institute of Porto,Porto,Porto,Portugal,41.1791919,-8.5977523
22291043,2022,Pedro Pardal,Polytechnic Institute of Cávado and Ave,Barcelos,Braga,Portugal,41.53699719999999,-8.627731
22291043,2022,Rute Abreu,Instituto Politecnico de Setubal,Setúbal,Setúbal,Portugal,38.522082,-8.838784
56252710,2022,Kester Onor,Covenant University,Ota,Ogun State,Nigeria,6.672644699999999,3.161213
56252710,2022,Lawrence U. Okoye,Covenant University,Ota,Ogun State,Nigeria,6.672644699999999,3.161213
56252710,2022,M. M. Duruji,Covenant University,Ota,Ogun State,Nigeria,6.672644699999999,3.161213
92572379,2022,Salisu Ojonemi Paul,University of Nigeria,Nsukka,Enugu,Nigeria,6.866601999999999,7.411526299999998
92572379,2022,Victor Alewo Adoji,University of Nigeria,Nsukka,Enugu,Nigeria,6.866601999999999,7.411526299999998
95895431,2022,Biswajit Paul,University of Gour Banga,Malda,West Bengal,India,24.9837972,88.13813789999999
49120651,2022,Xuebing Cao,Keele University,Keele,England,United Kingdom,53.0028422,-2.2723725
3043170,2023,Jiawei Liu,Vrije Universiteit Amsterdam,Amsterdam,Noord-Holland,Netherlands,52.3337568,4.8657199
3043170,2023,Li Ji,Nanjing Normal University,Nan Jing Shi,Jiang Su Sheng,China,32.054943,118.764947
3043170,2023,Yanan Sun,Nantong University,Nan Tong Shi,Jiang Su Sheng,China,32.006493,120.886132
3043170,2023,Yung‐ho Chiu,Soochow University,Su Zhou Shi,Jiang Su Sheng,China,31.303257,120.651928
3043170,2023,Haoxiang Zhao,Jiangxi Agricultural University,Nan Chang Shi,Jiang Xi Sheng,China,28.762772,115.832826
46096168,2023,Weihua Liao,Guangxi University,Nan Ning Shi,Guang Xi Zhuang Zu Zi Zhi Qu,China,22.814458,108.324213
46096168,2023,Qianwen Qu,Bank of China,,,,,
46096168,2023,Shiting Liang,Beijing Normal University,,Bei Jing Shi,China,39.9619537,116.3662615
46096168,2023,Weiguo Jiang,State Key Laboratory of Remote Sensing Science,,Bei Jing Shi,China,39.961434,116.365889
42943358,2023,Ramón Arilla,ESIC University,Barcelona,Catalunya,Spain,41.3961562,2.1459194
42943358,2023,Beata Gavurová,Technical University of Košice,,Košický kraj,Slovakia,48.7304815,21.2453223
42943358,2023,Martin Rigelský,University of Prešov,,Prešovský kraj,Slovakia,48.99129019999999,21.2329572
42943358,2023,Domingo Ribeiro Soriano,Universitat de València,València,Comunidad Valenciana,Spain,39.4795247,-0.3633786
71866806,2023,Bianca Ifeoma Chigbu,University of Fort Hare,Dikeni,Eastern Cape,South Africa,-32.7858616,26.84589
71866806,2023,Fhulu Nekhwevha,University of Fort Hare,Dikeni,Eastern Cape,South Africa,-32.7858616,26.84589
34254693,2023,Carissa Tibia Walidayni,Bandung Institute of Technology,,Jawa Barat,Indonesia,-6.890361700000001,107.6101912
34254693,2023,Dina Dellyana,Bandung Institute of Technology,,Jawa Barat,Indonesia,-6.890361700000001,107.6101912
34254693,2023,Evy Rachmawati Chaldun,Bandung Institute of Technology,,Jawa Barat,Indonesia,-6.890361700000001,107.6101912
25335806,2023,Sri Kurnia,Tanjungpura University,,Kalimantan Barat,Indonesia,-0.06065139999999999,109.3448882
25335806,2023,Muhammad Isa Alamsyahbana,Tanjungpura University,,Kalimantan Barat,Indonesia,-0.06065139999999999,109.3448882
25335806,2023,Rachmad Chartady,Tanjungpura University,,Kalimantan Barat,Indonesia,-0.06065139999999999,109.3448882
25335806,2023,Surya Violita Arifin,Tanjungpura University,,Kalimantan Barat,Indonesia,-0.06065139999999999,109.3448882
25335806,2023,Mohammad Iqbal Sesaria,Tanjungpura University,,Kalimantan Barat,Indonesia,-0.06065139999999999,109.3448882
15607250,2023,Alya Dwi Pratiwi,Universitas Muhammadiyah Jember,,Jawa Timur,Indonesia,-8.1751624,113.7176929
15607250,2023,Salahudin Salahudin,Universitas Muhammadiyah Jember,,Jawa Timur,Indonesia,-8.1751624,113.7176929
15607250,2023,Syamsulrizal Syamsulrizal,Universitas Muhammadiyah Jember,,Jawa Timur,Indonesia,-8.1751624,113.7176929
