PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
48088088,2016,Anastasia Stratigea,National Technical University of Athens,Zografou,,Greece,37.9777547,23.7837782
48088088,2016,Akrivi Leka,National Technical University of Athens,Zografou,,Greece,37.9777547,23.7837782
48088088,2016,Μαρία Παναγιωτοπούλου,National Technical University of Athens,Zografou,,Greece,37.9777547,23.7837782
2213261,2016,Agnis Stibe,Human Media,,,,,
2213261,2016,Kent Larson,Human Media,,,,,
35385926,2016,Bernard M. Kitheka,Clemson University,Clemson,South Carolina,United States,34.6749926,-82.8406184
35385926,2016,Elizabeth D. Baldwin,Clemson University,Clemson,South Carolina,United States,34.6749926,-82.8406184
35385926,2016,David L. White,Clemson University,Clemson,South Carolina,United States,34.6749926,-82.8406184
35385926,2016,Daniel N. Harding,Clemson University,Clemson,South Carolina,United States,34.6749926,-82.8406184
7561971,2016,Dimithri Devinda Jayagoda,,,,,,
99277959,2016,Haruna Musa,,,,,,
99277959,2016,Mohd Rusli Yacob,,,,,,
99277959,2016,Ahmad Makmom Abdullah,,,,,,
99277959,2016,Mohd Yusoff Ishak,,,,,,
53505250,2016,Van Heerden,,,,,,
53505250,2016,Jacobus Johannes,,,,,,
60782233,2016,Kyungsun Lee,,,,,,
60782233,2016,Catherine Park,,,,,,
98300028,2016,Mehri Ahmadi,,,,,,
98300028,2016,Ahmad Fariz Mohamed,,,,,,
96477567,2016,Mabel Tatiana Chaos Yeras,University of Camagüey,Camagüey,Camagüey,Cuba,21.3889485,-77.88204549999999
96477567,2016,Ingrid. Mancebo Socarrás,University of Camagüey,Camagüey,Camagüey,Cuba,21.3889485,-77.88204549999999
96477567,2016,Dianelis Falls Valdivieso,University of Camagüey,Camagüey,Camagüey,Cuba,21.3889485,-77.88204549999999
30809428,2017,Adriane MacDonald,University of Lethbridge,Lethbridge,Alberta,Canada,49.6956181,-112.8451067
30809428,2017,Amelia Clarke,University of Waterloo,Waterloo,Ontario,Canada,43.4722854,-80.5448576
30809428,2017,Lei Huang,SUNY Fredonia,Fredonia,New York,United States,42.4532365,-79.340746
30809428,2017,Mark Roseland,Simon Fraser University,Burnaby,British Columbia,Canada,49.27908859999999,-122.9201795
30809428,2017,Maria May Seitanidi,University of Kent,Canterbury,England,United Kingdom,51.2967395,1.0630042
61576782,2017,Patrizia Riganti,Nottingham Trent University,Nottingham,England,United Kingdom,52.9581371,-1.1542327
90472344,2017,Anastasia Stratigea,National Technical University of Athens,Zografou,,Greece,37.9777547,23.7837782
90472344,2017,Akrivi Leka,National Technical University of Athens,Zografou,,Greece,37.9777547,23.7837782
32667883,2017,Maryam Alfaraidy,,,,,,
32667883,2017,Raffaello Furlan,,,,,,
34846408,2017,Varvara Nikulina,Blekinge Institute of Technology,Karlskrona,Blekinge län,Sweden,56.182244,15.5908055
34846408,2017,Henrikke Baumann,Chalmers University of Technology,Göteborg,Västra Götalands län,Sweden,57.6898004,11.9741617
34846408,2017,Dávid Simon,Chalmers University of Technology,Göteborg,Västra Götalands län,Sweden,57.6898004,11.9741617
34846408,2017,Frances Sprei,Chalmers University of Technology,Göteborg,Västra Götalands län,Sweden,57.6898004,11.9741617
72999693,2017,Márcia Faria Westphal,Universidade de São Paulo,São Paulo,State of São Paulo,Brazil,-23.5557714,-46.6395571
72999693,2017,Maria Cristina Franceschini,Universidade de São Paulo,São Paulo,State of São Paulo,Brazil,-23.5557714,-46.6395571
72999693,2017,Andréia Faraoni Freitas Setti,Universidade de São Paulo,São Paulo,State of São Paulo,Brazil,-23.5557714,-46.6395571
55731481,2017,Vagner Figuerêdo de Santana,IBM Research - Brazil,,Mato Grosso,Brazil,-14.235004,-51.92528
55731481,2017,Vânia Paula de Almeida Néris,Universidade Federal de São Carlos,,São Paulo,Brazil,-21.9839942,-47.8815371
55731481,2017,Kamila Rios da Hora Rodrigues,Universidade Federal de São Carlos,,São Paulo,Brazil,-21.9839942,-47.8815371
55731481,2017,Renata Evangelista de Oliveira,Universidade Federal de São Carlos,,São Paulo,Brazil,-21.9839942,-47.8815371
55731481,2017,Newton Antonio Galindo,Universidade Federal de São Carlos,,São Paulo,Brazil,-21.9839942,-47.8815371
93461498,2017,Juana Figueroa Vélez,Manchester Metropolitan University,Manchester,England,United Kingdom,53.4703704,-2.2391476
93461498,2017,Valeria Ruiz Vargas,Manchester Metropolitan University,Manchester,England,United Kingdom,53.4703704,-2.2391476
93719668,2017,Evren Tok,Hamad bin Khalifa University,Ar Rayyan,Al Rayyan Municipality,Qatar,25.3141314,51.4323474
44931230,2017,DIOGO GALVÃO,University of Beira Interior,Covilhã,Castelo Branco,Portugal,40.277859,-7.508983
44931230,2017,Pedro Dinis Gaspar,University of Beira Interior,Covilhã,Castelo Branco,Portugal,40.277859,-7.508983
44931230,2017,Pedro Dinho da Silva,University of Beira Interior,Covilhã,Castelo Branco,Portugal,40.277859,-7.508983
