PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude,Continent
32852716,2016,Leonie Bellina,Leuphana University of Lüneburg,Lüneburg,Niedersachsen,Germany,53.22895390000001,10.4013612,Europe
25894747,2016,Kai-Hsin Hung,University of Ottawa,Ottawa,Ontario,Canada,45.42310639999999,-75.68313289999999,North America
49716610,2017,Ely José de Mattos,Pontifícia Universidade Católica do Rio Grande do Sul,,Rio Grande do Sul,Brazil,-30.0592974,-51.1729965,South America
49716610,2017,Izete Pengo Bagolin,Pontifícia Universidade Católica do Rio Grande do Sul,,Rio Grande do Sul,Brazil,-30.0592974,-51.1729965,South America
4998829,2018,Daniel Mason-D’Croz,International Food Policy Research Institute,,,,,,
4998829,2018,Timothy B. Sulser,Commonwealth Scientific and Industrial Research Organisation,,,,,,
4998829,2018,Keith Wiebe,International Food Policy Research Institute,,,,,,
4998829,2018,Mark W. Rosegrant,International Food Policy Research Institute,,,,,,
4998829,2018,Sarah K. Lowder,International Food Policy Research Institute,,,,,,
4998829,2018,Alejandro Nin‐Pratt,International Food Policy Research Institute,,,,,,
4998829,2018,Dirk Willenbockel,University of Sussex,Falmer,England,United Kingdom,50.8677123,-0.0875492,Europe
4998829,2018,Sherman Robinson,Institute of Development Studies,Falmer,England,United Kingdom,50.8659134,-0.0900488,Europe
4998829,2018,Tingju Zhu,International Food Policy Research Institute,,,,,,
4998829,2018,Nicola Cenacchi,International Food Policy Research Institute,,,,,,
4998829,2018,Shahnila Dunston,International Food Policy Research Institute,,,,,,
4998829,2018,Richard Robertson,International Food Policy Research Institute,,,,,,
25902254,2018,Camillus Abawiera Wongnaa,Kwame Nkrumah University of Science and Technology,Kumasi,Ashanti Region,Ghana,6.674503499999999,-1.5716114,Africa
25902254,2018,Dadson Awunyo‐Vitor,Kwame Nkrumah University of Science and Technology,Kumasi,Ashanti Region,Ghana,6.674503499999999,-1.5716114,Africa
19619220,2018,Wasiu Olayinka Fawole,National Open University of Nigeria,Lagos,Lagos,Nigeria,6.434235999999999,3.4095396,Africa
19619220,2018,Burhan Özkan,Akdeniz University,,Antalya,Türkiye,36.8958224,30.6502473,Asia
72265008,2019,Jennifer Blesh,University of Michigan–Ann Arbor,Ann Arbor,Michigan,United States,42.277145,-83.7382071,North America
72265008,2019,Lesli Hoey,A. Alfred Taubman Health Care Center,Ann Arbor,Michigan,United States,42.2836882,-83.72810559999999,North America
72265008,2019,Andrew D. Jones,University of Michigan–Ann Arbor,Ann Arbor,Michigan,United States,42.277145,-83.7382071,North America
72265008,2019,Harriet Friedmann,University of Michigan–Ann Arbor,Ann Arbor,Michigan,United States,42.277145,-83.7382071,North America
72265008,2019,Ivette Perfecto,University of Toronto,,,,,,
8485649,2019,Olutosin Ademola Otekunrin,Federal University of Agriculture,Abẹ́òkúta,Ìpínlẹ̀ Ògùn,Nigeria,7.2297439,3.439215,Africa
8485649,2019,Oluwaseun A. Otekunrin,University of Ibadan,Ibadan,Oyo,Nigeria,7.3775507,3.9470625,Africa
8485649,2019,S. Momoh,Federal University of Agriculture,Abẹ́òkúta,Ìpínlẹ̀ Ògùn,Nigeria,7.2297439,3.439215,Africa
8485649,2019,I. A. Ayinde,Federal University of Agriculture,Abẹ́òkúta,Ìpínlẹ̀ Ògùn,Nigeria,7.2297439,3.439215,Africa
19390993,2019,Derek Byerlee,Georgetown University,Washington,District of Columbia,United States,38.9076089,-77.07225849999999,North America
19390993,2019,Jessica Fanzo,Johns Hopkins University,Baltimore,Maryland,United States,39.3299013,-76.6205177,North America
60586488,2019,Onil Banerjee,Inter-American Development Bank,,,,,,
60586488,2019,Martín Cicowiez,Universidad Nacional de La Plata,La Plata,Provincia de Buenos Aires,Argentina,-34.91327649999999,-57.95124740000001,South America
60586488,2019,Mark Horridge,Victoria University,,,,,,
56539704,2019,Walter Leal Filho,Universität Hamburg,Hamburg,Hamburg,Germany,53.5630754,9.9884042,Europe
56539704,2019,Anabela Marisa Azul,HAW Hamburg,Hamburg,Hamburg,Germany,53.55620949999999,10.0225391,Europe
56539704,2019,Luciana Brandli,University of Coimbra,Coimbra,Coimbra District,Portugal,40.2076394,-8.4260932,Europe
56539704,2019,Pinar Gökcin Özuyar,Universidade de Passo Fundo,,Rio Grande do Sul,Brazil,-28.234493,-52.38044,South America
56539704,2019,Tony Wall,Istinye University,,İstanbul,Türkiye,41.014689,28.9054296,Asia
5047201,2019,Trey Sunderland,,,,,,,
5047201,2019,Alida O’Connor,,,,,,,
5047201,2019,Giulia Muir,,,,,,,
5047201,2019,Lauren Nerfa,,,,,,,
5047201,2019,Giulia Rota Nodari,,,,,,,
5047201,2019,Camilla Wildmark,,,,,,,
5047201,2019,Nur H. A. Bahar,,,,,,,
5047201,2019,Amy Ickowitz,,,,,,,
98589481,2019,Carolina Milhorance,Universidade de Brasília,,Distrito Federal,Brazil,-15.7651574,-47.8699039,South America
98589481,2019,Marcel Bursztyn,Instituto de Desenvolvimento Sustentável Mamirauá,,,,,,
98589481,2019,Éric Sabourin,"Acteurs, Ressources et Territoires dans le Développement",,,,,,
96347963,2019,Youngwan Kim,Hankuk University of Foreign Studies,,Seoul,South Korea,37.5974453,127.0588002,Asia
96347963,2019,Hyuk‐Sang Sohn,Kyung Hee University,,Seoul,South Korea,37.5968367,127.0518435,Asia
96347963,2019,Bokyeong Park,Kyung Hee University,,Seoul,South Korea,37.5968367,127.0518435,Asia
74375320,2019,Basanta Kumara Behera,Maharshi Dayanand University,Rohtak,Haryana,India,28.8769643,76.62105389999999,Asia
74375320,2019,P. K. Rout,Central Institute for Research on Goats,Makhdum,Uttar Pradesh,India,27.3303357,77.7733378,Asia
74375320,2019,Shyambhavee Behera,University of Delhi,New Delhi,Delhi,India,28.5842824,77.1638519,Asia
18570251,2019,Basanta Kumara Behera,Maharshi Dayanand University,Rohtak,Haryana,India,28.8769643,76.62105389999999,Asia
18570251,2019,P. K. Rout,Central Institute for Research on Goats,Makhdum,Uttar Pradesh,India,27.3303357,77.7733378,Asia
18570251,2019,Shyambhavee Behera,University College of Medical Sciences,New Delhi,Delhi,India,28.6831676,77.3099489,Asia
