PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,sdg_query_source,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
16265365,2012,article,3175,2,"['Daron Acemoğlu', 'James A. Robinson']",[],"[{'item': 93967815}, {'item': 25433831}, {'item': 76913142}, {'item': 28119327}, {'item': 5245938}, {'item': 92239018}, {'item': 11580283}, {'item': 85168609}, {'item': 21494867}, {'item': 57962270}, {'item': 41260050}, {'item': 73040602}, {'item': 30796769}, {'item': 21046288}, {'item': 34270631}, {'item': 84150186}, {'item': 45578279}]",Prosperity,Poverty,Power (physics),['No Poverty'],No Poverty,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-5.386696622668457
18474286,2012,review,951,3,"['Hirokazu Yoshikawa', 'J. Lawrence Aber', 'William R. Beardslee']","['Harvard University', 'New York University', ""Boston Children's Hospital"", 'Harvard University']","[{'item': 86246699}, {'item': 34319231}, {'item': 45157866}, {'item': 17983540}, {'item': 99480252}, {'item': 88454515}, {'item': 842828}, {'item': 58779672}, {'item': 78631867}, {'item': 72031544}, {'item': 90403350}, {'item': 81057955}, {'item': 91280920}, {'item': 14580792}, {'item': 43638234}, {'item': 21721375}, {'item': 32110922}, {'item': 19260730}, {'item': 52374592}, {'item': 60195849}, {'item': 25797105}, {'item': 14478899}, {'item': 27142373}, {'item': 18518800}, {'item': 75718185}, {'item': 22916346}, {'item': 88663561}, {'item': 8891052}, {'item': 3676374}, {'item': 56453529}, {'item': 27608497}, {'item': 34734664}, {'item': 13954920}, {'item': 13687988}, {'item': 4385620}, {'item': 67705856}, {'item': 46922513}, {'item': 28963753}, {'item': 71820920}, {'item': 27103015}, {'item': 42716754}, {'item': 35230947}, {'item': 40654055}, {'item': 33091983}, {'item': 65502411}, {'item': 5995971}, {'item': 30697350}, {'item': 96054472}, {'item': 94315676}, {'item': 22847535}, {'item': 26044587}, {'item': 75748361}, {'item': 85184106}, {'item': 87874865}, {'item': 81381505}, {'item': 4797748}, {'item': 92779112}, {'item': 23389122}, {'item': 61888137}, {'item': 50232938}, {'item': 21501197}, {'item': 24010086}, {'item': 11782568}, {'item': 50558744}, {'item': 73121955}, {'item': 51654493}, {'item': 36050300}, {'item': 25699743}, {'item': 26799410}, {'item': 73512726}, {'item': 96490914}, {'item': 59403173}, {'item': 53745827}, {'item': 52272004}, {'item': 60432867}, {'item': 61588703}, {'item': 83547698}, {'item': 48415911}, {'item': 13385497}, {'item': 4780348}, {'item': 7931520}, {'item': 67915246}, {'item': 50112331}, {'item': 68139918}, {'item': 27523684}, {'item': 46643339}, {'item': 90926565}, {'item': 70036732}, {'item': 37744643}]",Poverty,Mental health,Psychology,['No Poverty'],No Poverty,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.9772004381916068
28330236,2012,article,910,2,"['Pablo Tittonell', 'K.E. Giller']","['Wageningen University & Research', 'Wageningen University & Research']","[{'item': 68287155}, {'item': 23465143}, {'item': 69093971}, {'item': 6496094}, {'item': 43730395}, {'item': 3199125}, {'item': 98173797}, {'item': 84324578}, {'item': 39731893}, {'item': 28126980}, {'item': 4066914}, {'item': 41903305}, {'item': 11555093}, {'item': 31697185}, {'item': 80470788}, {'item': 31143374}, {'item': 59100851}, {'item': 74339536}, {'item': 11934920}, {'item': 3130913}, {'item': 99021152}, {'item': 10650353}, {'item': 42522547}, {'item': 8825306}, {'item': 75627296}, {'item': 3628072}, {'item': 95786212}, {'item': 39744759}, {'item': 70640771}, {'item': 31823406}, {'item': 8751926}, {'item': 72133144}, {'item': 85426961}, {'item': 26926111}, {'item': 9811590}, {'item': 47608986}, {'item': 56383709}, {'item': 72516649}, {'item': 32070499}, {'item': 54891700}, {'item': 21332553}, {'item': 99973449}, {'item': 55858433}, {'item': 63558916}, {'item': 52067832}, {'item': 6050513}, {'item': 17486728}, {'item': 97392974}, {'item': 71506298}, {'item': 98998323}, {'item': 12590802}, {'item': 54187712}, {'item': 64138528}, {'item': 77946033}, {'item': 89887932}, {'item': 10866938}, {'item': 1571947}, {'item': 10148886}, {'item': 85078245}, {'item': 86225066}, {'item': 65957711}, {'item': 71803310}, {'item': 30389609}, {'item': 98990059}, {'item': 19268580}, {'item': 87978331}, {'item': 20345131}, {'item': 27550144}, {'item': 8430126}, {'item': 85752743}, {'item': 70238330}, {'item': 72376944}, {'item': 56172723}, {'item': 70898458}, {'item': 58126594}, {'item': 62369912}, {'item': 19015405}, {'item': 42255355}, {'item': 94411957}, {'item': 98068362}, {'item': 99487497}, {'item': 18012282}, {'item': 78771125}, {'item': 1317593}, {'item': 32201953}, {'item': 51431145}, {'item': 7374746}, {'item': 59847571}, {'item': 85618725}]",Yield gap,Agriculture,Yield (engineering),['No Poverty'],No Poverty,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 3970, 'currency': 'USD', 'value_usd': 3970, 'provenance': 'doaj'}",Missing,-1.9772004381916068
54504034,2012,article,758,2,"['Gary W. Evans', 'Pilyoung Kim']","['Cornell University', 'University of Denver']","[{'item': 89254927}, {'item': 34319231}, {'item': 64756835}, {'item': 25914150}, {'item': 74420452}, {'item': 91663143}, {'item': 10285486}, {'item': 36959357}, {'item': 49972132}, {'item': 33135039}, {'item': 21911092}, {'item': 34596455}, {'item': 64447995}, {'item': 97566870}, {'item': 56552642}, {'item': 23338378}, {'item': 52540020}, {'item': 57139931}, {'item': 40764000}, {'item': 59448283}, {'item': 79417183}, {'item': 61664450}, {'item': 3756465}, {'item': 99973738}, {'item': 79847271}, {'item': 92154576}, {'item': 25699743}, {'item': 33920966}, {'item': 23804987}, {'item': 17351372}, {'item': 99349690}, {'item': 13296628}, {'item': 53404602}, {'item': 38674705}]",Stressor,Socioemotional selectivity theory,Psychology,['No Poverty'],No Poverty,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.05546915214108
7792912,2012,article,703,4,"['Hazel Hiza', 'Kellie Casavale', 'Patricia M. Guenther', 'Carole Davis']",['Center for Nutrition Policy and Promotion'],"[{'item': 98646800}, {'item': 14535011}, {'item': 94635571}, {'item': 51424577}, {'item': 27774227}, {'item': 76522754}, {'item': 22857974}, {'item': 9022987}, {'item': 69950470}, {'item': 29968250}, {'item': 87018844}, {'item': 35081744}, {'item': 97628878}, {'item': 31948202}, {'item': 63204081}, {'item': 67170600}, {'item': 42411423}, {'item': 61712764}, {'item': 87811144}, {'item': 60666170}, {'item': 49765814}, {'item': 13330423}, {'item': 63893408}, {'item': 21737883}, {'item': 25741647}, {'item': 22190596}, {'item': 46205626}, {'item': 25955881}, {'item': 84380250}, {'item': 10613895}, {'item': 17644167}, {'item': 61958915}, {'item': 64261127}, {'item': 90926565}, {'item': 86889450}, {'item': 89499119}]",Ethnic group,Socioeconomic status,Medicine,['Quality Education'],Quality Education,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.8211779441691927
62665819,2012,article,1339,1,['Yen Nee Wong'],['London School of Economics and Political Science'],"[{'item': 8716173}, {'item': 47045294}, {'item': 59707639}, {'item': 20124089}, {'item': 94247101}, {'item': 18171790}, {'item': 61087616}, {'item': 2752800}, {'item': 55966287}, {'item': 69796091}, {'item': 48074993}]",Gender equality,Gender and development,Political science,['Gender Equality'],Gender Equality,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-6.326703881159928
26844126,2012,article,379,2,"['Sylvia Chant', 'Caroline Sweetman']",[],"[{'item': 38120313}, {'item': 86432339}, {'item': 43979493}, {'item': 98535219}, {'item': 85531593}, {'item': 40065771}, {'item': 59311680}, {'item': 91893307}, {'item': 47469525}, {'item': 41971388}, {'item': 64828847}, {'item': 78188543}, {'item': 14680455}, {'item': 46540444}, {'item': 90234867}, {'item': 77803937}, {'item': 24652883}]",Empowerment,Face (sociological concept),Women entrepreneurs,['Gender Equality'],Gender Equality,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-5.386696622668457
18369456,2012,article,63,1,['Daniel Bennett'],['University of Chicago'],"[{'item': 64470206}, {'item': 62504753}, {'item': 96941330}, {'item': 22295601}, {'item': 57700957}, {'item': 31148272}, {'item': 89545395}, {'item': 79231466}, {'item': 61991061}, {'item': 31504333}, {'item': 27650523}, {'item': 49196925}, {'item': 76654208}, {'item': 17288680}, {'item': 28972444}, {'item': 81154941}, {'item': 86807591}, {'item': 58128340}, {'item': 28323865}, {'item': 55241954}, {'item': 67371484}, {'item': 24926323}, {'item': 407773}, {'item': 94111773}]",Sanitation,Clean water,Water supply,['Clean Water and Sanitation'],Clean Water and Sanitation,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.660885635289721
67273686,2012,article,22,2,"['Jacqueline Noga', 'Gregor Wolbring']","['University of Calgary', 'University of Calgary']","[{'item': 23851518}, {'item': 85380371}, {'item': 39480519}, {'item': 31870896}, {'item': 18675212}, {'item': 90166623}, {'item': 99326557}, {'item': 36102887}, {'item': 15601535}, {'item': 42322679}, {'item': 58772899}, {'item': 85917570}, {'item': 92111841}, {'item': 31746793}, {'item': 81258613}, {'item': 98348638}, {'item': 80513869}, {'item': 11579544}, {'item': 53708007}, {'item': 68453649}, {'item': 1057988}, {'item': 91012364}, {'item': 49945204}, {'item': 31098622}, {'item': 92871908}, {'item': 99910269}, {'item': 63426863}, {'item': 90490427}, {'item': 91342501}, {'item': 40430871}, {'item': 15099800}, {'item': 23783323}, {'item': 46726159}, {'item': 71758836}, {'item': 16225880}, {'item': 53920032}, {'item': 17288680}, {'item': 7590026}, {'item': 63964413}, {'item': 63241573}, {'item': 75701044}, {'item': 29512329}, {'item': 17304579}, {'item': 68173549}, {'item': 86036866}, {'item': 52948561}, {'item': 82625248}, {'item': 90926565}, {'item': 58658930}]",Sanitation,Hygiene,Clean water,['Clean Water and Sanitation'],Clean Water and Sanitation,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 413, 'currency': 'EUR', 'value_usd': 445, 'provenance': 'openapc'}",Missing,-3.189472045332238
36556391,2012,review,219,3,"['Nicole M. Stephens', 'Hazel Rose Markus', 'Stephanie A. Fryberg']","['Northwestern University', 'Stanford University', 'University of Arizona']","[{'item': 14521440}, {'item': 24756406}, {'item': 90508724}, {'item': 6038716}, {'item': 28947411}, {'item': 46744856}, {'item': 98149395}, {'item': 97653567}, {'item': 63138531}, {'item': 20994807}, {'item': 57678040}, {'item': 22895802}, {'item': 91449699}, {'item': 58042767}, {'item': 86145287}, {'item': 44141295}, {'item': 22673703}, {'item': 54361616}, {'item': 46007851}, {'item': 84037464}, {'item': 55625141}, {'item': 85269179}, {'item': 2357583}, {'item': 78746750}, {'item': 19538333}, {'item': 96214149}, {'item': 67075717}, {'item': 30926306}, {'item': 56253941}, {'item': 69460775}, {'item': 73409428}, {'item': 63038784}, {'item': 82565327}, {'item': 36288294}, {'item': 79424835}, {'item': 1891089}, {'item': 1599099}, {'item': 14975605}, {'item': 86951144}, {'item': 37766939}, {'item': 92970016}, {'item': 33135039}, {'item': 67942171}, {'item': 33189418}, {'item': 69988852}, {'item': 69717458}, {'item': 78240530}, {'item': 33688547}, {'item': 77560382}, {'item': 57808507}, {'item': 96054393}, {'item': 83974137}, {'item': 10937357}, {'item': 46425034}, {'item': 39703392}, {'item': 22939137}, {'item': 80065632}, {'item': 39143849}, {'item': 63327558}, {'item': 12865288}, {'item': 6147148}, {'item': 2092207}, {'item': 12548829}, {'item': 76272896}, {'item': 36411978}, {'item': 92950627}, {'item': 31819682}, {'item': 89982645}, {'item': 73369559}, {'item': 92914198}, {'item': 12627222}, {'item': 28059040}, {'item': 55616339}, {'item': 67284513}, {'item': 99220049}, {'item': 99415472}, {'item': 1109112}, {'item': 22020195}, {'item': 85684836}, {'item': 50272461}, {'item': 7894697}, {'item': 26484280}, {'item': 62487136}, {'item': 34029254}, {'item': 89677165}, {'item': 69532349}, {'item': 34839997}, {'item': 11221855}, {'item': 52210820}, {'item': 37103669}, {'item': 40253593}, {'item': 87179066}, {'item': 96026704}, {'item': 58975754}, {'item': 73402964}, {'item': 40938362}, {'item': 96993189}, {'item': 27264470}, {'item': 10494682}, {'item': 66168698}, {'item': 98679189}, {'item': 11517446}, {'item': 11500916}, {'item': 58487354}, {'item': 12282345}, {'item': 48163297}, {'item': 41763550}, {'item': 9080457}, {'item': 72700069}, {'item': 10085140}, {'item': 37931628}, {'item': 20449784}, {'item': 78968294}, {'item': 40500700}, {'item': 95493384}, {'item': 41473784}, {'item': 97374412}, {'item': 63494913}, {'item': 43232465}, {'item': 10037736}, {'item': 49748029}, {'item': 77682037}, {'item': 5532961}, {'item': 33749021}, {'item': 25033021}, {'item': 48391026}, {'item': 87609720}, {'item': 59130768}, {'item': 62238782}, {'item': 49534154}, {'item': 48748992}, {'item': 78491347}, {'item': 18916922}, {'item': 75386036}, {'item': 53532471}, {'item': 83074999}, {'item': 62151894}, {'item': 52294285}, {'item': 87494055}, {'item': 63239108}, {'item': 66142795}, {'item': 15765601}, {'item': 73720913}, {'item': 81890992}, {'item': 58705738}, {'item': 2514032}, {'item': 43496774}, {'item': 34922174}, {'item': 76841181}, {'item': 73956295}, {'item': 86082362}, {'item': 25242264}, {'item': 75162581}, {'item': 60366575}, {'item': 79482742}, {'item': 17351372}, {'item': 13469384}, {'item': 39926114}, {'item': 79608781}, {'item': 93561100}, {'item': 20538007}, {'item': 22412166}, {'item': 31346672}, {'item': 41795108}, {'item': 8068207}, {'item': 57045032}, {'item': 92361514}, {'item': 28961684}, {'item': 76118800}, {'item': 97882434}, {'item': 39127207}, {'item': 19842137}, {'item': 75296394}, {'item': 77890050}, {'item': 87293987}, {'item': 7667557}, {'item': 64642948}, {'item': 90926565}, {'item': 52901363}, {'item': 34975349}, {'item': 70312000}, {'item': 41808937}, {'item': 9235007}, {'item': 84783726}, {'item': 86175469}]",Sociocultural evolution,Interdependence,Psychology,['Reduced Inequalities'],Reduced Inequalities,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-0.5020025519300486
