PMID,Author,Institution,City,State
16265365,Daron Acemoğlu,,,
16265365,James A. Robinson,,,
18474286,Hirokazu Yoshikawa,Harvard University,Cambridge,United States
18474286,J. Lawrence Aber,New York University,New York,United States
18474286,William R. Beardslee,Boston Children's Hospital,Boston,United States
28330236,Pablo Tittonell,Wageningen University & Research,Wageningen,Netherlands
28330236,K.E. Giller,Wageningen University & Research,Wageningen,Netherlands
54504034,Gary W. Evans,Cornell University,Ithaca,United States
54504034,Pilyoung Kim,University of Denver,Denver,United States
7792912,Hazel Hiza,Center for Nutrition Policy and Promotion,,
62665819,Yen Nee Wong,London School of Economics and Political Science,London,United Kingdom
26844126,Sylvia Chant,,,
26844126,Caroline Sweetman,,,
18369456,Daniel Bennett,University of Chicago,Chicago,United States
67273686,Jacqueline Noga,University of Calgary,Calgary,Canada
67273686,Gregor Wolbring,University of Calgary,Calgary,Canada
36556391,Nicole M. Stephens,Northwestern University,Evanston,United States
36556391,Hazel Rose Markus,Stanford University,Stanford,United States
36556391,Stephanie A. Fryberg,University of Arizona,Tucson,United States
51079202,Gavin Turrell,Queensland University of Technology,Brisbane City,Australia
51079202,Michele Haynes,University of Queensland,Saint Lucia,Australia
51079202,Lee-Ann M. Wilson,Queensland University of Technology,Brisbane City,Australia
51079202,Billie Giles‐Corti,Victorian Health Promotion Foundation,,
86759700,Denise Faulks,Université Clermont Auvergne,Clermont-Ferrand,France
86759700,Lori Freedman,Trinity College Dublin,Dublin,Ireland
86759700,S. A. THOMPSON,Cardiff University,Cardiff,United Kingdom
86759700,Darius Sagheri,University Hospital Cologne,Köln,Germany
86759700,Alison Dougall,University of Cologne,Köln,Germany
85036389,Tracie L. Stewart,University of Mississippi,University,United States
85036389,Ioana M. Latu,University of Neuchâtel,Neuchâtel,Switzerland
85036389,Nyla R. Branscombe,University of Kansas,Lawrence,United States
85036389,Nia L. Phillips,University of Prince Edward Island,Charlottetown,Canada
85036389,H. Ted Denney,Georgia State University,Atlanta,United States
72559617,Omidreza Saadatian,National University of Malaysia,Bangi,Malaysia
72559617,Kamaruzzaman Sopian,National University of Malaysia,Bangi,Malaysia
72559617,Elias Salleh,National University of Malaysia,Bangi,Malaysia
13688424,Paul G. Bain,University of Queensland,Saint Lucia,Australia
13688424,Matthew J. Hornsey,University of Queensland,Saint Lucia,Australia
13688424,Renata Bongiorno,University of Queensland,Saint Lucia,Australia
13688424,Carla Jeffries,University of Queensland,Saint Lucia,Australia
68054488,D.L.T. Hegger,Utrecht University,Utrecht,Netherlands
68054488,Machiel Lamers,Maastricht University,Maastricht,Netherlands
68054488,Annemarie van Zeijl‐Rozema,Wageningen University & Research,Wageningen,Netherlands
68054488,Carel Dieperink,Maastricht University,Maastricht,Netherlands
57904578,Brian Stone,Georgia Institute of Technology,Atlanta,United States
57904578,Jason Vargo,Georgia Institute of Technology,Atlanta,United States
57904578,Dana Habeeb,Georgia Institute of Technology,Atlanta,United States
90822856,Durk Nijdam,Netherlands Environmental Assessment Agency,Soest,Netherlands
90822856,Trudy Rood,Netherlands Environmental Assessment Agency,Soest,Netherlands
90822856,Henk Westhoek,Netherlands Environmental Assessment Agency,Soest,Netherlands
80304216,Sébastien Dupont,Procédés Alimentaires et Microbiologiques,,
80304216,Guillaume Lemetais,Université de Bourgogne,Dijon,France
80304216,Thierry Ferreira,Procédés Alimentaires et Microbiologiques,,
80304216,Philippe Cayot,Université de Bourgogne,Dijon,France
80304216,Patrick Gervais,Procédés Alimentaires et Microbiologiques,,
80304216,Laurent Beney,Université de Bourgogne,Dijon,France
12495567,Gregory J. Retallack,University of Oregon,Eugene,United States
10750829,Thomas Koellner,University of Bayreuth,Bayreuth,Germany
10750829,Laura de Baan,ETH Zurich,Zürich,Switzerland
10750829,Tabea Beck,University of Stuttgart,Stuttgart,Germany
10750829,Miguel Brandão,Joint Research Centre,,
10750829,Bárbara Civit,National Technological University,,
10750829,Mark Goedkoop,PRé Consultants,,
10750829,Manuele Margni,Polytechnique Montréal,Montréal,Canada
10750829,Llorenç Milà i Canals,Unilever (United Kingdom),Granton,United Kingdom
10750829,Ruedi Müller‐Wenk,University of St. Gallen,St. Gallen,Switzerland
10750829,Bo P. Weidema,University of St. Gallen,St. Gallen,Switzerland
10750829,Bastian Wittstock,University of Stuttgart,Stuttgart,Germany
7790102,Eva E. Stüeken,Earth and Space Research,Seattle,United States
7790102,David C. Catling,University of Washington,Seattle,United States
